,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 11:17:52:985 AM,37606.070312,-49438.230469,5012.779785,0.0,0.0,0.0,0.0,0.0,0.0,-134.761002,0.0,0.0,-1348.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:52:986 AM,37606.070312,-49438.230469,5012.779785,0.0,0.0,0.0,0.0,0.0,0.0,-134.761002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:52:986 AM,37606.070312,-49438.230469,5012.779785,0.0,0.0,0.0,0.0,0.0,0.0,-134.761002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:53:381 AM,37606.070312,-49438.230469,4993.600098,0.0,0.0,0.0,19.182001,0.0,0.0,-232.569016,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:53:381 AM,37606.070312,-49438.230469,4993.600098,0.0,0.0,0.0,19.182001,0.0,0.0,-232.569016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:53:381 AM,37606.070312,-49438.230469,4993.600098,0.0,0.0,0.0,19.182001,0.0,0.0,-232.569016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:53:382 AM,37606.070312,-49438.230469,4993.600098,0.0,0.0,0.0,19.182001,0.0,0.0,-232.569016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:53:514 AM,37606.070312,-49438.230469,4954.370117,0.0,0.0,0.0,58.410004,0.0,0.0,-359.067017,0.0,0.0,-1265.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:53:584 AM,37604.578125,-49439.019531,4927.469727,-1.0,0.0,1.0,85.306007,21.004002,25.706001,-299.723022,210.0,257.0,593.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:53:690 AM,37602.648438,-49438.617188,4910.709961,-3.0,0.0,2.0,102.066002,3.885,9.305,-76.745003,-171.0,-164.0,2230.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:53:790 AM,37602.371094,-49438.050781,4907.939941,-3.0,0.0,2.0,104.845001,-1.687,0.523,-2.261,-56.0,-88.0,745.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:53:881 AM,37602.449219,-49438.109375,4908.439941,-3.0,0.0,2.0,105.353004,0.213,2.027,8.908,19.0,15.0,112.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:53:984 AM,37602.507812,-49438.1875,4909.469727,-3.0,0.0,2.0,106.380005,0.66,2.009,9.725,4.0,0.0,8.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:54:80 AM,37602.558594,-49438.230469,4910.299805,-3.0,0.0,2.0,107.212006,0.594,1.456,7.485,-1.0,-6.0,-22.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:54:193 AM,37602.578125,-49438.289062,4911.009766,-3.0,0.0,2.0,107.923004,0.407,0.782,4.834,-2.0,-7.0,-27.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:54:290 AM,37602.597656,-49438.328125,4911.419922,-3.0,0.0,2.0,108.334007,0.319,0.309,3.721,-1.0,-5.0,-11.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:54:394 AM,37602.621094,-49438.378906,4911.699707,-3.0,0.0,2.0,108.605003,0.198,0.015,2.309,-1.0,-3.0,-14.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:54:479 AM,37602.621094,-49438.398438,4911.839844,-3.0,0.0,2.0,108.746002,0.125,-0.053,0.76,-1.0,-1.0,-15.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:54:597 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,-1.0,1.0,-8.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:54:694 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:54:789 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:54:888 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:54:991 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:55:88 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:55:205 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:55:280 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:55:389 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:55:501 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:55:604 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:55:697 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:55:797 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:55:889 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:56:1 AM,37602.609375,-49438.4375,4911.929688,-3.0,0.0,2.0,108.839005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:17:56:91 AM,37602.609375,-49438.429688,4911.919922,-3.0,0.0,2.0,108.849007,0.076,-0.069,0.261,1.0,-1.0,3.0,0.03,0.0,0.0,0.0,true
Jun 4 2024 11:17:56:196 AM,37602.597656,-49438.429688,4911.969727,-3.0,0.0,2.0,108.896004,0.137,-0.157,0.909,1.0,-1.0,6.0,0.03,0.0,0.0,0.0,true
Jun 4 2024 11:17:56:281 AM,37602.597656,-49438.4375,4912.02002,-3.0,0.0,2.0,108.945007,0.058,-0.009,0.757,-1.0,1.0,-2.0,0.03,1.0,0.0,0.0,true
Jun 4 2024 11:17:56:390 AM,37602.847656,-49438.457031,4912.049805,-3.0,0.0,2.0,108.980003,4.207,-0.231,0.235,41.0,-2.0,-5.0,0.03,1.0,0.0,0.0,true
Jun 4 2024 11:17:56:488 AM,37603.800781,-49438.488281,4912.029785,-3.0,0.0,2.0,108.998009,15.762001,-0.254,-0.43,116.0,0.0,-7.0,0.03,1.0,0.0,0.0,true
Jun 4 2024 11:17:56:595 AM,37609.179688,-49438.46875,4911.859863,-3.0,0.0,2.0,109.170006,67.860001,0.121,-3.628,521.0,4.0,-32.0,0.04,1.0,0.0,0.0,true
Jun 4 2024 11:17:56:704 AM,37619.898438,-49438.46875,4911.350098,-2.0,0.0,2.0,109.685005,114.341003,-0.581,-6.75,465.0,-7.0,-31.0,-0.96,1.0,0.0,0.0,true
Jun 4 2024 11:17:56:803 AM,37633.96875,-49439.0,4910.629883,-2.0,0.0,3.0,110.403008,154.516006,-3.082,-8.613001,402.0,-25.0,-19.0,0.04,1.0,0.0,0.0,true
Jun 4 2024 11:17:56:887 AM,37648.929688,-49438.917969,4909.850098,-2.0,0.0,2.0,111.182007,187.665009,-0.359,-9.916,331.0,27.0,-13.0,0.04,1.0,0.0,0.0,true
Jun 4 2024 11:17:56:982 AM,37668.9375,-49438.71875,4908.799805,-2.0,0.0,2.0,112.233002,224.215012,1.239,-12.116,366.0,16.0,-22.0,0.04,1.0,0.0,0.0,true
Jun 4 2024 11:17:57:86 AM,37694.039062,-49438.410156,4907.489746,-2.0,0.0,2.0,113.539009,262.76001,2.42,-13.928,385.0,12.0,-18.0,0.04,0.0,0.0,0.0,true
Jun 4 2024 11:17:57:188 AM,37723.148438,-49438.0,4906.0,-2.0,0.0,2.0,115.027008,295.890015,3.102,-14.931001,331.0,7.0,-10.0,0.04,1.0,0.0,0.0,true
Jun 4 2024 11:17:57:292 AM,37756.570312,-49437.488281,4904.319824,-2.0,0.0,2.0,116.709007,330.018005,3.698,-16.529001,341.0,6.0,-16.0,0.04,1.0,0.0,0.0,true
Jun 4 2024 11:17:57:393 AM,37791.148438,-49436.910156,4902.47998,-2.0,1.0,2.0,118.557007,364.303009,6.444,-19.875,343.0,27.0,-33.0,0.04,1.0,0.0,0.0,true
Jun 4 2024 11:17:57:497 AM,37830.800781,-49435.957031,4900.389648,-2.0,1.0,2.0,120.642006,400.47702,7.819,-19.330002,362.0,14.0,5.0,0.04,1.0,0.0,0.0,true
Jun 4 2024 11:17:57:581 AM,37866.679688,-49435.007812,4898.759766,-2.0,1.0,2.0,122.274002,430.468018,6.121,-19.106001,300.0,-17.0,2.0,-0.96,1.0,0.0,0.0,true
Jun 4 2024 11:17:57:682 AM,37911.890625,-49436.398438,4896.679688,-2.0,0.0,2.0,124.356003,461.860016,-16.954,-21.665001,314.0,-231.0,-26.0,-0.96,1.0,0.0,0.0,true
Jun 4 2024 11:17:57:779 AM,37957.699219,-49442.269531,4894.459961,-2.0,-2.0,3.0,126.573006,483.537018,-57.065002,-24.506001,217.0,-401.0,-28.0,-0.96,0.0,0.0,0.0,true
Jun 4 2024 11:17:57:892 AM,38011.460938,-49455.738281,4892.47998,-2.0,-8.0,5.0,128.55101,475.881012,-126.589005,-18.596001,-77.0,-695.0,59.0,-0.96,0.0,0.0,0.0,true
