,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:24:07:735 AM,37606.070312,-49438.230469,5010.989746,0.0,0.0,0.0,0.0,0.0,0.0,-146.093002,0.0,0.0,-1461.0,0.0,0.0,0.0,true
May 22 2024 10:24:07:735 AM,37606.070312,-49438.230469,5010.989746,0.0,0.0,0.0,0.0,0.0,0.0,-146.093002,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:24:07:736 AM,37606.070312,-49438.230469,5010.989746,0.0,0.0,0.0,0.0,0.0,0.0,-146.093002,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:24:08:48 AM,37606.070312,-49438.230469,4990.669922,0.0,0.0,0.0,20.315001,0.0,0.0,-243.889008,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 10:24:08:49 AM,37606.070312,-49438.230469,4990.669922,0.0,0.0,0.0,20.315001,0.0,0.0,-243.889008,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:24:08:49 AM,37606.070312,-49438.230469,4990.669922,0.0,0.0,0.0,20.315001,0.0,0.0,-243.889008,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:24:08:81 AM,37606.070312,-49438.230469,4981.290039,0.0,0.0,0.0,29.699001,0.0,0.0,-278.259003,0.0,0.0,-344.0,0.0,0.0,0.0,true
May 22 2024 10:24:08:181 AM,37606.070312,-49438.230469,4947.889648,0.0,0.0,0.0,63.095001,0.0,0.0,-376.110016,0.0,0.0,-979.0,0.0,0.0,0.0,true
May 22 2024 10:24:08:280 AM,37603.640625,-49438.71875,4918.199707,-2.0,0.0,1.0,92.787003,8.964001,18.414001,-184.300003,90.0,184.0,1918.0,0.0,0.0,0.0,true
May 22 2024 10:24:08:378 AM,37602.429688,-49438.488281,4908.850098,-3.0,0.0,2.0,102.139008,2.607,6.734,-44.374001,-64.0,-117.0,1399.0,0.0,0.0,0.0,true
May 22 2024 10:24:08:482 AM,37602.429688,-49438.007812,4907.939941,-3.0,0.0,2.0,103.049004,-0.558,1.116,4.307,-32.0,-56.0,487.0,0.0,0.0,0.0,true
May 22 2024 10:24:08:584 AM,37602.507812,-49438.089844,4908.839844,-3.0,0.0,2.0,103.946007,0.542,2.035,10.199,11.0,9.0,59.0,0.0,0.0,0.0,true
May 22 2024 10:24:08:685 AM,37602.570312,-49438.160156,4909.830078,-3.0,0.0,2.0,104.939003,0.643,1.712,9.066,1.0,-3.0,-11.0,0.0,0.0,0.0,true
May 22 2024 10:24:08:785 AM,37602.597656,-49438.21875,4910.589844,-3.0,0.0,2.0,105.697006,0.505,1.215,6.626,-1.0,-5.0,-24.0,0.0,0.0,0.0,true
May 22 2024 10:24:08:888 AM,37602.621094,-49438.269531,4911.139648,-3.0,0.0,2.0,106.252007,0.349,0.663,4.323,-2.0,-6.0,-23.0,0.0,0.0,0.0,true
May 22 2024 10:24:08:988 AM,37602.640625,-49438.320312,4911.489746,-3.0,0.0,2.0,106.594002,0.249,0.25,2.72,-1.0,-4.0,-16.0,0.0,0.0,0.0,true
May 22 2024 10:24:09:87 AM,37602.660156,-49438.367188,4911.689941,-3.0,0.0,2.0,106.801003,0.168,0.014,1.79,-1.0,-2.0,-9.0,0.0,0.0,0.0,true
May 22 2024 10:24:09:180 AM,37602.648438,-49438.398438,4911.819824,-3.0,0.0,2.0,106.929008,0.104,-0.151,1.151,-1.0,-2.0,-6.0,0.0,0.0,0.0,true
May 22 2024 10:24:09:287 AM,37602.648438,-49438.4375,4911.879883,-3.0,0.0,2.0,106.993004,0.0,0.0,0.0,-1.0,2.0,-12.0,0.0,0.0,0.0,true
May 22 2024 10:24:09:386 AM,37602.648438,-49438.4375,4911.879883,-3.0,0.0,2.0,106.993004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:24:09:479 AM,37602.648438,-49438.4375,4911.879883,-3.0,0.0,2.0,106.993004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:24:09:578 AM,37602.648438,-49438.4375,4911.879883,-3.0,0.0,2.0,106.993004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:24:09:677 AM,37602.648438,-49438.4375,4911.879883,-3.0,0.0,2.0,106.993004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:24:09:782 AM,37602.648438,-49438.4375,4911.879883,-3.0,0.0,2.0,106.993004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:24:09:887 AM,37602.648438,-49438.4375,4911.879883,-3.0,0.0,2.0,106.993004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:24:09:983 AM,37602.648438,-49438.4375,4911.879883,-3.0,0.0,2.0,106.993004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:24:10:83 AM,37602.648438,-49438.4375,4911.879883,-3.0,0.0,2.0,106.993004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:24:10:178 AM,37602.648438,-49438.46875,4911.879883,-3.0,0.0,2.0,107.000008,0.037,-0.253,0.022,0.0,-3.0,0.0,-0.02,0.0,0.0,true
