,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 3 2024 11:40:30:131 AM,37606.070312,-49438.230469,5011.290039,0.0,0.0,0.0,0.0,0.0,0.0,-144.25,0.0,0.0,-1443.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:40:30:131 AM,37606.070312,-49438.230469,5011.290039,0.0,0.0,0.0,0.0,0.0,0.0,-144.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:40:30:131 AM,37606.070312,-49438.230469,5011.290039,0.0,0.0,0.0,0.0,0.0,0.0,-144.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:40:30:646 AM,37606.070312,-49438.230469,4991.159668,0.0,0.0,0.0,20.131001,0.0,0.0,-242.049011,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:40:30:647 AM,37606.070312,-49438.230469,4991.159668,0.0,0.0,0.0,20.131001,0.0,0.0,-242.049011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:40:30:647 AM,37606.070312,-49438.230469,4991.159668,0.0,0.0,0.0,20.131001,0.0,0.0,-242.049011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:40:30:647 AM,37606.070312,-49438.230469,4991.159668,0.0,0.0,0.0,20.131001,0.0,0.0,-242.049011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:40:30:749 AM,37606.070312,-49438.230469,4960.290039,0.0,0.0,0.0,51.004002,0.0,0.0,-342.907013,0.0,0.0,-1009.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:40:30:859 AM,37604.089844,-49438.71875,4923.199707,-2.0,0.0,1.0,88.094002,13.728001,23.887001,-245.470016,137.0,239.0,974.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:40:30:947 AM,37602.5,-49438.398438,4910.689941,-3.0,0.0,2.0,100.601006,3.74,9.702001,-75.567001,-100.0,-142.0,1699.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:40:31:55 AM,37602.257812,-49437.800781,4907.969727,-3.0,0.0,2.0,103.321007,-1.548,1.922,-0.053,-53.0,-78.0,755.0,0.0,0.07,0.0,0.0,true
Jun 3 2024 11:40:31:155 AM,37602.628906,-49437.847656,4908.629883,-3.0,0.0,2.0,103.979004,4.012,2.318,9.337001,56.0,4.0,94.0,0.0,0.36,0.0,0.0,true
Jun 3 2024 11:40:31:255 AM,37603.390625,-49437.898438,4909.609863,-3.0,0.0,2.0,104.963005,8.915,1.747,9.202001,49.0,-6.0,-1.0,0.0,0.48,0.0,0.0,true
Jun 3 2024 11:40:31:351 AM,37604.597656,-49437.9375,4910.389648,-3.0,0.0,2.0,105.740005,17.102001,1.162,6.595,82.0,-6.0,-26.0,0.0,0.74,0.0,0.0,true
Jun 3 2024 11:40:31:460 AM,37607.238281,-49438.007812,4910.929688,-3.0,0.0,2.0,106.283005,34.362003,0.378,3.39,173.0,-8.0,-32.0,-0.01,0.93,0.0,0.0,true
Jun 3 2024 11:40:31:560 AM,37613.269531,-49438.148438,4911.049805,-3.0,0.0,2.0,106.395004,66.089005,-0.507,-0.819,317.0,-9.0,-42.0,-0.03,1.0,0.0,0.0,true
Jun 3 2024 11:40:31:656 AM,37621.898438,-49438.390625,4910.819824,-2.0,0.0,2.0,106.617004,105.341003,-1.552,-4.388,393.0,-10.0,-36.0,-0.05,1.0,0.0,0.0,true
Jun 3 2024 11:40:31:758 AM,37636.121094,-49438.777344,4910.239746,-2.0,0.0,3.0,107.196007,153.511002,-3.669,-7.631001,482.0,-21.0,-32.0,-0.07,1.0,0.0,0.0,true
Jun 3 2024 11:40:31:851 AM,37652.871094,-49439.359375,4909.469727,-2.0,-1.0,3.0,107.968002,193.052002,-5.824,-10.323001,395.0,-22.0,-27.0,-0.07,1.0,0.0,0.0,true
Jun 3 2024 11:40:31:950 AM,37674.167969,-49440.167969,4908.399902,-2.0,-1.0,3.0,109.036003,232.658005,-7.819,-12.043,396.0,-20.0,-17.0,-0.06,1.0,0.0,0.0,true
Jun 3 2024 11:40:32:46 AM,37698.988281,-49441.0,4907.149902,-2.0,-1.0,3.0,110.293007,271.041016,-8.073,-13.999001,384.0,-3.0,-20.0,-0.01,1.0,0.0,0.0,true
