,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:03:24:202 AM,37849.378906,-49450.019531,4899.419922,-2.0,-3.0,3.0,122.315002,428.844025,-27.070002,-19.210001,348.0,-31.0,6.0,-0.03,1.0,0.0,true
May 22 2024 10:03:24:305 AM,37895.679688,-49452.878906,4897.279785,-1.0,-3.0,3.0,124.446007,466.686035,-29.151001,-21.841002,378.0,-21.0,-26.0,-0.03,1.0,0.0,true
May 22 2024 10:03:24:402 AM,37943.167969,-49455.910156,4895.069824,-1.0,-3.0,3.0,126.660004,501.825012,-31.815002,-23.512001,351.0,-27.0,-17.0,-0.03,1.0,0.0,true
May 22 2024 10:03:24:508 AM,37998.417969,-49459.578125,4892.529785,-1.0,-3.0,3.0,129.199005,539.229004,-35.257,-25.1,374.0,-34.0,-16.0,-0.03,1.0,0.0,true
May 22 2024 10:03:24:603 AM,38051.300781,-49463.238281,4890.029785,-1.0,-4.0,3.0,131.701004,572.617004,-36.974003,-27.273001,334.0,-17.0,-22.0,-0.03,1.0,0.0,true
May 22 2024 10:03:24:709 AM,38114.640625,-49467.628906,4887.209961,-1.0,-4.0,3.0,134.524002,606.162048,-41.877003,-26.279001,335.0,-49.0,10.0,-0.03,1.0,0.0,true
May 22 2024 10:03:24:800 AM,38169.738281,-49471.6875,4884.839844,-1.0,-4.0,3.0,136.892014,609.218018,-44.669003,-25.346001,31.0,-28.0,9.0,-0.03,1.0,0.0,true
May 22 2024 10:03:24:901 AM,38230.898438,-49476.457031,4882.310059,-1.0,-4.0,3.0,139.419006,612.102051,-47.916004,-24.410002,29.0,-32.0,9.0,-0.03,1.0,0.0,true
May 22 2024 10:03:25:3 AM,38293.257812,-49481.628906,4879.850098,-2.0,-5.0,3.0,141.877014,614.797058,-51.203003,-23.489,27.0,-33.0,9.0,-0.03,1.0,0.0,true
May 22 2024 10:03:25:103 AM,38354.820312,-49487.027344,4877.529785,-2.0,-5.0,3.0,144.196014,617.281006,-54.458004,-22.511002,25.0,-33.0,10.0,-0.03,1.0,0.0,true
