,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 12:04:45:200 PM,37606.070312,-49438.230469,5014.22998,0.0,0.0,0.0,0.0,0.0,0.0,-124.218002,0.0,0.0,-1242.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:45:201 PM,37606.070312,-49438.230469,5014.22998,0.0,0.0,0.0,0.0,0.0,0.0,-124.218002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:45:201 PM,37606.070312,-49438.230469,5014.22998,0.0,0.0,0.0,0.0,0.0,0.0,-124.218002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:45:623 PM,37606.070312,-49438.230469,4996.100098,0.0,0.0,0.0,18.129002,0.0,0.0,-222.037018,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:45:624 PM,37606.070312,-49438.230469,4996.100098,0.0,0.0,0.0,18.129002,0.0,0.0,-222.037018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:45:625 PM,37606.070312,-49438.230469,4996.100098,0.0,0.0,0.0,18.129002,0.0,0.0,-222.037018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:45:625 PM,37606.070312,-49438.230469,4996.100098,0.0,0.0,0.0,18.129002,0.0,0.0,-222.037018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:45:727 PM,37606.070312,-49438.230469,4966.02002,0.0,0.0,0.0,48.214001,0.0,0.0,-326.869019,0.0,0.0,-1048.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:45:828 PM,37605.269531,-49438.1875,4929.080078,-1.0,0.0,1.0,85.150002,-31.500002,-2.193,-316.733002,-315.0,-22.0,101.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:45:936 PM,37603.109375,-49437.957031,4911.029785,-3.0,0.0,2.0,103.195007,-11.479,1.683,-80.706001,200.0,39.0,2360.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:46:20 PM,37602.6875,-49437.890625,4907.830078,-3.0,0.0,2.0,106.398003,-3.286,-0.535,-12.259001,82.0,-22.0,684.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:46:126 PM,37602.757812,-49437.929688,4908.279785,-3.0,0.0,2.0,106.846008,1.238,-0.719,9.252001,45.0,-2.0,215.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:46:225 PM,37602.878906,-49437.988281,4909.319824,-3.0,0.0,2.0,107.882004,1.224,-0.737,10.402,0.0,0.0,12.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:46:322 PM,37602.96875,-49438.058594,4910.22998,-3.0,0.0,2.0,108.796005,0.94,-0.645,8.272,-3.0,1.0,-21.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:46:420 PM,37603.039062,-49438.117188,4910.909668,-3.0,0.0,2.0,109.479004,0.664,-0.54,5.863,-3.0,1.0,-24.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:46:527 PM,37603.078125,-49438.160156,4911.399902,-3.0,0.0,2.0,109.967003,0.402,-0.477,3.628,-3.0,1.0,-22.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:46:622 PM,37603.109375,-49438.199219,4911.679688,-3.0,0.0,2.0,110.248009,0.275,-0.423,2.414,-1.0,1.0,-12.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:46:718 PM,37603.128906,-49438.230469,4911.870117,-3.0,0.0,2.0,110.432007,0.173,-0.388,1.568,-1.0,0.0,-8.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:46:825 PM,37603.128906,-49438.257812,4911.989746,-3.0,0.0,2.0,110.559006,0.099,-0.142,0.897,-1.0,2.0,-7.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:46:926 PM,37603.128906,-49438.257812,4912.0,-3.0,0.0,2.0,110.571007,0.058,0.036,0.594,0.0,2.0,-3.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:47:28 PM,37603.128906,-49438.257812,4912.049805,-3.0,0.0,2.0,110.620003,0.056,0.01,0.537,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:47:126 PM,37603.128906,-49438.257812,4912.100098,-3.0,0.0,2.0,110.666008,0.027,0.031,0.341,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:47:222 PM,37603.128906,-49438.257812,4912.129883,-3.0,0.0,2.0,110.698006,0.042,-0.019,0.329,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:47:320 PM,37603.128906,-49438.257812,4912.129883,-3.0,0.0,2.0,110.701004,0.016,0.022,-0.015,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:47:427 PM,37603.128906,-49438.257812,4912.149902,-3.0,0.0,2.0,110.725006,0.036,-0.007,0.371,0.0,0.0,4.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:47:529 PM,37603.128906,-49438.269531,4912.159668,-3.0,0.0,2.0,110.730003,0.008,0.015,-0.019,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:47:626 PM,37603.128906,-49438.269531,4912.179688,-3.0,0.0,2.0,110.749008,0.005,-0.013,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:47:720 PM,37603.128906,-49438.269531,4912.179688,-3.0,0.0,2.0,110.756004,0.008,0.006,0.09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:47:825 PM,37603.128906,-49438.269531,4912.199707,-3.0,0.0,2.0,110.773003,0.027,-0.014,0.16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:47:917 PM,37603.128906,-49438.269531,4912.199707,-3.0,0.0,2.0,110.773003,0.01,-0.015,-0.079,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:48:26 PM,37603.128906,-49438.269531,4912.209961,-3.0,0.0,2.0,110.777008,0.036,-0.029,0.212,0.0,0.0,3.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:48:124 PM,37603.128906,-49438.269531,4912.209961,-3.0,0.0,2.0,110.781006,-0.024,0.016,-0.483,-1.0,0.0,-7.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:48:221 PM,37603.128906,-49438.269531,4912.209961,-3.0,0.0,2.0,110.782005,0.011,-0.005,0.035,0.0,0.0,5.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:48:329 PM,37603.128906,-49438.269531,4912.189941,-3.0,0.0,2.0,110.795006,0.004,0.01,-0.16,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:48:418 PM,37603.128906,-49438.269531,4912.209961,-3.0,0.0,2.0,110.806007,0.01,-0.036,0.073,0.0,0.0,2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:48:521 PM,37603.128906,-49438.269531,4912.209961,-3.0,0.0,2.0,110.813004,0.014,-0.01,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:48:618 PM,37603.128906,-49438.269531,4912.209961,-3.0,0.0,2.0,110.814003,0.004,-0.025,-0.082,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:48:720 PM,37603.128906,-49438.269531,4912.219727,-3.0,0.0,2.0,110.820007,0.016,-0.028,0.106,0.0,0.0,2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:48:824 PM,37603.128906,-49438.269531,4912.219727,-3.0,0.0,2.0,110.821007,0.017,-0.006,-0.047,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:04:48:918 PM,37603.128906,-49438.269531,4912.209961,-3.0,0.0,2.0,110.834007,0.021,-0.015,0.233,0.0,0.0,3.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 12:04:49:19 PM,37603.128906,-49438.269531,4912.22998,-3.0,0.0,2.0,110.854004,0.015,-0.046,0.152,0.0,0.0,-1.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 12:04:49:121 PM,37603.128906,-49438.269531,4912.22998,-3.0,0.0,2.0,110.855003,0.025,-0.015,0.103,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 12:04:49:230 PM,37603.128906,-49438.269531,4912.209961,-3.0,0.0,2.0,110.872002,-0.005,0.039,-0.451,0.0,1.0,-6.0,-0.03,0.06,0.0,0.0,true
Jun 4 2024 12:04:49:329 PM,37603.308594,-49438.289062,4912.199707,-3.0,0.0,2.0,110.883003,4.677,-0.437,-0.32,47.0,-5.0,1.0,-0.04,0.16,0.0,0.0,true
