,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:31:02:411 AM,37606.070312,-49438.230469,5014.100098,0.0,0.0,0.0,0.0,0.0,0.0,-125.116005,0.0,0.0,-1251.0,0.0,0.0,0.0,true
May 22 2024 10:31:02:411 AM,37606.070312,-49438.230469,5014.100098,0.0,0.0,0.0,0.0,0.0,0.0,-125.116005,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:31:02:411 AM,37606.070312,-49438.230469,5014.100098,0.0,0.0,0.0,0.0,0.0,0.0,-125.116005,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:31:02:652 AM,37606.070312,-49438.230469,4995.879883,0.0,0.0,0.0,18.218,0.0,0.0,-222.934006,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 10:31:02:652 AM,37606.070312,-49438.230469,4995.879883,0.0,0.0,0.0,18.218,0.0,0.0,-222.934006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:31:02:662 AM,37606.070312,-49438.230469,4993.109863,0.0,0.0,0.0,20.996,0.0,0.0,-234.514008,0.0,0.0,-116.0,0.0,0.0,0.0,true
May 22 2024 10:31:02:758 AM,37606.070312,-49438.230469,4965.169922,0.0,0.0,0.0,48.931004,0.0,0.0,-329.643005,0.0,0.0,-951.0,0.0,0.0,0.0,true
May 22 2024 10:31:02:854 AM,37604.960938,-49438.96875,4930.359863,-1.0,0.0,1.0,83.740005,13.059001,20.449001,-331.278015,131.0,204.0,-16.0,0.0,0.0,0.0,true
May 22 2024 10:31:02:962 AM,37602.859375,-49438.507812,4911.169922,-3.0,0.0,2.0,102.936005,4.43,10.275001,-83.498001,-86.0,-102.0,2478.0,0.0,0.0,0.0,true
May 22 2024 10:31:03:57 AM,37602.507812,-49438.007812,4907.859863,-3.0,0.0,2.0,106.240005,-1.971,-0.611,-4.881,-64.0,-109.0,786.0,0.0,0.0,0.0,true
