,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 12:07:53:642 PM,37606.070312,-49438.230469,5013.830078,0.0,0.0,0.0,0.0,0.0,0.0,-127.001007,0.0,0.0,-1270.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:07:53:643 PM,37606.070312,-49438.230469,5013.830078,0.0,0.0,0.0,0.0,0.0,0.0,-127.001007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:07:53:643 PM,37606.070312,-49438.230469,5013.830078,0.0,0.0,0.0,0.0,0.0,0.0,-127.001007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:07:54:51 PM,37606.070312,-49438.230469,4995.429688,0.0,0.0,0.0,18.407001,0.0,0.0,-224.817017,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:07:54:51 PM,37606.070312,-49438.230469,4995.429688,0.0,0.0,0.0,18.407001,0.0,0.0,-224.817017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:07:54:51 PM,37606.070312,-49438.230469,4995.429688,0.0,0.0,0.0,18.407001,0.0,0.0,-224.817017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:07:54:52 PM,37606.070312,-49438.230469,4995.429688,0.0,0.0,0.0,18.407001,0.0,0.0,-224.817017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:07:54:177 PM,37606.070312,-49438.230469,4958.709961,0.0,0.0,0.0,55.126003,0.0,0.0,-347.472015,0.0,0.0,-1227.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:07:54:255 PM,37605.109375,-49438.199219,4929.719727,-1.0,0.0,1.0,84.115005,-43.030003,-2.373,-322.32901,-430.0,-24.0,251.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:07:54:375 PM,37602.839844,-49437.949219,4910.429688,-3.0,0.0,2.0,103.402008,-10.096001,1.538,-70.400002,329.0,39.0,2519.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:07:54:452 PM,37602.5,-49437.878906,4907.850098,-3.0,0.0,2.0,105.985008,-1.431,-0.417,-8.389,87.0,-20.0,620.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:07:54:557 PM,37602.558594,-49437.949219,4908.310059,-3.0,0.0,2.0,106.444008,1.249,-0.745,9.175,27.0,-3.0,176.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:07:54:657 PM,37602.679688,-49438.007812,4909.350098,-3.0,0.0,2.0,107.485008,1.232,-0.762,10.173,0.0,0.0,10.0,-0.01,0.01,0.0,0.0,true
