,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:29:39:616 AM,37606.070312,-49438.230469,5013.839844,0.0,0.0,0.0,0.0,0.0,0.0,-126.961006,0.0,0.0,-1270.0,0.0,0.0,0.0,true
May 22 2024 10:29:39:617 AM,37606.070312,-49438.230469,5013.839844,0.0,0.0,0.0,0.0,0.0,0.0,-126.961006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:29:39:617 AM,37606.070312,-49438.230469,5013.839844,0.0,0.0,0.0,0.0,0.0,0.0,-126.961006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:29:39:961 AM,37606.070312,-49438.230469,4995.439941,0.0,0.0,0.0,18.402,0.0,0.0,-224.777008,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 10:29:39:961 AM,37606.070312,-49438.230469,4995.439941,0.0,0.0,0.0,18.402,0.0,0.0,-224.777008,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:29:39:961 AM,37606.070312,-49438.230469,4995.439941,0.0,0.0,0.0,18.402,0.0,0.0,-224.777008,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:29:39:962 AM,37606.070312,-49438.230469,4995.439941,0.0,0.0,0.0,18.402,0.0,0.0,-224.777008,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:29:40:59 AM,37606.070312,-49438.230469,4966.330078,0.0,0.0,0.0,47.508003,0.0,0.0,-326.058014,0.0,0.0,-1013.0,0.0,0.0,0.0,true
May 22 2024 10:29:40:160 AM,37604.75,-49439.007812,4929.819824,-1.0,0.0,1.0,84.019005,13.09,21.839001,-324.845001,131.0,218.0,12.0,0.0,0.0,0.0,true
May 22 2024 10:29:40:262 AM,37602.730469,-49438.539062,4911.52002,-3.0,0.0,2.0,102.320007,4.532,10.573001,-88.360001,-86.0,-113.0,2365.0,0.0,0.0,0.0,true
May 22 2024 10:29:40:362 AM,37602.339844,-49438.070312,4907.899902,-3.0,0.0,2.0,105.943008,-1.885,-0.469,-5.263,-64.0,-110.0,831.0,0.0,0.0,0.0,true
May 22 2024 10:29:40:463 AM,37602.410156,-49438.128906,4908.359863,-3.0,0.0,2.0,106.405006,0.257,1.752,9.026,21.0,22.0,143.0,0.0,0.0,0.0,true
May 22 2024 10:29:40:568 AM,37602.480469,-49438.207031,4909.399902,-3.0,0.0,2.0,107.452003,0.653,1.927,10.001,4.0,2.0,10.0,-0.02,0.0,0.0,true
May 22 2024 10:29:40:657 AM,37602.507812,-49438.257812,4910.199707,-3.0,0.0,2.0,108.250008,0.573,1.516,7.781,-1.0,-4.0,-22.0,-0.02,0.0,0.0,true
May 22 2024 10:29:40:758 AM,37602.539062,-49438.308594,4910.870117,-3.0,0.0,2.0,108.922005,0.435,0.919,5.543,-1.0,-6.0,-22.0,-0.02,0.0,0.0,true
May 22 2024 10:29:40:859 AM,37602.558594,-49438.347656,4911.310059,-3.0,0.0,2.0,109.361008,0.3,0.534,3.568,-1.0,-4.0,-20.0,-1.02,0.0,0.0,true
