,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 9:11:50:583 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,-1061.0,0.0,0.0,0.0,true
May 22 2024 9:11:50:583 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:50:584 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:51:64 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 9:11:51:65 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:51:65 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:51:65 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:51:169 AM,37606.070312,-49438.230469,4972.389648,0.0,0.0,0.0,44.111004,0.0,0.0,-307.745026,0.0,0.0,-1038.0,0.0,0.0,0.0,true
May 22 2024 9:11:51:285 AM,37605.230469,-49438.890625,4932.290039,-1.0,0.0,1.0,84.218002,10.582001,19.673,-344.331024,106.0,197.0,-366.0,0.0,0.0,0.0,true
May 22 2024 9:11:51:369 AM,37603.109375,-49438.539062,4913.719727,-3.0,0.0,2.0,102.781006,5.9,13.581,-122.647003,-47.0,-61.0,2217.0,0.0,0.0,0.0,true
May 22 2024 9:11:51:468 AM,37602.417969,-49438.078125,4908.060059,-3.0,0.0,2.0,108.441002,-2.787,-0.126,-12.771001,-87.0,-137.0,1099.0,0.0,0.0,0.0,true
May 22 2024 9:11:51:565 AM,37602.507812,-49438.128906,4908.129883,-3.0,0.0,2.0,108.514008,-0.096,1.189,7.143,27.0,13.0,199.0,0.0,0.0,0.0,true
May 22 2024 9:11:51:673 AM,37602.578125,-49438.21875,4909.179688,-3.0,0.0,2.0,109.556007,0.658,1.946,10.113001,8.0,8.0,30.0,0.0,0.0,0.0,true
May 22 2024 9:11:51:765 AM,37602.621094,-49438.269531,4910.060059,-3.0,0.0,2.0,110.434006,0.639,1.654,8.418,0.0,-3.0,-17.0,0.0,0.0,0.0,true
May 22 2024 9:11:51:868 AM,37602.640625,-49438.339844,4910.779785,-3.0,0.0,2.0,111.161003,0.48,1.059,5.984,-2.0,-6.0,-24.0,0.0,0.0,0.0,true
May 22 2024 9:11:51:963 AM,37602.667969,-49438.378906,4911.239746,-3.0,0.0,2.0,111.621002,0.343,0.591,4.008,-1.0,-5.0,-20.0,0.0,0.0,0.0,true
May 22 2024 9:11:52:73 AM,37602.699219,-49438.429688,4911.580078,-3.0,0.0,2.0,111.960007,0.236,0.199,2.347,-1.0,-4.0,-17.0,0.0,0.0,0.0,true
May 22 2024 9:11:52:164 AM,37602.6875,-49438.46875,4911.759766,-3.0,0.0,2.0,112.136002,0.146,0.012,1.53,-1.0,-2.0,-8.0,0.0,0.0,0.0,true
May 22 2024 9:11:52:264 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,-1.0,0.0,-15.0,0.0,0.0,0.0,true
May 22 2024 9:11:52:364 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:52:464 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:52:564 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:52:664 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:52:764 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:52:864 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:52:965 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:53:65 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:53:165 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:53:272 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:53:365 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:53:465 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:11:53:565 AM,37602.6875,-49438.488281,4911.830078,-3.0,0.0,2.0,112.213005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
