,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 10:23:05:805 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,-1061.0,0.0,0.0,0.0,true
May 21 2024 10:23:05:805 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:23:05:806 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:23:06:15 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 21 2024 10:23:06:16 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:23:06:16 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:23:06:17 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:23:06:209 AM,37606.070312,-49438.230469,4974.089844,0.0,0.0,0.0,42.414001,0.0,0.0,-301.677002,0.0,0.0,-977.0,0.0,0.0,0.0,true
May 21 2024 10:23:06:219 AM,37606.070312,-49438.230469,4970.469727,0.0,0.0,0.0,46.034,0.0,0.0,-312.976013,0.0,0.0,-113.0,0.0,0.0,0.0,true
May 21 2024 10:23:06:335 AM,37604.839844,-49439.097656,4929.330078,-1.0,0.0,1.0,87.175003,16.138,21.371,-323.779022,161.0,214.0,-108.0,0.0,0.0,0.0,true
May 21 2024 10:23:06:414 AM,37603.160156,-49438.71875,4913.77002,-3.0,0.0,2.0,102.738007,5.941,12.916,-124.046005,-102.0,-85.0,1997.0,0.0,0.0,0.0,true
May 21 2024 10:23:06:518 AM,37602.4375,-49438.058594,4907.939941,-3.0,0.0,2.0,108.559006,-1.375,6.611001,-15.024001,-73.0,-63.0,1090.0,0.0,0.0,0.0,true
May 21 2024 10:23:06:615 AM,37602.558594,-49438.097656,4908.189941,-3.0,0.0,2.0,108.810005,-0.096,2.168,7.867001,13.0,-44.0,229.0,0.02,0.0,0.0,true
May 21 2024 10:23:06:714 AM,37602.628906,-49438.179688,4909.169922,-3.0,0.0,2.0,109.786003,0.657,1.907,10.197001,8.0,-3.0,23.0,0.02,0.0,0.0,true
May 21 2024 10:23:06:809 AM,37602.667969,-49438.25,4910.060059,-3.0,0.0,2.0,110.669006,0.659,1.358,8.255,0.0,-5.0,-19.0,0.02,1.0,0.0,true
May 21 2024 10:23:06:912 AM,37603.097656,-49438.300781,4910.77002,-3.0,0.0,2.0,111.385002,6.325,0.763,5.715,57.0,-6.0,-25.0,-0.98,1.0,0.0,true
May 21 2024 10:23:07:20 AM,37605.519531,-49438.648438,4911.179688,-3.0,0.0,2.0,111.796005,32.212002,-2.669,1.925,259.0,-34.0,-38.0,-0.98,1.0,0.0,true
May 21 2024 10:23:07:109 AM,37610.429688,-49439.578125,4911.25,-3.0,-1.0,3.0,111.865005,69.162003,-10.22,-1.581,370.0,-76.0,-35.0,-0.98,1.0,0.0,true
May 21 2024 10:23:07:219 AM,37621.527344,-49441.71875,4910.859863,-2.0,-2.0,3.0,112.253006,118.520004,-14.784,-5.678,494.0,-46.0,-41.0,0.02,1.0,0.0,true
May 21 2024 10:23:07:315 AM,37635.417969,-49442.488281,4910.239746,-2.0,-2.0,3.0,112.872002,158.986008,-8.254001,-7.725,405.0,65.0,-20.0,0.02,1.0,0.0,true
May 21 2024 10:23:07:416 AM,37654.128906,-49442.988281,4909.350098,-2.0,-2.0,3.0,113.770004,199.49501,-6.171,-9.938001,405.0,21.0,-22.0,0.02,1.0,0.0,true
May 21 2024 10:23:07:514 AM,37675.679688,-49443.507812,4908.279785,-2.0,-2.0,3.0,114.841003,237.223007,-5.808,-12.154,377.0,4.0,-22.0,0.02,1.0,0.0,true
May 21 2024 10:23:07:615 AM,37702.347656,-49444.109375,4906.929688,-2.0,-2.0,3.0,116.187004,276.71402,-6.222,-14.108001,395.0,-4.0,-20.0,0.02,1.0,0.0,true
May 21 2024 10:23:07:718 AM,37732.539062,-49445.988281,4905.379883,-2.0,-2.0,3.0,117.732002,313.326019,-20.6,-16.800001,366.0,-144.0,-27.0,-0.98,1.0,0.0,true
May 21 2024 10:23:07:814 AM,37764.46875,-49450.828125,4903.719727,-2.0,-4.0,4.0,119.393005,343.312012,-48.843002,-17.557001,300.0,-282.0,-8.0,-0.98,1.0,0.0,true
May 21 2024 10:23:07:910 AM,37799.210938,-49457.039062,4902.100098,-1.0,-6.0,4.0,121.021004,380.615021,-56.718002,-17.838001,373.0,-79.0,-3.0,0.02,1.0,0.0,true
May 21 2024 10:23:08:11 AM,37839.847656,-49461.4375,4900.199707,-1.0,-6.0,3.0,122.914009,419.002014,-49.545002,-18.845001,384.0,72.0,-10.0,0.02,1.0,0.0,true
May 21 2024 10:23:08:112 AM,37884.167969,-49465.847656,4898.149902,-1.0,-6.0,3.0,124.971008,456.837036,-46.781002,-21.015001,378.0,28.0,-22.0,0.02,1.0,0.0,true
May 21 2024 10:23:08:217 AM,37935.308594,-49470.570312,4895.830078,-1.0,-6.0,3.0,127.289009,495.276031,-46.513,-22.184002,384.0,3.0,-12.0,0.02,0.0,0.0,true
May 21 2024 10:23:08:311 AM,37982.847656,-49474.800781,4893.719727,-1.0,-5.0,3.0,129.39801,515.81604,-46.181004,-22.862001,205.0,3.0,-7.0,0.02,0.0,0.0,true
May 21 2024 10:23:08:412 AM,38034.578125,-49479.238281,4891.389648,-2.0,-5.0,3.0,131.727005,517.490051,-44.212002,-22.507002,17.0,20.0,4.0,0.02,0.0,0.0,true
May 21 2024 10:23:08:518 AM,38088.679688,-49483.707031,4888.969727,-2.0,-5.0,3.0,134.144012,504.915039,-41.171001,-21.454,-126.0,30.0,11.0,0.02,0.0,0.0,true
May 21 2024 10:23:08:619 AM,38137.839844,-49487.589844,4886.810059,-2.0,-5.0,3.0,136.306,485.788025,-37.964001,-20.740002,-191.0,32.0,7.0,0.02,0.0,0.0,true
May 21 2024 10:23:08:710 AM,38180.828125,-49490.859375,4884.949707,-2.0,-5.0,3.0,138.162003,465.271027,-34.913002,-19.143002,-205.0,31.0,16.0,0.02,0.0,0.0,true
May 21 2024 10:23:08:811 AM,38225.949219,-49494.160156,4883.080078,-3.0,-5.0,3.0,140.034012,441.161011,-31.762001,-17.708,-241.0,32.0,14.0,0.02,0.0,0.0,true
May 21 2024 10:23:08:921 AM,38272.507812,-49497.417969,4881.209961,-3.0,-5.0,3.0,141.911011,414.278015,-28.518002,-16.437,-269.0,32.0,13.0,0.02,0.0,0.0,true
May 21 2024 10:23:09:15 AM,38310.289062,-49499.980469,4879.72998,-3.0,-4.0,3.0,143.384003,391.577026,-26.031002,-15.087001,-227.0,25.0,14.0,0.02,0.0,0.0,true
May 21 2024 10:23:09:112 AM,38346.917969,-49502.359375,4878.330078,-3.0,-4.0,3.0,144.784012,369.617004,-23.632002,-13.769001,-220.0,24.0,13.0,0.02,0.0,0.0,true
May 21 2024 10:23:09:219 AM,38385.058594,-49504.757812,4876.929688,-3.0,-4.0,3.0,146.187012,347.02002,-21.391001,-12.641001,-226.0,22.0,11.0,0.02,0.0,0.0,true
May 21 2024 10:23:09:319 AM,38418.699219,-49506.789062,4875.699707,-3.0,-4.0,3.0,147.414001,327.286011,-19.409,-12.108001,-197.0,20.0,5.0,0.02,0.0,0.0,true
May 21 2024 10:23:09:413 AM,38448.878906,-49508.550781,4874.629883,-3.0,-4.0,3.0,148.489014,309.693024,-17.756001,-11.004001,-176.0,17.0,11.0,0.02,0.0,0.0,true
May 21 2024 10:23:09:510 AM,38477.96875,-49510.1875,4873.609863,-3.0,-4.0,3.0,149.502014,292.917999,-16.288,-10.367001,-168.0,15.0,6.0,0.02,0.0,0.0,true
May 21 2024 10:23:09:618 AM,38508.640625,-49511.867188,4872.549805,-3.0,-4.0,3.0,150.571014,275.35202,-14.695001,-9.741,-176.0,16.0,6.0,0.02,0.0,0.0,true
May 21 2024 10:23:09:716 AM,38534.898438,-49513.238281,4871.659668,-3.0,-4.0,3.0,151.45401,260.434021,-13.495001,-8.724,-149.0,12.0,10.0,0.02,0.0,0.0,true
May 21 2024 10:23:09:816 AM,38560.160156,-49514.527344,4870.819824,-3.0,-4.0,3.0,152.292007,246.221008,-12.346001,-8.256001,-142.0,11.0,5.0,0.02,0.0,0.0,true
May 21 2024 10:23:09:917 AM,38584.578125,-49515.839844,4870.02002,-3.0,-4.0,3.0,153.096008,232.294006,-14.141001,-7.627,-139.0,-18.0,6.0,-0.98,0.0,0.0,true
