,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 3 2024 10:16:14:636 AM,37606.070312,-49438.230469,5001.879883,0.0,0.0,0.0,0.0,0.0,0.0,-195.78801,0.0,0.0,-1958.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:14:636 AM,37606.070312,-49438.230469,5001.879883,0.0,0.0,0.0,0.0,0.0,0.0,-195.78801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:14:636 AM,37606.070312,-49438.230469,5001.879883,0.0,0.0,0.0,0.0,0.0,0.0,-195.78801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:15:59 AM,37606.070312,-49438.230469,4976.600098,0.0,0.0,0.0,25.281002,0.0,0.0,-293.535004,0.0,0.0,-977.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:15:59 AM,37606.070312,-49438.230469,4976.600098,0.0,0.0,0.0,25.281002,0.0,0.0,-293.535004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:15:60 AM,37606.070312,-49438.230469,4976.600098,0.0,0.0,0.0,25.281002,0.0,0.0,-293.535004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:15:60 AM,37606.070312,-49438.230469,4976.600098,0.0,0.0,0.0,25.281002,0.0,0.0,-293.535004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:15:169 AM,37605.800781,-49438.878906,4939.209961,0.0,0.0,0.0,62.675003,-2.053,7.811,-376.503021,-21.0,78.0,-830.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:15:265 AM,37603.148438,-49438.539062,4914.739746,-3.0,0.0,2.0,87.145004,6.629,15.050001,-137.276001,87.0,72.0,2392.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:15:366 AM,37602.320312,-49438.039062,4908.199707,-3.0,0.0,2.0,93.681007,-1.826,6.531,-18.278002,-85.0,-85.0,1190.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:15:457 AM,37602.410156,-49438.027344,4908.149902,-3.0,0.0,2.0,93.734001,-0.302,1.168,6.036,15.0,-54.0,243.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:15:572 AM,37602.488281,-49438.117188,4909.209961,-3.0,0.0,2.0,94.792007,0.602,1.981,10.083,9.0,8.0,40.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:15:666 AM,37602.527344,-49438.179688,4910.100098,-3.0,0.0,2.0,95.679001,0.622,1.685,8.280001,0.0,-3.0,-18.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:15:759 AM,37602.558594,-49438.207031,4910.72998,-3.0,0.0,2.0,96.316002,0.493,1.561,6.032,-1.0,-1.0,-22.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:15:863 AM,37602.578125,-49438.277344,4911.27002,-3.0,0.0,2.0,96.849007,0.331,0.626,4.077,-2.0,-9.0,-20.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 10:16:15:960 AM,37602.597656,-49438.320312,4911.569824,-3.0,0.0,2.0,97.156006,0.249,0.295,2.893,-1.0,-3.0,-12.0,0.0,0.0,0.0,0.0,true
