,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
May 22 2024 11:04:18:793 AM,37606.070312,-49438.230469,5014.080078,0.0,0.0,0.0,0.0,0.0,0.0,-125.303009,0.0,0.0,-1253.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:18:793 AM,37606.070312,-49438.230469,5014.080078,0.0,0.0,0.0,0.0,0.0,0.0,-125.303009,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:18:793 AM,37606.070312,-49438.230469,5014.080078,0.0,0.0,0.0,0.0,0.0,0.0,-125.303009,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:19:264 AM,37606.070312,-49438.230469,4995.839844,0.0,0.0,0.0,18.237001,0.0,0.0,-223.121017,0.0,0.0,-978.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:19:264 AM,37606.070312,-49438.230469,4995.839844,0.0,0.0,0.0,18.237001,0.0,0.0,-223.121017,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:19:264 AM,37606.070312,-49438.230469,4995.839844,0.0,0.0,0.0,18.237001,0.0,0.0,-223.121017,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:19:264 AM,37606.070312,-49438.230469,4995.839844,0.0,0.0,0.0,18.237001,0.0,0.0,-223.121017,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:19:371 AM,37606.070312,-49438.230469,4964.759766,0.0,0.0,0.0,49.319004,0.0,0.0,-330.220001,0.0,0.0,-1071.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:19:479 AM,37604.558594,-49439.027344,4926.859863,-1.0,0.0,1.0,87.221001,22.703001,25.416,-294.327026,227.0,254.0,359.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:19:569 AM,37602.75,-49438.640625,4911.699707,-3.0,0.0,2.0,102.373001,4.579,10.570001,-91.154007,-181.0,-148.0,2032.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:19:685 AM,37602.339844,-49438.128906,4907.870117,-3.0,0.0,2.0,106.208008,-1.568,0.032,-2.113,-61.0,-105.0,890.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:19:775 AM,37602.410156,-49438.179688,4908.370117,-3.0,0.0,2.0,106.712006,0.22,2.161,8.832001,18.0,21.0,109.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:19:865 AM,37602.460938,-49438.207031,4909.279785,-3.0,0.0,2.0,107.617004,0.66,2.574,10.081,4.0,4.0,12.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:19:969 AM,37602.507812,-49438.289062,4910.199707,-3.0,0.0,2.0,108.541008,0.599,1.238,7.883,-1.0,-13.0,-22.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:20:73 AM,37602.539062,-49438.320312,4910.870117,-3.0,0.0,2.0,109.211006,0.453,1.418,5.411,-1.0,2.0,-25.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:20:162 AM,37602.558594,-49438.378906,4911.27002,-3.0,0.0,2.0,109.609009,0.318,0.972,3.836,-1.0,-4.0,-16.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:04:20:267 AM,37602.578125,-49438.417969,4911.580078,-3.0,0.0,2.0,109.916008,0.214,0.283,2.238,-1.0,-7.0,-16.0,-1.02,0.0,0.0,0.0,true
May 22 2024 11:04:20:373 AM,37602.589844,-49438.4375,4911.759766,-3.0,0.0,2.0,110.098007,0.126,0.18,1.255,-1.0,-1.0,-10.0,-1.02,0.0,0.0,0.0,true
May 22 2024 11:04:20:463 AM,37602.578125,-49438.449219,4911.859863,-3.0,0.0,2.0,110.194008,0.099,0.121,0.761,0.0,-1.0,-5.0,-1.02,0.0,0.0,0.0,true
May 22 2024 11:04:20:567 AM,37602.578125,-49438.46875,4911.909668,-3.0,0.0,2.0,110.251007,0.075,0.063,0.483,0.0,-1.0,-3.0,-1.02,1.0,0.0,0.0,true
May 22 2024 11:04:20:670 AM,37602.839844,-49438.550781,4911.949707,-3.0,0.0,2.0,110.291008,4.862,-1.774,0.107,48.0,-18.0,-4.0,-1.02,1.0,0.0,0.0,true
May 22 2024 11:04:20:774 AM,37604.007812,-49438.839844,4911.929688,-3.0,0.0,3.0,110.311005,18.353001,-3.121,-0.93,135.0,-13.0,-10.0,-1.02,1.0,0.0,0.0,true
May 22 2024 11:04:20:877 AM,37607.667969,-49440.027344,4911.790039,-3.0,-1.0,3.0,110.454002,42.731003,-10.969001,-2.632,244.0,-78.0,-17.0,-1.02,1.0,0.0,0.0,true
