,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:00:40:987 AM,37606.070312,-49438.230469,5014.259766,0.0,0.0,0.0,0.0,0.0,0.0,-123.982002,0.0,0.0,-1240.0,0.0,0.0,0.0,true
May 22 2024 10:00:40:988 AM,37606.070312,-49438.230469,5014.259766,0.0,0.0,0.0,0.0,0.0,0.0,-123.982002,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:00:40:988 AM,37606.070312,-49438.230469,5014.259766,0.0,0.0,0.0,0.0,0.0,0.0,-123.982002,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:00:41:277 AM,37606.070312,-49438.230469,4996.159668,0.0,0.0,0.0,18.105001,0.0,0.0,-221.80101,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 10:00:41:277 AM,37606.070312,-49438.230469,4996.159668,0.0,0.0,0.0,18.105001,0.0,0.0,-221.80101,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:00:41:277 AM,37606.070312,-49438.230469,4996.159668,0.0,0.0,0.0,18.105001,0.0,0.0,-221.80101,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:00:41:338 AM,37606.070312,-49438.230469,4978.600098,0.0,0.0,0.0,35.66,0.0,0.0,-287.847015,0.0,0.0,-660.0,0.0,0.0,0.0,true
May 22 2024 10:00:41:436 AM,37606.070312,-49438.230469,4945.859863,0.0,0.0,0.0,68.405006,0.0,0.0,-382.09903,0.0,0.0,-943.0,0.0,0.0,0.0,true
May 22 2024 10:00:41:536 AM,37603.429688,-49438.667969,4916.810059,-2.0,0.0,1.0,97.457008,7.621,17.187,-164.240005,76.0,172.0,2179.0,0.0,0.0,0.0,true
May 22 2024 10:00:41:638 AM,37602.347656,-49438.4375,4908.389648,-3.0,0.0,2.0,105.874008,2.222,6.009,-34.864002,-54.0,-112.0,1294.0,0.0,0.0,0.0,true
May 22 2024 10:00:41:742 AM,37602.417969,-49438.007812,4908.02002,-3.0,0.0,2.0,106.246002,-0.281,1.614,6.149,-25.0,-44.0,410.0,0.0,0.0,0.0,true
May 22 2024 10:00:41:838 AM,37602.480469,-49438.078125,4908.919922,-3.0,0.0,2.0,107.147003,0.578,1.969,10.435,9.0,4.0,43.0,0.0,0.0,0.0,true
May 22 2024 10:00:41:940 AM,37602.519531,-49438.140625,4909.929688,-3.0,0.0,2.0,108.155006,0.655,1.572,8.908,1.0,-4.0,-15.0,0.0,0.0,0.0,true
May 22 2024 10:00:42:38 AM,37602.550781,-49438.199219,4910.659668,-3.0,0.0,2.0,108.889008,0.519,1.051,6.419,-1.0,-5.0,-25.0,0.0,0.0,0.0,true
May 22 2024 10:00:42:142 AM,37602.570312,-49438.257812,4911.199707,-3.0,0.0,2.0,109.426003,0.362,0.518,4.224,-2.0,-5.0,-22.0,0.0,0.0,0.0,true
May 22 2024 10:00:42:237 AM,37602.597656,-49438.289062,4911.509766,-3.0,0.0,2.0,109.742004,0.244,0.182,2.595,-1.0,-3.0,-16.0,0.0,0.0,0.0,true
May 22 2024 10:00:42:342 AM,37602.597656,-49438.347656,4911.72998,-3.0,0.0,2.0,109.963005,0.166,-0.077,1.614,-1.0,-3.0,-10.0,0.0,0.0,0.0,true
May 22 2024 10:00:42:435 AM,37602.597656,-49438.359375,4911.810059,-3.0,0.0,2.0,110.043007,0.0,0.0,0.0,-2.0,1.0,-16.0,0.0,0.0,0.0,true
May 22 2024 10:00:42:540 AM,37602.597656,-49438.359375,4911.810059,-3.0,0.0,2.0,110.043007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:00:42:639 AM,37602.597656,-49438.359375,4911.810059,-3.0,0.0,2.0,110.043007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:00:42:737 AM,37602.597656,-49438.359375,4911.810059,-3.0,0.0,2.0,110.043007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:00:42:836 AM,37602.597656,-49438.359375,4911.810059,-3.0,0.0,2.0,110.043007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:00:42:945 AM,37602.597656,-49438.359375,4911.810059,-3.0,0.0,2.0,110.046005,0.01,-0.173,-0.274,0.0,-2.0,-3.0,0.02,0.0,0.0,true
May 22 2024 10:00:43:40 AM,37602.589844,-49438.410156,4911.839844,-3.0,0.0,2.0,110.075005,0.082,-0.245,0.535,1.0,-1.0,8.0,0.02,0.0,0.0,true
May 22 2024 10:00:43:138 AM,37602.589844,-49438.457031,4911.899902,-3.0,0.0,2.0,110.135002,0.077,-0.331,0.547,0.0,-1.0,0.0,0.02,0.0,0.0,true
May 22 2024 10:00:43:240 AM,37602.589844,-49438.46875,4911.949707,-3.0,0.0,2.0,110.188004,0.049,-0.058,0.437,0.0,3.0,-1.0,-0.98,0.0,0.0,true
May 22 2024 10:00:43:342 AM,37602.589844,-49438.46875,4911.989746,-3.0,0.0,2.0,110.225006,0.0,0.0,0.0,0.0,1.0,-4.0,-0.98,1.0,0.0,true
May 22 2024 10:00:43:438 AM,37602.597656,-49438.46875,4912.009766,-3.0,0.0,2.0,110.240005,1.435,-0.421,0.231,14.0,-4.0,2.0,-0.98,1.0,0.0,true
May 22 2024 10:00:43:538 AM,37603.199219,-49438.660156,4912.009766,-3.0,0.0,2.0,110.245003,10.002001,-2.052,-0.374,86.0,-16.0,-6.0,-0.98,1.0,0.0,true
May 22 2024 10:00:43:640 AM,37605.980469,-49439.699219,4911.909668,-3.0,-1.0,3.0,110.349007,35.478001,-9.334001,-2.361,255.0,-73.0,-20.0,-0.98,1.0,0.0,true
May 22 2024 10:00:43:746 AM,37612.230469,-49442.128906,4911.589844,-3.0,-2.0,3.0,110.670006,75.078003,-22.162001,-5.304,396.0,-128.0,-29.0,-0.98,1.0,0.0,true
May 22 2024 10:00:43:839 AM,37621.46875,-49445.820312,4911.080078,-2.0,-3.0,3.0,111.179008,112.337006,-36.498001,-6.672,373.0,-143.0,-14.0,-0.98,1.0,0.0,true
May 22 2024 10:00:43:940 AM,37634.878906,-49451.507812,4910.540039,-2.0,-6.0,4.0,111.718002,146.27301,-56.227001,-5.976,339.0,-197.0,7.0,-0.98,1.0,0.0,true
May 22 2024 10:00:44:40 AM,37651.320312,-49459.328125,4909.989746,-2.0,-9.0,4.0,112.269005,176.650009,-78.147003,-6.435,304.0,-219.0,-5.0,-0.98,1.0,0.0,true
