,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 9:39:25:131 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,-1061.0,0.0,0.0,0.0,true
May 22 2024 9:39:25:131 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:39:25:131 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:39:25:302 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 9:39:25:303 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:39:25:304 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:39:25:304 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:39:25:501 AM,37606.070312,-49438.230469,4974.089844,0.0,0.0,0.0,42.414001,0.0,0.0,-301.677002,0.0,0.0,-977.0,0.0,0.0,0.0,true
May 22 2024 9:39:25:501 AM,37606.070312,-49438.230469,4974.089844,0.0,0.0,0.0,42.414001,0.0,0.0,-301.677002,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:39:25:624 AM,37604.890625,-49439.078125,4930.350098,-1.0,0.0,1.0,86.155006,12.016001,19.686001,-331.36203,120.0,197.0,-297.0,0.0,0.0,0.0,true
May 22 2024 9:39:25:728 AM,37602.789062,-49438.628906,4911.489746,-3.0,0.0,2.0,105.015007,4.498,10.42,-89.033005,-75.0,-93.0,2423.0,0.0,0.0,0.0,true
May 22 2024 9:39:25:796 AM,37602.371094,-49438.289062,4908.149902,-3.0,0.0,2.0,108.353004,-1.855,6.146,-19.130001,-64.0,-43.0,699.0,0.0,0.0,0.0,true
May 22 2024 9:39:25:904 AM,37602.488281,-49438.257812,4908.169922,-3.0,0.0,2.0,108.375008,-0.113,1.187,7.088,17.0,-50.0,262.0,0.0,0.0,0.0,true
May 22 2024 9:39:25:996 AM,37602.539062,-49438.328125,4909.049805,-3.0,0.0,2.0,109.257004,0.625,1.954,10.311001,7.0,8.0,32.0,0.0,0.0,0.0,true
May 22 2024 9:39:26:96 AM,37602.589844,-49438.390625,4910.009766,-3.0,0.0,2.0,110.212006,0.69,1.668,8.615001,1.0,-3.0,-17.0,0.0,0.0,0.0,true
May 22 2024 9:39:26:202 AM,37602.628906,-49438.4375,4910.759766,-3.0,0.0,2.0,110.959007,0.508,1.14,5.642,-2.0,-5.0,-30.0,0.0,0.0,0.0,true
May 22 2024 9:39:26:296 AM,37602.640625,-49438.488281,4911.209961,-3.0,0.0,2.0,111.414009,0.368,0.621,3.949,-1.0,-5.0,-17.0,0.0,0.0,0.0,true
May 22 2024 9:39:26:395 AM,37602.660156,-49438.539062,4911.52002,-3.0,0.0,2.0,111.720009,0.242,0.314,2.502,-1.0,-3.0,-14.0,0.0,0.0,0.0,true
May 22 2024 9:39:26:496 AM,37602.667969,-49438.578125,4911.719727,-3.0,0.0,2.0,111.926003,0.162,0.014,1.674,-1.0,-3.0,-8.0,0.0,0.0,0.0,true
