,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 9:59:41:532 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,-1061.0,0.0,0.0,0.0,true
May 22 2024 9:59:41:532 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:59:41:532 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:59:41:966 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 9:59:41:966 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:59:41:966 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:59:41:967 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:59:42:66 AM,37606.070312,-49438.230469,4972.909668,0.0,0.0,0.0,43.591003,0.0,0.0,-306.093018,0.0,0.0,-1022.0,0.0,0.0,0.0,true
May 22 2024 9:59:42:168 AM,37605.738281,-49438.828125,4937.330078,0.0,0.0,0.0,79.171005,3.888,16.118,-368.854004,39.0,161.0,-628.0,0.0,0.0,0.0,true
May 22 2024 9:59:42:273 AM,37603.089844,-49438.578125,4913.239746,-3.0,0.0,2.0,103.267006,5.679,12.968,-116.955002,18.0,-32.0,2519.0,0.0,0.0,0.0,true
May 22 2024 9:59:42:368 AM,37602.449219,-49438.160156,4908.060059,-3.0,0.0,2.0,108.447006,-2.833,-0.399,-13.351001,-85.0,-134.0,1036.0,0.0,0.0,0.0,true
May 22 2024 9:59:42:472 AM,37602.539062,-49438.21875,4908.179688,-3.0,0.0,2.0,108.568008,-0.029,1.319,7.186,28.0,17.0,205.0,0.0,0.0,0.0,true
May 22 2024 9:59:42:565 AM,37602.597656,-49438.300781,4909.069824,-3.0,0.0,2.0,109.465004,0.647,1.961,10.174001,7.0,6.0,30.0,0.0,0.0,0.0,true
May 22 2024 9:59:42:668 AM,37602.648438,-49438.367188,4910.049805,-3.0,0.0,2.0,110.439003,0.65,1.68,8.428,0.0,-3.0,-17.0,0.0,0.0,0.0,true
May 22 2024 9:59:42:774 AM,37602.679688,-49438.429688,4910.779785,-3.0,0.0,2.0,111.167007,0.499,1.124,5.775,-2.0,-6.0,-27.0,0.0,0.0,0.0,true
