,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 9:59:57:283 AM,37606.070312,-49438.230469,5016.449707,0.0,0.0,0.0,0.0,0.0,0.0,-106.543007,0.0,0.0,-1065.0,0.0,0.0,0.0,true
May 22 2024 9:59:57:283 AM,37606.070312,-49438.230469,5016.449707,0.0,0.0,0.0,0.0,0.0,0.0,-106.543007,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:59:57:284 AM,37606.070312,-49438.230469,5016.449707,0.0,0.0,0.0,0.0,0.0,0.0,-106.543007,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:59:57:663 AM,37606.070312,-49438.230469,5000.089844,0.0,0.0,0.0,16.362001,0.0,0.0,-204.380005,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 9:59:57:663 AM,37606.070312,-49438.230469,5000.089844,0.0,0.0,0.0,16.362001,0.0,0.0,-204.380005,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:59:57:664 AM,37606.070312,-49438.230469,5000.089844,0.0,0.0,0.0,16.362001,0.0,0.0,-204.380005,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:59:57:664 AM,37606.070312,-49438.230469,5000.089844,0.0,0.0,0.0,16.362001,0.0,0.0,-204.380005,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:59:57:764 AM,37606.070312,-49438.230469,4973.259766,0.0,0.0,0.0,43.190002,0.0,0.0,-304.812012,0.0,0.0,-1004.0,0.0,0.0,0.0,true
May 22 2024 9:59:57:867 AM,37605.648438,-49438.839844,4936.22998,0.0,0.0,1.0,80.221001,5.867,17.876001,-366.472015,59.0,179.0,-617.0,0.0,0.0,0.0,true
May 22 2024 9:59:57:987 AM,37603.0,-49438.347656,4911.739746,-3.0,0.0,2.0,104.716003,4.638,11.695001,-93.581001,-12.0,-62.0,2729.0,0.0,0.0,0.0,true
