,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 10:37:08:510 AM,41181.679688,-45213.46875,4899.439941,1.0,94.0,8.0,238.803009,-257.925018,1180.717041,6.341,1255.0,364.0,55.0,0.02,1.0,0.0,false
May 21 2024 10:37:08:608 AM,41163.269531,-45096.410156,4900.540039,1.0,90.0,9.0,239.904007,-146.277008,1205.878052,8.893001,1116.0,252.0,26.0,0.02,1.0,0.0,false
May 21 2024 10:37:08:714 AM,41152.847656,-44967.710938,4901.569824,1.0,89.0,8.0,240.930008,-52.477001,1228.405029,7.753,938.0,225.0,-11.0,0.02,1.0,0.0,false
May 21 2024 10:37:08:812 AM,41149.109375,-44846.527344,4901.859863,1.0,89.0,7.0,241.223007,-3.247,1249.368042,2.465,492.0,210.0,-53.0,0.02,1.0,0.0,false
May 21 2024 10:37:08:914 AM,41147.757812,-44717.710938,4901.859863,1.0,89.0,6.0,241.223007,16.639,1270.876099,0.704,199.0,215.0,-18.0,0.02,1.0,0.0,false
May 21 2024 10:37:09:12 AM,41147.738281,-44591.859375,4901.709961,1.0,90.0,4.0,241.372009,19.480001,1291.424072,-1.66,28.0,205.0,-24.0,0.02,1.0,0.0,false
May 21 2024 10:37:09:107 AM,41147.738281,-44468.710938,4901.439941,1.0,90.0,3.0,241.640015,13.863001,1310.742065,-1.654,-56.0,193.0,0.0,0.02,1.0,0.0,false
May 21 2024 10:37:09:210 AM,41147.128906,-44331.507812,4901.279785,1.0,90.0,3.0,241.804016,3.35,1331.496094,-0.831,-105.0,208.0,8.0,0.02,1.0,0.0,true
May 21 2024 10:37:09:311 AM,41145.628906,-44196.289062,4901.129883,1.0,91.0,2.0,241.95401,-7.366,1351.446045,-0.782,-107.0,200.0,0.0,0.02,1.0,0.0,true
May 21 2024 10:37:09:409 AM,41142.878906,-44063.339844,4901.02002,1.0,91.0,1.0,242.067017,-26.935001,1369.612061,-1.112,-196.0,182.0,-3.0,1.02,1.0,0.0,true
May 21 2024 10:37:09:507 AM,41134.078125,-43928.878906,4900.77002,1.0,94.0,-1.0,242.312012,-91.086006,1376.477051,-2.904,-642.0,69.0,-18.0,1.02,1.0,0.0,true
May 21 2024 10:37:09:608 AM,41114.480469,-43791.269531,4900.75,0.0,100.0,-3.0,242.332016,-208.344009,1356.620117,5.309,-1173.0,-199.0,82.0,1.02,1.0,0.0,true
May 21 2024 10:37:09:714 AM,41079.378906,-43653.230469,4902.02002,0.0,109.0,-4.0,243.600006,-363.758026,1293.24707,17.074001,-1554.0,-634.0,118.0,1.02,1.0,0.0,true
May 21 2024 10:37:09:814 AM,41031.367188,-43531.859375,4903.939941,0.0,120.0,-6.0,245.522018,-516.778015,1193.261108,10.986,-1530.0,-1000.0,-61.0,1.02,1.0,0.0,true
May 21 2024 10:37:09:914 AM,40969.667969,-43423.789062,4905.529785,0.0,131.0,-7.0,247.10701,-659.846008,1058.084106,5.936,-1431.0,-1352.0,-51.0,1.02,1.0,0.0,true
May 21 2024 10:37:10:10 AM,40899.480469,-43334.808594,4906.449707,0.0,141.0,-8.0,248.036011,-777.13501,900.669067,-6.394001,-1173.0,-1574.0,-123.0,1.02,1.0,0.0,true
May 21 2024 10:37:10:113 AM,40814.769531,-43257.847656,4907.290039,-1.0,152.0,-9.0,248.871017,-871.723022,709.700012,-6.243001,-946.0,-1910.0,2.0,1.02,1.0,0.0,true
May 21 2024 10:37:10:212 AM,40727.429688,-43203.238281,4909.810059,-1.0,163.0,-12.0,251.393005,-906.017029,550.16803,20.777,-343.0,-1595.0,270.0,1.02,1.0,0.0,false
