,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
May 22 2024 11:23:26:526 AM,37606.070312,-49438.230469,5013.819824,0.0,0.0,0.0,0.0,0.0,0.0,-127.120003,0.0,0.0,-1271.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:26:527 AM,37606.070312,-49438.230469,5013.819824,0.0,0.0,0.0,0.0,0.0,0.0,-127.120003,0.0,0.0,0.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:26:527 AM,37606.070312,-49438.230469,5013.819824,0.0,0.0,0.0,0.0,0.0,0.0,-127.120003,0.0,0.0,0.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:26:891 AM,37606.070312,-49438.230469,4995.399902,0.0,0.0,0.0,18.419001,0.0,0.0,-224.936005,0.0,0.0,-978.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:26:891 AM,37606.070312,-49438.230469,4995.399902,0.0,0.0,0.0,18.419001,0.0,0.0,-224.936005,0.0,0.0,0.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:26:891 AM,37606.070312,-49438.230469,4995.399902,0.0,0.0,0.0,18.419001,0.0,0.0,-224.936005,0.0,0.0,0.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:26:891 AM,37606.070312,-49438.230469,4995.399902,0.0,0.0,0.0,18.419001,0.0,0.0,-224.936005,0.0,0.0,0.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:26:996 AM,37606.070312,-49438.230469,4965.02002,0.0,0.0,0.0,48.797001,0.0,0.0,-329.71402,0.0,0.0,-1048.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:27:110 AM,37604.507812,-49438.800781,4925.589844,-1.0,0.0,1.0,88.227005,14.245001,26.432001,-276.973022,142.0,264.0,527.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:27:191 AM,37603.007812,-49438.449219,4912.02002,-3.0,0.0,2.0,101.800003,4.965,11.692,-98.041008,-93.0,-147.0,1789.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:27:299 AM,37602.550781,-49437.980469,4907.889648,-3.0,0.0,2.0,105.930008,-1.925,-0.916,-4.621,-69.0,-126.0,934.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:27:391 AM,37602.621094,-49438.050781,4908.290039,-3.0,0.0,2.0,106.334007,0.15,1.594,8.525001,21.0,25.0,131.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:27:496 AM,37602.6875,-49438.128906,4909.350098,-3.0,0.0,2.0,107.389008,0.647,1.899,10.02,5.0,3.0,15.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:27:598 AM,37602.75,-49438.1875,4910.25,-3.0,0.0,2.0,108.293007,0.586,1.439,7.763,-1.0,-5.0,-23.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:27:697 AM,37602.769531,-49438.25,4910.889648,-3.0,0.0,2.0,108.935005,0.431,0.922,5.362,-2.0,-5.0,-24.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:27:796 AM,37602.789062,-49438.300781,4911.319824,-3.0,0.0,2.0,109.368004,0.304,0.471,3.537,-1.0,-5.0,-18.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:27:891 AM,37602.820312,-49438.339844,4911.580078,-3.0,0.0,2.0,109.628006,0.212,0.124,2.261,-1.0,-3.0,-13.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:27:993 AM,37602.808594,-49438.390625,4911.77002,-3.0,0.0,2.0,109.813004,0.151,-0.115,1.448,-1.0,-2.0,-8.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:28:97 AM,37602.808594,-49438.429688,4911.859863,-3.0,0.0,2.0,109.908005,0.033,-0.17,0.224,-1.0,-1.0,-12.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:28:190 AM,37602.808594,-49438.46875,4911.899902,-3.0,0.0,2.0,109.943008,0.051,-0.289,0.43,0.0,-1.0,2.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:28:295 AM,37602.808594,-49438.507812,4911.939941,-3.0,0.0,2.0,109.986008,0.056,-0.159,0.37,0.0,1.0,-1.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:28:398 AM,37602.800781,-49438.507812,4911.969727,-3.0,0.0,2.0,110.017006,0.042,-0.034,0.45,0.0,1.0,1.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:28:494 AM,37602.800781,-49438.507812,4912.0,-3.0,0.0,2.0,110.047005,0.044,-0.048,0.303,0.0,0.0,-1.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:28:598 AM,37602.800781,-49438.5,4912.009766,-3.0,0.0,2.0,110.057007,0.033,-0.066,0.275,0.0,0.0,0.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:28:690 AM,37602.800781,-49438.5,4912.040039,-3.0,0.0,2.0,110.080002,0.026,-0.058,0.172,0.0,0.0,-1.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:28:792 AM,37602.800781,-49438.488281,4912.049805,-3.0,0.0,2.0,110.094002,0.014,-0.047,0.151,0.0,0.0,0.0,0.02,0.0,0.0,0.0,true
May 22 2024 11:23:28:894 AM,37602.800781,-49438.488281,4912.060059,-3.0,0.0,2.0,110.105003,0.015,-0.058,0.134,0.0,0.0,0.0,-0.98,0.0,0.0,0.0,true
May 22 2024 11:23:28:989 AM,37602.800781,-49438.488281,4912.060059,-3.0,0.0,2.0,110.107002,0.015,-0.02,0.072,0.0,0.0,-1.0,-0.98,0.0,0.0,0.0,true
May 22 2024 11:23:29:91 AM,37602.800781,-49438.480469,4912.069824,-3.0,0.0,2.0,110.111008,0.012,-0.021,0.012,0.0,0.0,-1.0,-0.98,1.0,0.0,0.0,true
May 22 2024 11:23:29:195 AM,37603.097656,-49438.578125,4912.060059,-3.0,0.0,2.0,110.118004,4.886,-0.923,-0.298,49.0,-9.0,-3.0,-0.98,1.0,0.0,0.0,true
May 22 2024 11:23:29:298 AM,37604.988281,-49439.050781,4911.97998,-3.0,0.0,3.0,110.194008,27.178001,-4.241,-1.617,223.0,-33.0,-13.0,0.02,1.0,0.0,0.0,true
May 22 2024 11:23:29:399 AM,37609.96875,-49439.730469,4911.759766,-3.0,-1.0,3.0,110.423004,65.843002,-5.626,-3.894,387.0,-14.0,-23.0,0.02,1.0,0.0,0.0,true
May 22 2024 11:23:29:498 AM,37619.820312,-49439.980469,4911.259766,-2.0,-1.0,3.0,110.915009,113.069008,-2.274,-6.621,472.0,34.0,-27.0,0.02,1.0,0.0,0.0,true
May 22 2024 11:23:29:593 AM,37633.289062,-49440.070312,4910.580078,-2.0,-1.0,2.0,111.603004,153.519012,-1.746,-8.293,404.0,5.0,-17.0,0.02,1.0,0.0,0.0,true
May 22 2024 11:23:29:697 AM,37651.929688,-49440.1875,4909.620117,-2.0,-1.0,2.0,112.563004,194.984009,-1.556,-10.465,415.0,2.0,-22.0,0.02,1.0,0.0,0.0,true
