,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 10:53:19:233 AM,37606.070312,-49438.230469,5005.359863,0.0,0.0,0.0,0.0,0.0,0.0,-178.421005,0.0,0.0,-1784.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:19:233 AM,37606.070312,-49438.230469,5005.359863,0.0,0.0,0.0,0.0,0.0,0.0,-178.421005,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:19:233 AM,37606.070312,-49438.230469,5005.359863,0.0,0.0,0.0,0.0,0.0,0.0,-178.421005,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:19:650 AM,37606.070312,-49438.230469,4981.810059,0.0,0.0,0.0,23.546001,0.0,0.0,-276.185028,0.0,0.0,-978.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:19:650 AM,37606.070312,-49438.230469,4981.810059,0.0,0.0,0.0,23.546001,0.0,0.0,-276.185028,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:19:651 AM,37606.070312,-49438.230469,4981.810059,0.0,0.0,0.0,23.546001,0.0,0.0,-276.185028,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:19:651 AM,37606.070312,-49438.230469,4981.810059,0.0,0.0,0.0,23.546001,0.0,0.0,-276.185028,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:19:772 AM,37605.9375,-49438.628906,4941.109863,0.0,0.0,0.0,64.246002,0.069,2.764,-377.576019,1.0,28.0,-1014.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:19:862 AM,37603.507812,-49438.507812,4916.02002,-2.0,0.0,1.0,89.344002,7.149,16.640001,-151.845001,71.0,139.0,2257.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:19:962 AM,37602.507812,-49438.328125,4908.429688,-3.0,0.0,2.0,96.927002,2.149,6.079,-34.784,-50.0,-106.0,1171.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:20:50 AM,37602.578125,-49437.949219,4908.029785,-3.0,0.0,2.0,97.325005,-0.678,1.931,3.665,-28.0,-41.0,384.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 10:53:20:156 AM,37602.660156,-49438.027344,4908.949707,-3.0,0.0,2.0,98.241005,0.561,1.966,10.186001,12.0,0.0,65.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 10:53:20:255 AM,37602.710938,-49438.097656,4909.909668,-3.0,0.0,2.0,99.204002,0.674,1.721,9.239,1.0,-2.0,-9.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 10:53:20:363 AM,37602.738281,-49438.148438,4910.72998,-3.0,0.0,2.0,100.024002,0.546,1.137,6.512,-1.0,-6.0,-27.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 10:53:20:472 AM,37602.757812,-49438.199219,4911.25,-3.0,0.0,2.0,100.544006,0.358,0.684,4.031,-2.0,-5.0,-25.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:20:559 AM,37602.769531,-49438.257812,4911.529785,-3.0,0.0,2.0,100.824005,0.236,-0.208,2.545,-1.0,-9.0,-15.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:20:650 AM,37602.777344,-49438.277344,4911.75,-3.0,0.0,2.0,101.036003,0.169,0.111,1.484,-1.0,3.0,-11.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:53:20:754 AM,37602.769531,-49438.320312,4911.879883,-3.0,0.0,2.0,101.168007,0.108,-0.225,0.753,-1.0,-3.0,-7.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:20:849 AM,37602.769531,-49438.347656,4911.929688,-3.0,0.0,2.0,101.218002,0.044,-0.184,0.239,-1.0,0.0,-5.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:20:953 AM,37602.769531,-49438.410156,4911.959961,-3.0,0.0,2.0,101.255005,0.065,-1.065,0.295,0.0,-9.0,1.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:21:70 AM,37602.769531,-49438.390625,4912.02002,-3.0,0.0,2.0,101.314003,0.064,-0.031,0.859,0.0,10.0,6.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:21:153 AM,37602.769531,-49438.390625,4912.069824,-3.0,0.0,2.0,101.358002,0.051,-0.042,0.589,0.0,0.0,-3.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:21:257 AM,37602.769531,-49438.390625,4912.069824,-3.0,0.0,2.0,101.359001,0.009,-0.073,-0.082,0.0,0.0,-7.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:21:371 AM,37602.769531,-49438.378906,4912.080078,-3.0,0.0,2.0,101.377007,0.026,-0.055,0.246,0.0,0.0,3.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:21:453 AM,37602.757812,-49438.378906,4912.109863,-3.0,0.0,2.0,101.405006,0.038,-0.025,0.306,0.0,0.0,1.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 10:53:21:556 AM,37602.757812,-49438.359375,4912.109863,-3.0,0.0,2.0,101.410004,0.019,-0.108,-0.08,0.0,-1.0,-4.0,0.03,0.0,0.0,0.0,true
Jun 4 2024 10:53:21:663 AM,37602.757812,-49438.359375,4912.109863,-3.0,0.0,2.0,101.415009,0.003,-0.066,-0.295,0.0,0.0,-2.0,0.04,0.0,0.0,0.0,true
Jun 4 2024 10:53:21:755 AM,37602.757812,-49438.359375,4912.139648,-3.0,0.0,2.0,101.443008,0.042,-0.003,0.411,0.0,1.0,7.0,0.05,0.0,0.0,0.0,true
Jun 4 2024 10:53:21:850 AM,37602.757812,-49438.359375,4912.149902,-3.0,0.0,2.0,101.454002,0.028,-0.03,0.121,0.0,0.0,-3.0,0.05,0.0,0.0,0.0,true
Jun 4 2024 10:53:21:975 AM,37602.757812,-49438.359375,4912.149902,-3.0,0.0,2.0,101.459007,0.015,-0.059,-0.13,0.0,0.0,-3.0,0.05,0.0,0.0,0.0,true
Jun 4 2024 10:53:22:57 AM,37602.757812,-49438.359375,4912.159668,-3.0,0.0,2.0,101.463005,0.025,-0.019,0.206,0.0,0.0,3.0,0.06,0.0,0.0,0.0,true
Jun 4 2024 10:53:22:154 AM,37602.757812,-49438.359375,4912.169922,-3.0,0.0,2.0,101.471008,0.021,-0.048,0.114,0.0,0.0,-1.0,0.07,0.0,0.0,0.0,true
Jun 4 2024 10:53:22:254 AM,37602.757812,-49438.347656,4912.159668,-3.0,0.0,2.0,101.477005,0.023,-0.036,0.119,0.0,0.0,0.0,0.09,0.0,0.0,0.0,true
Jun 4 2024 10:53:22:351 AM,37602.757812,-49438.347656,4912.149902,-3.0,0.0,2.0,101.484001,-0.016,-0.091,-0.664,0.0,-1.0,-8.0,0.11,0.0,0.0,0.0,true
Jun 4 2024 10:53:22:464 AM,37602.757812,-49438.339844,4912.149902,-3.0,0.0,2.0,101.492004,0.034,-0.025,0.065,1.0,1.0,7.0,0.13,0.0,0.0,0.0,true
Jun 4 2024 10:53:22:558 AM,37602.757812,-49438.328125,4912.120117,-3.0,0.0,2.0,101.514008,-0.001,-0.055,-0.213,0.0,0.0,-3.0,0.15,0.12,0.0,0.0,true
Jun 4 2024 10:53:22:649 AM,37603.0,-49438.359375,4912.109863,-3.0,0.0,2.0,101.531006,4.587,-0.139,-0.33,46.0,-1.0,-1.0,0.18,0.3,0.0,0.0,true
Jun 4 2024 10:53:22:759 AM,37603.769531,-49438.359375,4912.069824,-3.0,0.0,2.0,101.565002,8.325001,0.052,-0.75,37.0,2.0,-4.0,0.23,0.49,0.0,0.0,true
Jun 4 2024 10:53:22:859 AM,37604.917969,-49438.277344,4912.02002,-3.0,0.0,2.0,101.617004,15.092001,1.176,-1.093,68.0,11.0,-3.0,0.28,0.69,0.0,0.0,true
Jun 4 2024 10:53:22:955 AM,37607.070312,-49438.097656,4911.939941,-3.0,0.0,2.0,101.696007,31.797001,2.164,-1.374,167.0,10.0,-3.0,0.33,0.88,0.0,0.0,true
Jun 4 2024 10:53:23:64 AM,37613.371094,-49437.339844,4911.689941,-3.0,0.0,2.0,101.946007,73.678001,7.022,-3.633,419.0,49.0,-23.0,0.38,1.0,0.0,0.0,true
Jun 4 2024 10:53:23:159 AM,37623.71875,-49435.789062,4911.209961,-2.0,1.0,2.0,102.425003,115.151009,14.580001,-5.961,415.0,76.0,-23.0,0.43,1.0,0.0,0.0,true
Jun 4 2024 10:53:23:252 AM,37636.519531,-49433.457031,4910.580078,-2.0,2.0,2.0,103.053001,149.925003,22.748001,-7.243001,348.0,82.0,-13.0,0.46,1.0,0.0,0.0,true
Jun 4 2024 10:53:23:357 AM,37654.980469,-49429.519531,4909.699707,-2.0,4.0,1.0,103.938004,188.045013,34.858002,-9.06,381.0,121.0,-18.0,0.5,1.0,0.0,0.0,true
Jun 4 2024 10:53:23:453 AM,37675.1875,-49424.46875,4908.709961,-1.0,5.0,1.0,104.930008,221.395004,48.972004,-10.648001,334.0,141.0,-16.0,0.53,1.0,0.0,0.0,true
Jun 4 2024 10:53:23:560 AM,37701.128906,-49416.847656,4907.489746,-1.0,8.0,0.0,106.147003,256.529022,66.540001,-11.528001,351.0,176.0,-9.0,0.55,1.0,0.0,0.0,true
