,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 20 2024 2:45:52:776 PM,41156.558594,-44614.019531,4907.469727,1.0,71.0,9.0,482.222015,135.96701,1202.244019,0.988,1664.0,-299.0,-67.0,-0.02,1.0,0.0,true
May 20 2024 2:45:52:876 PM,41177.480469,-44496.988281,4908.239746,1.0,64.0,9.0,482.995026,258.46701,1177.489014,-8.781,1225.0,-248.0,-98.0,0.98,1.0,0.0,true
May 20 2024 2:45:52:976 PM,41207.320312,-44379.710938,4908.089844,1.0,64.0,9.0,483.150024,343.18103,1156.990112,-13.362,847.0,-205.0,-46.0,0.98,1.0,0.0,true
May 20 2024 2:45:53:76 PM,41237.859375,-44261.347656,4906.439941,0.0,70.0,7.0,484.792023,326.167023,1164.330078,-13.123001,-170.0,73.0,2.0,0.98,1.0,0.0,true
May 20 2024 2:45:53:176 PM,41256.097656,-44140.710938,4904.709961,0.0,81.0,2.0,486.531036,209.047012,1178.629028,-11.542001,-1171.0,143.0,16.0,0.98,1.0,0.0,true
May 20 2024 2:45:53:276 PM,41258.417969,-44022.46875,4903.600098,0.0,93.0,-3.0,487.642029,43.683002,1167.096069,-12.041,-1654.0,-115.0,-5.0,0.98,1.0,0.0,true
May 20 2024 2:45:53:376 PM,41245.277344,-43911.757812,4903.830078,0.0,105.0,-6.0,487.879028,-147.173004,1109.488037,5.528,-1909.0,-576.0,176.0,0.98,1.0,0.0,true
May 20 2024 2:45:53:476 PM,41216.9375,-43809.019531,4906.009766,0.0,117.0,-7.0,490.052032,-327.700012,1017.785034,5.134,-1805.0,-917.0,-4.0,-0.02,1.0,0.0,true
May 20 2024 2:45:53:576 PM,41173.699219,-43716.109375,4907.549805,0.0,129.0,-8.0,491.59201,-483.216034,922.998047,-0.641,-1555.0,-948.0,-58.0,-0.02,1.0,0.0,true
May 20 2024 2:45:53:676 PM,41119.628906,-43631.140625,4907.810059,0.0,136.0,-8.0,491.85202,-580.781006,834.332031,-10.348001,-976.0,-887.0,-97.0,-0.02,1.0,0.0,true
May 20 2024 2:45:53:776 PM,41056.859375,-43554.730469,4907.870117,0.0,140.0,-8.0,491.915009,-670.903015,725.240051,-8.245001,-901.0,-1091.0,21.0,-0.02,1.0,0.0,true
May 20 2024 2:45:53:876 PM,40987.800781,-43486.417969,4906.580078,0.0,142.0,-8.0,493.200012,-726.308044,653.763062,-20.307001,-554.0,-715.0,-121.0,-0.02,1.0,0.0,true
May 20 2024 2:45:53:976 PM,40914.738281,-43422.699219,4904.359863,0.0,143.0,-6.0,495.427032,-759.127014,609.13501,-26.344002,-328.0,-446.0,-60.0,-1.02,1.0,0.0,true
May 20 2024 2:45:54:76 PM,40841.699219,-43358.570312,4901.549805,-1.0,141.0,-4.0,498.232025,-743.290039,617.755005,-23.512001,158.0,86.0,28.0,-1.02,1.0,0.0,true
May 20 2024 2:45:54:176 PM,40774.039062,-43289.410156,4898.870117,-1.0,136.0,-1.0,500.915009,-687.453003,670.171021,-23.997002,558.0,524.0,-5.0,-1.02,1.0,0.0,false
May 20 2024 2:45:54:276 PM,40715.878906,-43214.097656,4896.790039,-1.0,128.0,3.0,502.998016,-587.139038,738.812012,-19.580002,1003.0,686.0,44.0,-1.02,1.0,0.0,false
May 20 2024 2:45:54:376 PM,40670.199219,-43134.429688,4895.839844,-1.0,118.0,6.0,503.946014,-448.265015,797.864014,-4.231,1389.0,591.0,153.0,-1.02,1.0,0.0,false
May 20 2024 2:45:54:476 PM,40638.398438,-43051.179688,4896.529785,0.0,108.0,8.0,504.63501,-296.410004,842.197021,9.458,1519.0,443.0,137.0,-1.02,1.0,0.0,false
May 20 2024 2:45:54:576 PM,40621.199219,-42965.617188,4898.439941,1.0,97.0,8.0,506.545013,-133.983002,861.215027,19.876001,1624.0,190.0,104.0,-1.02,1.0,0.0,false
May 20 2024 2:45:54:676 PM,40619.859375,-42881.257812,4900.509766,1.0,87.0,9.0,508.622009,26.570002,852.834045,10.867001,1606.0,-84.0,-90.0,-1.02,1.0,0.0,false
May 20 2024 2:45:54:776 PM,40632.050781,-42799.507812,4902.22998,1.0,77.0,9.0,510.338013,164.213013,838.874023,8.903001,1376.0,-140.0,-20.0,-0.02,1.0,0.0,false
May 20 2024 2:45:54:876 PM,40653.1875,-42717.519531,4903.139648,1.0,70.0,8.0,511.252014,252.562012,844.050049,1.019,883.0,52.0,-79.0,0.98,1.0,0.0,false
May 20 2024 2:45:54:976 PM,40679.9375,-42632.289062,4902.629883,1.0,69.0,7.0,511.763031,296.46402,856.133057,-7.317,439.0,121.0,-83.0,0.98,1.0,0.0,true
