,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 9:51:48:683 AM,37606.070312,-49438.230469,5013.659668,0.0,0.0,0.0,0.0,0.0,0.0,-128.202011,0.0,0.0,-1282.0,0.0,0.0,0.0,true
May 22 2024 9:51:48:683 AM,37606.070312,-49438.230469,5013.659668,0.0,0.0,0.0,0.0,0.0,0.0,-128.202011,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:51:48:683 AM,37606.070312,-49438.230469,5013.659668,0.0,0.0,0.0,0.0,0.0,0.0,-128.202011,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:51:49:82 AM,37606.070312,-49438.230469,4995.129883,0.0,0.0,0.0,18.527,0.0,0.0,-226.017014,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 9:51:49:82 AM,37606.070312,-49438.230469,4995.129883,0.0,0.0,0.0,18.527,0.0,0.0,-226.017014,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:51:49:83 AM,37606.070312,-49438.230469,4995.129883,0.0,0.0,0.0,18.527,0.0,0.0,-226.017014,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:51:49:83 AM,37606.070312,-49438.230469,4995.129883,0.0,0.0,0.0,18.527,0.0,0.0,-226.017014,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:51:49:214 AM,37606.070312,-49438.230469,4956.790039,0.0,0.0,0.0,56.873001,0.0,0.0,-353.05603,0.0,0.0,-1270.0,0.0,0.0,0.0,true
May 22 2024 9:51:49:289 AM,37604.820312,-49438.800781,4928.0,-1.0,0.0,1.0,85.663002,21.691002,26.680002,-311.794006,217.0,267.0,413.0,0.0,0.0,0.0,true
May 22 2024 9:51:49:385 AM,37602.917969,-49438.378906,4911.569824,-3.0,0.0,2.0,102.093002,4.647,11.104,-91.628006,-170.0,-156.0,2202.0,0.0,0.0,0.0,true
May 22 2024 9:51:49:479 AM,37602.519531,-49438.019531,4907.929688,-3.0,0.0,2.0,105.726006,-2.369,-2.148,-7.191,-70.0,-133.0,844.0,0.0,0.0,0.0,true
May 22 2024 9:51:49:590 AM,37602.609375,-49438.097656,4908.379883,-3.0,0.0,2.0,106.174004,0.26,1.511,9.009001,26.0,37.0,162.0,0.0,0.0,0.0,true
May 22 2024 9:51:49:690 AM,37602.667969,-49438.167969,4909.389648,-3.0,0.0,2.0,107.186005,0.674,1.902,9.85,4.0,4.0,8.0,0.0,0.0,0.0,true
May 22 2024 9:51:49:787 AM,37602.710938,-49438.21875,4910.25,-3.0,0.0,2.0,108.038002,0.598,1.522,7.76,-1.0,-4.0,-21.0,0.0,0.0,0.0,true
May 22 2024 9:51:49:882 AM,37602.738281,-49438.277344,4910.859863,-3.0,0.0,2.0,108.656006,0.455,1.018,5.445,-1.0,-5.0,-23.0,0.0,0.0,0.0,true
May 22 2024 9:51:49:987 AM,37602.75,-49438.328125,4911.319824,-3.0,0.0,2.0,109.111008,0.322,0.534,3.519,-1.0,-5.0,-19.0,0.0,0.0,0.0,true
May 22 2024 9:51:50:90 AM,37602.769531,-49438.378906,4911.589844,-3.0,0.0,2.0,109.383003,0.205,0.176,2.191,-1.0,-4.0,-13.0,0.0,0.0,0.0,true
May 22 2024 9:51:50:184 AM,37602.769531,-49438.417969,4911.759766,-3.0,0.0,2.0,109.550003,0.147,-0.074,1.405,-1.0,-2.0,-8.0,0.0,0.0,0.0,true
May 22 2024 9:51:50:288 AM,37602.769531,-49438.449219,4911.870117,-3.0,0.0,2.0,109.664001,0.094,-0.182,1.051,-1.0,-1.0,-4.0,0.0,0.0,0.0,true
