,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 5 2024 10:04:35:647 AM,37606.070312,-49438.230469,5009.549805,0.0,0.0,0.0,0.0,0.0,0.0,-155.280014,0.0,0.0,-1553.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:35:647 AM,37606.070312,-49438.230469,5009.549805,0.0,0.0,0.0,0.0,0.0,0.0,-155.280014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:35:648 AM,37606.070312,-49438.230469,5009.549805,0.0,0.0,0.0,0.0,0.0,0.0,-155.280014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:35:826 AM,37606.070312,-49438.230469,4988.319824,0.0,0.0,0.0,21.233002,0.0,0.0,-253.068008,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:35:826 AM,37606.070312,-49438.230469,4988.319824,0.0,0.0,0.0,21.233002,0.0,0.0,-253.068008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:35:932 AM,37606.070312,-49438.230469,4954.939941,0.0,0.0,0.0,54.607002,0.0,0.0,-357.706024,0.0,0.0,-1046.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:36:17 AM,37605.140625,-49438.070312,4925.02002,-1.0,0.0,2.0,84.526001,-29.676001,0.993,-271.81601,-297.0,10.0,859.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:36:113 AM,37603.4375,-49437.878906,4910.779785,-3.0,0.0,2.0,98.771004,-10.774,1.654,-76.693001,189.0,7.0,1951.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:36:234 AM,37603.050781,-49437.828125,4907.75,-3.0,0.0,2.0,101.802002,0.005,-0.55,0.359,108.0,-22.0,771.0,1.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:36:310 AM,37603.097656,-49437.898438,4908.25,-3.0,0.0,2.0,102.299004,1.049,-1.254,8.805,10.0,-7.0,84.0,1.0,1.0,0.0,0.0,true
Jun 5 2024 10:04:36:410 AM,37603.21875,-49438.007812,4909.27002,-3.0,0.0,2.0,103.325005,3.552,-0.462,10.38,25.0,8.0,16.0,1.0,1.0,0.0,0.0,true
Jun 5 2024 10:04:36:509 AM,37603.769531,-49437.929688,4910.159668,-3.0,0.0,2.0,104.212006,7.208,2.011,7.967,37.0,25.0,-24.0,1.0,1.0,0.0,0.0,true
Jun 5 2024 10:04:36:622 AM,37605.871094,-49437.320312,4910.830078,-3.0,0.0,2.0,104.885002,28.009001,8.067,4.486,208.0,61.0,-35.0,1.0,1.0,0.0,0.0,true
Jun 5 2024 10:04:36:720 AM,37610.71875,-49435.617188,4911.009766,-3.0,1.0,2.0,105.063004,70.207001,22.915001,0.93,422.0,148.0,-36.0,1.0,1.0,0.0,0.0,true
Jun 5 2024 10:04:36:812 AM,37619.320312,-49432.347656,4910.819824,-3.0,3.0,2.0,105.255005,108.016006,38.281002,-2.942,378.0,154.0,-39.0,1.0,1.0,0.0,0.0,true
Jun 5 2024 10:04:36:922 AM,37633.46875,-49426.4375,4910.310059,-3.0,5.0,2.0,105.766006,145.475006,58.396004,-6.242,375.0,201.0,-33.0,1.0,1.0,0.0,0.0,true
Jun 5 2024 10:04:37:21 AM,37650.269531,-49420.039062,4909.629883,-3.0,8.0,1.0,106.444008,189.804016,59.037003,-10.461,443.0,6.0,-42.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:37:115 AM,37669.347656,-49415.277344,4908.669922,-3.0,9.0,1.0,107.402008,215.78801,40.631001,-11.740001,260.0,-184.0,-13.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:37:212 AM,37691.070312,-49411.949219,4907.580078,-3.0,9.0,0.0,108.496002,221.882004,33.139,-11.236,61.0,-75.0,5.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:37:309 AM,37712.289062,-49408.828125,4906.639648,-3.0,9.0,0.0,109.435005,219.337006,32.334,-10.245001,-25.0,-8.0,10.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:37:425 AM,37736.429688,-49403.898438,4905.669922,-3.0,9.0,0.0,110.397003,204.956009,49.427002,-8.307,-144.0,171.0,19.0,1.0,1.0,0.0,0.0,true
Jun 5 2024 10:04:37:519 AM,37755.578125,-49397.9375,4904.919922,-2.0,11.0,0.0,111.155006,197.472015,67.130005,-8.512,-75.0,177.0,-2.0,1.0,1.0,0.0,0.0,true
Jun 5 2024 10:04:37:625 AM,37776.328125,-49388.898438,4904.100098,-2.0,13.0,0.0,111.975006,200.780014,94.547005,-7.684,33.0,274.0,8.0,1.0,1.0,0.0,0.0,true
Jun 5 2024 10:04:37:720 AM,37795.988281,-49377.808594,4903.259766,-2.0,16.0,0.0,112.813004,216.087006,117.493004,-10.028001,153.0,229.0,-23.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:37:820 AM,37819.339844,-49366.109375,4902.22998,-2.0,18.0,-1.0,113.841003,248.894012,108.949005,-12.402,328.0,-85.0,-24.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:37:915 AM,37843.648438,-49357.058594,4900.989746,-2.0,19.0,-2.0,115.087006,261.502014,90.046005,-12.794001,126.0,-189.0,-4.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:38:9 AM,37868.398438,-49348.738281,4899.839844,-2.0,19.0,-2.0,116.228004,258.276001,87.026001,-11.605,-32.0,-30.0,12.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 10:04:38:111 AM,37894.078125,-49340.160156,4898.759766,-2.0,19.0,-3.0,117.311005,249.446014,83.759003,-10.111,-88.0,-33.0,15.0,0.0,1.0,0.0,0.0,true
Jun 5 2024 10:04:38:213 AM,37919.757812,-49331.589844,4897.679688,-2.0,19.0,-3.0,118.393005,251.64502,84.402,-11.062,22.0,6.0,-10.0,0.0,1.0,0.0,0.0,true
Jun 5 2024 10:04:38:321 AM,37947.808594,-49322.25,4896.469727,-3.0,19.0,-3.0,119.607002,271.328003,90.804001,-11.610001,197.0,64.0,-5.0,-0.01,1.0,0.0,0.0,true
