,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 9:46:57:570 AM,37606.070312,-49438.230469,5013.719727,0.0,0.0,0.0,0.0,0.0,0.0,-127.778008,0.0,0.0,-1278.0,0.0,0.0,0.0,true
May 22 2024 9:46:57:571 AM,37606.070312,-49438.230469,5013.719727,0.0,0.0,0.0,0.0,0.0,0.0,-127.778008,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:46:57:571 AM,37606.070312,-49438.230469,5013.719727,0.0,0.0,0.0,0.0,0.0,0.0,-127.778008,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:46:58:146 AM,37606.070312,-49438.230469,4995.239746,0.0,0.0,0.0,18.484001,0.0,0.0,-225.593018,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 9:46:58:147 AM,37606.070312,-49438.230469,4995.239746,0.0,0.0,0.0,18.484001,0.0,0.0,-225.593018,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:46:58:147 AM,37606.070312,-49438.230469,4995.239746,0.0,0.0,0.0,18.484001,0.0,0.0,-225.593018,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:46:58:147 AM,37606.070312,-49438.230469,4995.239746,0.0,0.0,0.0,18.484001,0.0,0.0,-225.593018,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:46:58:262 AM,37606.070312,-49438.230469,4962.060059,0.0,0.0,0.0,51.657001,0.0,0.0,-338.439026,0.0,0.0,-1128.0,0.0,0.0,0.0,true
May 22 2024 9:46:58:353 AM,37604.578125,-49438.878906,4927.939941,-1.0,0.0,1.0,85.784004,19.124001,27.000002,-309.256012,191.0,270.0,292.0,0.0,0.0,0.0,true
May 22 2024 9:46:58:449 AM,37602.648438,-49438.449219,4911.560059,-3.0,0.0,2.0,102.163002,4.433,11.120001,-90.478004,-147.0,-159.0,2188.0,0.0,0.0,0.0,true
May 22 2024 9:46:58:548 AM,37602.269531,-49437.878906,4907.899902,-3.0,0.0,2.0,105.815002,-2.45,1.243,-4.617,-69.0,-99.0,859.0,0.0,0.0,0.0,true
May 22 2024 9:46:58:653 AM,37602.378906,-49437.9375,4908.429688,-3.0,0.0,2.0,106.340004,0.2,2.16,9.0,27.0,9.0,136.0,0.0,0.0,0.0,true
May 22 2024 9:46:58:755 AM,37602.4375,-49438.0,4909.449707,-3.0,0.0,2.0,107.357002,0.683,1.836,9.751,5.0,-3.0,8.0,0.0,0.0,0.0,true
May 22 2024 9:46:58:852 AM,37602.46875,-49438.058594,4910.299805,-3.0,0.0,2.0,108.207008,0.652,1.243,7.649,0.0,-6.0,-21.0,0.0,0.0,0.0,true
May 22 2024 9:46:58:947 AM,37602.488281,-49438.117188,4910.899902,-3.0,0.0,2.0,108.813004,0.48,0.713,5.466,-2.0,-5.0,-22.0,0.0,0.0,0.0,true
May 22 2024 9:46:59:55 AM,37602.507812,-49438.179688,4911.350098,-3.0,0.0,2.0,109.264008,0.31,0.31,3.089,-2.0,-4.0,-24.0,0.0,0.0,0.0,true
May 22 2024 9:46:59:154 AM,37602.519531,-49438.21875,4911.620117,-3.0,0.0,2.0,109.528008,0.227,0.005,2.199,-1.0,-3.0,-9.0,0.0,0.0,0.0,true
May 22 2024 9:46:59:254 AM,37602.519531,-49438.257812,4911.779785,-3.0,0.0,2.0,109.688004,0.153,-0.106,1.659,-1.0,-1.0,-5.0,0.0,0.0,0.0,true
May 22 2024 9:46:59:347 AM,37602.519531,-49438.300781,4911.889648,-3.0,0.0,2.0,109.798004,0.116,-0.288,0.908,0.0,-2.0,-8.0,0.0,0.0,0.0,true
May 22 2024 9:46:59:452 AM,37602.507812,-49438.328125,4911.929688,-3.0,0.0,2.0,109.837006,0.0,0.0,0.0,-1.0,3.0,-9.0,0.0,0.0,0.0,true
May 22 2024 9:46:59:547 AM,37602.507812,-49438.359375,4911.909668,-3.0,0.0,2.0,109.855003,0.043,-0.289,0.039,0.0,-3.0,0.0,0.01,0.0,0.0,true
May 22 2024 9:46:59:645 AM,37602.507812,-49438.378906,4911.939941,-3.0,0.0,2.0,109.886002,0.045,-0.127,0.392,0.0,2.0,4.0,0.01,0.0,0.0,true
May 22 2024 9:46:59:750 AM,37602.507812,-49438.367188,4911.97998,-3.0,0.0,2.0,109.921005,0.045,-0.075,0.438,0.0,1.0,0.0,0.01,0.0,0.0,true
May 22 2024 9:46:59:854 AM,37602.507812,-49438.359375,4912.009766,-3.0,0.0,2.0,109.955002,0.009,-0.059,0.246,0.0,0.0,-2.0,-0.99,0.0,0.0,true
May 22 2024 9:46:59:948 AM,37602.507812,-49438.359375,4912.02002,-3.0,0.0,2.0,109.963005,0.026,-0.066,0.171,0.0,0.0,-1.0,-0.99,0.0,0.0,true
May 22 2024 9:47:00:48 AM,37602.507812,-49438.359375,4912.029785,-3.0,0.0,2.0,109.971008,0.016,-0.035,0.179,0.0,0.0,0.0,-0.99,1.0,0.0,true
May 22 2024 9:47:00:150 AM,37602.628906,-49438.378906,4912.040039,-3.0,0.0,2.0,109.990005,2.678,-0.21,-0.038,27.0,-2.0,-2.0,-0.99,1.0,0.0,true
May 22 2024 9:47:00:250 AM,37603.449219,-49438.738281,4912.02002,-3.0,0.0,3.0,110.013008,14.931001,-4.472,-0.936,123.0,-43.0,-9.0,-0.99,1.0,0.0,true
May 22 2024 9:47:00:343 AM,37606.339844,-49439.898438,4911.889648,-3.0,-1.0,3.0,110.143005,37.742001,-10.093,-2.569,228.0,-56.0,-16.0,-0.99,1.0,0.0,true
May 22 2024 9:47:00:452 AM,37613.398438,-49442.660156,4911.52002,-3.0,-2.0,3.0,110.516006,82.453003,-24.692001,-5.745,447.0,-146.0,-32.0,-0.99,1.0,0.0,true
May 22 2024 9:47:00:547 AM,37623.757812,-49446.847656,4910.969727,-2.0,-4.0,4.0,111.066002,121.412003,-41.300003,-6.496,390.0,-166.0,-8.0,-0.99,1.0,0.0,true
May 22 2024 9:47:00:644 AM,37637.480469,-49452.859375,4910.449707,-2.0,-6.0,4.0,111.588005,154.609009,-61.462002,-6.132,332.0,-202.0,4.0,-0.99,1.0,0.0,true
May 22 2024 9:47:00:750 AM,37655.699219,-49461.878906,4909.850098,-2.0,-10.0,4.0,112.184006,186.647003,-86.309006,-6.670001,320.0,-248.0,-5.0,-0.99,1.0,0.0,true
May 22 2024 9:47:00:845 AM,37674.488281,-49472.5,4909.299805,-1.0,-13.0,5.0,112.731003,211.473007,-112.343002,-6.626,248.0,-260.0,0.0,-0.99,1.0,0.0,true
