,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 10:59:04:191 AM,37602.550781,-49438.628906,4912.089844,-3.0,0.0,2.0,108.529007,0.031,-0.113,0.036,0.0,0.0,4.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:04:282 AM,37602.550781,-49438.617188,4912.100098,-3.0,0.0,2.0,108.538002,0.009,-0.086,-0.081,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:04:393 AM,37602.550781,-49438.617188,4912.109863,-3.0,0.0,2.0,108.548004,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:04:498 AM,37602.550781,-49438.617188,4912.149902,-3.0,0.0,2.0,108.593002,0.032,-0.032,0.259,0.0,0.0,3.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:04:585 AM,37602.550781,-49438.617188,4912.159668,-3.0,0.0,2.0,108.600006,0.029,-0.061,0.189,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:04:698 AM,37602.550781,-49438.609375,4912.159668,-3.0,0.0,2.0,108.603004,0.027,-0.036,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:04:796 AM,37602.550781,-49438.609375,4912.159668,-3.0,0.0,2.0,108.604004,0.028,-0.038,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:04:895 AM,37602.550781,-49438.609375,4912.159668,-3.0,0.0,2.0,108.608002,0.024,-0.038,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:04:990 AM,37602.550781,-49438.597656,4912.129883,-3.0,0.0,2.0,108.638008,0.005,-0.072,-0.198,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:05:89 AM,37602.550781,-49438.597656,4912.159668,-3.0,0.0,2.0,108.662003,0.025,-0.011,0.359,0.0,1.0,6.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:05:187 AM,37602.550781,-49438.597656,4912.169922,-3.0,0.0,2.0,108.672005,0.022,-0.038,0.056,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:05:296 AM,37602.550781,-49438.597656,4912.169922,-3.0,0.0,2.0,108.673004,0.018,-0.041,-0.031,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:05:393 AM,37602.550781,-49438.597656,4912.169922,-3.0,0.0,2.0,108.676003,0.012,-0.049,-0.091,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:05:504 AM,37602.550781,-49438.597656,4912.169922,-3.0,0.0,2.0,108.682007,0.006,-0.056,-0.21,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:05:587 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,108.686005,0.01,-0.037,-0.006,0.0,0.0,2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:05:689 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,108.688004,0.007,-0.041,-0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:05:786 AM,37602.550781,-49438.589844,4912.139648,-3.0,0.0,2.0,108.714005,-0.015,-0.078,-0.606,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:05:883 AM,37602.550781,-49438.578125,4912.129883,-3.0,0.0,2.0,108.725006,0.001,-0.055,-0.281,0.0,0.0,3.0,0.0,0.0,0.0,0.0,true
