,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:35:03:550 AM,37606.070312,-49438.230469,5013.129883,0.0,0.0,0.0,0.0,0.0,0.0,-132.433014,0.0,0.0,-1324.0,0.0,0.0,0.0,true
May 22 2024 10:35:03:551 AM,37606.070312,-49438.230469,5013.129883,0.0,0.0,0.0,0.0,0.0,0.0,-132.433014,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:35:03:551 AM,37606.070312,-49438.230469,5013.129883,0.0,0.0,0.0,0.0,0.0,0.0,-132.433014,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:35:03:938 AM,37606.070312,-49438.230469,4994.169922,0.0,0.0,0.0,18.950001,0.0,0.0,-230.244019,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 10:35:03:938 AM,37606.070312,-49438.230469,4994.169922,0.0,0.0,0.0,18.950001,0.0,0.0,-230.244019,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:35:03:939 AM,37606.070312,-49438.230469,4994.169922,0.0,0.0,0.0,18.950001,0.0,0.0,-230.244019,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:35:03:939 AM,37606.070312,-49438.230469,4994.169922,0.0,0.0,0.0,18.950001,0.0,0.0,-230.244019,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:35:04:39 AM,37606.070312,-49438.230469,4964.649902,0.0,0.0,0.0,48.475002,0.0,0.0,-331.43103,0.0,0.0,-1012.0,0.0,0.0,0.0,true
May 22 2024 10:35:04:159 AM,37604.277344,-49438.847656,4923.540039,-2.0,0.0,1.0,89.584007,17.289001,23.786001,-259.473022,173.0,238.0,720.0,0.0,0.0,0.0,true
May 22 2024 10:35:04:238 AM,37602.808594,-49438.550781,4911.459961,-3.0,0.0,2.0,101.660004,4.49,10.373,-88.426003,-128.0,-134.0,1710.0,0.0,0.0,0.0,true
May 22 2024 10:35:04:336 AM,37602.429688,-49438.0,4907.879883,-3.0,0.0,2.0,105.246002,-2.347,0.796,-4.54,-68.0,-96.0,839.0,0.0,0.0,0.0,true
May 22 2024 10:35:04:442 AM,37602.519531,-49438.070312,4908.409668,-3.0,0.0,2.0,105.778008,0.233,2.056,9.307,26.0,13.0,138.0,0.0,0.0,0.0,true
May 22 2024 10:35:04:543 AM,37602.589844,-49438.148438,4909.449707,-3.0,0.0,2.0,106.814003,0.693,1.826,9.793,5.0,-2.0,5.0,0.0,0.0,0.0,true
May 22 2024 10:35:04:637 AM,37602.621094,-49438.199219,4910.279785,-3.0,0.0,2.0,107.648003,0.637,1.316,7.724,-1.0,-5.0,-21.0,0.0,0.0,0.0,true
