,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 21 2024 2:09:29:827 PM,37606.070312,-49438.230469,5011.779785,0.0,0.0,0.0,0.0,0.0,0.0,-141.228012,0.0,0.0,-1412.0,0.0,0.0,0.0,true
May 21 2024 2:09:29:828 PM,37606.070312,-49438.230469,5011.779785,0.0,0.0,0.0,0.0,0.0,0.0,-141.228012,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 2:09:29:829 PM,37606.070312,-49438.230469,5011.779785,0.0,0.0,0.0,0.0,0.0,0.0,-141.228012,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 2:09:30:410 PM,37606.070312,-49438.230469,4991.949707,0.0,0.0,0.0,19.829,0.0,0.0,-239.030014,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 21 2024 2:09:30:411 PM,37606.070312,-49438.230469,4991.949707,0.0,0.0,0.0,19.829,0.0,0.0,-239.030014,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 2:09:30:412 PM,37606.070312,-49438.230469,4991.949707,0.0,0.0,0.0,19.829,0.0,0.0,-239.030014,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 2:09:30:412 PM,37606.070312,-49438.230469,4991.949707,0.0,0.0,0.0,19.829,0.0,0.0,-239.030014,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 2:09:30:511 PM,37606.070312,-49438.230469,4961.219727,0.0,0.0,0.0,50.563004,0.0,0.0,-340.762024,0.0,0.0,-1017.0,0.0,0.0,0.0,true
May 21 2024 2:09:30:621 PM,37604.347656,-49438.847656,4923.72998,-2.0,0.0,1.0,88.054001,12.290001,23.746,-253.81601,123.0,237.0,869.0,0.0,0.0,0.0,true
May 21 2024 2:09:30:710 PM,37602.769531,-49438.507812,4910.709961,-3.0,0.0,2.0,101.065002,3.994,9.458,-76.572006,-83.0,-143.0,1772.0,0.0,0.0,0.0,true
May 21 2024 2:09:30:814 PM,37602.488281,-49438.167969,4907.870117,-3.0,0.0,2.0,103.906006,-1.451,-0.696,-1.563,-54.0,-102.0,750.0,0.0,0.0,0.0,true
May 21 2024 2:09:30:914 PM,37602.570312,-49438.238281,4908.489746,-3.0,0.0,2.0,104.522003,0.369,1.601,9.585,18.0,23.0,111.0,0.0,0.0,0.0,true
May 21 2024 2:09:31:8 PM,37602.621094,-49438.308594,4909.439941,-3.0,0.0,2.0,105.475006,0.675,1.884,9.828,3.0,3.0,2.0,0.0,0.0,0.0,true
May 21 2024 2:09:31:117 PM,37602.679688,-49438.378906,4910.370117,-3.0,0.0,2.0,106.406006,0.573,1.413,7.248,-1.0,-5.0,-26.0,0.0,0.0,0.0,true
May 21 2024 2:09:31:217 PM,37602.699219,-49438.429688,4910.969727,-3.0,0.0,2.0,107.000008,0.43,0.865,5.056,-1.0,-5.0,-22.0,0.01,0.0,0.0,true
May 21 2024 2:09:31:307 PM,37602.710938,-49438.46875,4911.330078,-3.0,0.0,2.0,107.363007,0.327,0.502,3.496,-1.0,-4.0,-16.0,0.01,0.0,0.0,true
May 21 2024 2:09:31:411 PM,37602.738281,-49438.519531,4911.620117,-3.0,0.0,2.0,107.652008,0.208,0.115,2.16,-1.0,-4.0,-13.0,0.01,0.0,0.0,true
May 21 2024 2:09:31:512 PM,37602.738281,-49438.570312,4911.779785,-3.0,0.0,2.0,107.813004,0.136,-0.086,1.294,-1.0,-2.0,-9.0,0.01,0.0,0.0,true
May 21 2024 2:09:31:611 PM,37602.730469,-49438.597656,4911.850098,-3.0,0.0,2.0,107.879005,0.046,-0.142,0.253,-1.0,-1.0,-10.0,0.01,0.0,0.0,true
May 21 2024 2:09:31:716 PM,37602.730469,-49438.648438,4911.889648,-3.0,0.0,2.0,107.922005,0.055,-0.282,0.48,0.0,-1.0,2.0,0.01,0.0,0.0,true
May 21 2024 2:09:31:811 PM,37602.71875,-49438.679688,4911.929688,-3.0,0.0,2.0,107.963005,0.04,-0.136,0.417,0.0,1.0,-1.0,0.01,0.0,0.0,true
May 21 2024 2:09:31:915 PM,37602.71875,-49438.667969,4911.969727,-3.0,0.0,2.0,108.004005,0.045,-0.054,0.335,0.0,1.0,-1.0,0.01,0.0,0.0,true
May 21 2024 2:09:32:10 PM,37602.71875,-49438.667969,4911.989746,-3.0,0.0,2.0,108.025002,0.022,-0.018,0.179,0.0,0.0,-2.0,0.01,0.0,0.0,true
