,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:05:21:140 AM,37606.070312,-49438.230469,5013.629883,0.0,0.0,0.0,0.0,0.0,0.0,-128.378006,0.0,0.0,-1284.0,0.0,0.0,0.0,true
May 22 2024 10:05:21:141 AM,37606.070312,-49438.230469,5013.629883,0.0,0.0,0.0,0.0,0.0,0.0,-128.378006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:21:141 AM,37606.070312,-49438.230469,5013.629883,0.0,0.0,0.0,0.0,0.0,0.0,-128.378006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:21:624 AM,37606.070312,-49438.230469,4995.089844,0.0,0.0,0.0,18.544001,0.0,0.0,-226.193008,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 10:05:21:625 AM,37606.070312,-49438.230469,4995.089844,0.0,0.0,0.0,18.544001,0.0,0.0,-226.193008,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:21:625 AM,37606.070312,-49438.230469,4995.089844,0.0,0.0,0.0,18.544001,0.0,0.0,-226.193008,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:21:625 AM,37606.070312,-49438.230469,4995.089844,0.0,0.0,0.0,18.544001,0.0,0.0,-226.193008,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:21:728 AM,37606.070312,-49438.230469,4964.129883,0.0,0.0,0.0,49.503002,0.0,0.0,-332.213013,0.0,0.0,-1060.0,0.0,0.0,0.0,true
May 22 2024 10:05:21:823 AM,37604.800781,-49439.148438,4929.839844,-1.0,0.0,1.0,83.795006,12.536,19.558001,-329.746002,125.0,196.0,25.0,0.0,0.0,0.0,true
May 22 2024 10:05:21:920 AM,37602.808594,-49438.71875,4911.97998,-3.0,0.0,2.0,101.657005,4.727,10.626,-95.542007,-78.0,-89.0,2342.0,0.0,0.0,0.0,true
May 22 2024 10:05:22:29 AM,37602.359375,-49438.230469,4907.870117,-3.0,0.0,2.0,105.758003,-1.761,-0.612,-3.94,-65.0,-112.0,916.0,0.0,0.0,0.0,true
May 22 2024 10:05:22:127 AM,37602.449219,-49438.300781,4908.370117,-3.0,0.0,2.0,106.253006,0.262,1.725,9.120001,20.0,23.0,131.0,0.0,0.0,0.0,true
May 22 2024 10:05:22:227 AM,37602.507812,-49438.367188,4909.370117,-3.0,0.0,2.0,107.257004,0.634,1.922,9.97,4.0,2.0,9.0,0.0,0.0,0.0,true
May 22 2024 10:05:22:326 AM,37602.550781,-49438.429688,4910.259766,-3.0,0.0,2.0,108.146004,0.591,1.48,7.707,0.0,-4.0,-23.0,0.0,0.0,0.0,true
May 22 2024 10:05:22:425 AM,37602.558594,-49438.480469,4910.899902,-3.0,0.0,2.0,108.788002,0.45,0.918,5.377,-1.0,-6.0,-23.0,0.0,0.0,0.0,true
May 22 2024 10:05:22:520 AM,37602.589844,-49438.519531,4911.310059,-3.0,0.0,2.0,109.193008,0.298,0.547,3.518,-2.0,-4.0,-19.0,-0.07,0.0,0.0,true
