,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 2:02:31:864 PM,37606.070312,-49438.230469,5012.379883,0.0,0.0,0.0,0.0,0.0,0.0,-137.359009,0.0,0.0,-1374.0,0.01,0.0,0.0,true
May 21 2024 2:02:31:865 PM,37606.070312,-49438.230469,5012.379883,0.0,0.0,0.0,0.0,0.0,0.0,-137.359009,0.0,0.0,0.0,0.01,0.0,0.0,true
May 21 2024 2:02:31:866 PM,37606.070312,-49438.230469,5012.379883,0.0,0.0,0.0,0.0,0.0,0.0,-137.359009,0.0,0.0,0.0,0.01,0.0,0.0,true
May 21 2024 2:02:32:396 PM,37606.070312,-49438.230469,4992.939941,0.0,0.0,0.0,19.442001,0.0,0.0,-235.164017,0.0,0.0,-978.0,0.01,0.0,0.0,true
May 21 2024 2:02:32:396 PM,37606.070312,-49438.230469,4992.939941,0.0,0.0,0.0,19.442001,0.0,0.0,-235.164017,0.0,0.0,0.0,0.01,0.0,0.0,true
May 21 2024 2:02:32:397 PM,37606.070312,-49438.230469,4992.939941,0.0,0.0,0.0,19.442001,0.0,0.0,-235.164017,0.0,0.0,0.0,0.01,0.0,0.0,true
May 21 2024 2:02:32:398 PM,37606.070312,-49438.230469,4992.939941,0.0,0.0,0.0,19.442001,0.0,0.0,-235.164017,0.0,0.0,0.0,0.01,0.0,0.0,true
May 21 2024 2:02:32:502 PM,37606.070312,-49438.230469,4960.5,0.0,0.0,0.0,51.887001,0.0,0.0,-342.629028,0.0,0.0,-1075.0,0.01,0.0,0.0,true
May 21 2024 2:02:32:598 PM,37604.640625,-49438.988281,4926.620117,-1.0,0.0,1.0,85.766006,23.224001,25.366001,-289.563019,232.0,254.0,531.0,0.01,0.0,0.0,true
May 21 2024 2:02:32:697 PM,37602.71875,-49438.609375,4910.870117,-3.0,0.0,2.0,101.515007,4.024,9.418,-78.222,-192.0,-159.0,2113.0,0.01,0.0,0.0,true
May 21 2024 2:02:32:799 PM,37602.429688,-49438.25,4907.859863,-3.0,0.0,2.0,104.521004,-1.49,-0.732,-2.491,-55.0,-101.0,757.0,0.01,0.0,0.0,true
May 21 2024 2:02:32:899 PM,37602.507812,-49438.320312,4908.439941,-3.0,0.0,2.0,105.093002,0.354,1.626,9.452001,18.0,24.0,119.0,0.01,1.0,0.0,true
May 21 2024 2:02:32:994 PM,37602.9375,-49438.378906,4909.399902,-3.0,0.0,2.0,106.060005,7.715,1.786,9.726001,74.0,2.0,3.0,-0.99,1.0,0.0,true
May 21 2024 2:02:33:98 PM,37604.96875,-49438.578125,4910.259766,-3.0,0.0,2.0,106.913002,27.361002,-0.286,6.119,196.0,-21.0,-36.0,-0.99,1.0,0.0,true
May 21 2024 2:02:33:192 PM,37609.359375,-49439.378906,4910.669922,-3.0,-1.0,2.0,107.331009,61.514004,-7.874001,1.83,342.0,-76.0,-43.0,-0.99,1.0,0.0,true
May 21 2024 2:02:33:293 PM,37618.679688,-49440.707031,4910.629883,-2.0,-1.0,3.0,107.372002,108.110008,-8.322001,-3.376,466.0,-4.0,-52.0,0.01,1.0,0.0,true
May 21 2024 2:02:33:392 PM,37632.210938,-49441.050781,4910.199707,-2.0,-1.0,3.0,107.805008,149.134003,-4.185,-5.953,410.0,41.0,-26.0,0.01,1.0,0.0,true
May 21 2024 2:02:33:492 PM,37649.539062,-49441.359375,4909.47998,-2.0,-1.0,2.0,108.528008,188.332016,-3.538,-8.744,392.0,6.0,-28.0,0.01,1.0,0.0,true
May 21 2024 2:02:33:592 PM,37670.648438,-49441.699219,4908.47998,-2.0,-1.0,2.0,109.521004,226.766006,-3.56,-11.204,384.0,0.0,-25.0,0.01,1.0,0.0,true
May 21 2024 2:02:33:693 PM,37695.539062,-49442.089844,4907.259766,-2.0,-1.0,2.0,110.745003,264.970001,-4.101,-13.353001,382.0,-5.0,-21.0,0.01,1.0,0.0,true
May 21 2024 2:02:33:792 PM,37724.199219,-49442.527344,4905.819824,-2.0,-1.0,2.0,112.186005,303.162018,-4.605,-15.459001,382.0,-5.0,-21.0,0.01,1.0,0.0,true
May 21 2024 2:02:33:892 PM,37756.660156,-49443.058594,4904.169922,-1.0,-1.0,2.0,113.838005,340.734009,-5.564,-17.83,376.0,-10.0,-24.0,0.01,1.0,0.0,true
May 21 2024 2:02:33:993 PM,37792.679688,-49443.6875,4902.209961,-2.0,-1.0,3.0,115.790009,378.10202,-5.393,-20.210001,374.0,2.0,-24.0,0.01,1.0,0.0,true
May 21 2024 2:02:34:94 PM,37833.289062,-49444.21875,4900.159668,-2.0,-1.0,3.0,117.842003,415.450012,-6.943,-19.502001,373.0,-15.0,7.0,0.01,1.0,0.0,true
May 21 2024 2:02:34:195 PM,37876.910156,-49444.769531,4898.139648,-2.0,-1.0,2.0,119.861008,451.739014,-7.325,-21.129002,363.0,-4.0,-16.0,0.01,1.0,0.0,true
May 21 2024 2:02:34:295 PM,37924.058594,-49445.328125,4895.919922,-2.0,-1.0,2.0,122.084007,487.580017,-6.349,-23.116001,358.0,10.0,-20.0,0.01,1.0,0.0,true
May 21 2024 2:02:34:396 PM,37975.230469,-49445.847656,4893.439941,-2.0,-1.0,2.0,124.563004,523.472046,-3.905,-26.486002,359.0,24.0,-34.0,0.01,1.0,0.0,true
May 21 2024 2:02:34:496 PM,38029.550781,-49446.167969,4890.77002,-2.0,0.0,2.0,127.230003,559.495056,-2.503,-28.115002,360.0,14.0,-16.0,0.01,1.0,0.0,true
May 21 2024 2:02:34:596 PM,38087.621094,-49446.71875,4887.839844,-1.0,0.0,3.0,130.162003,593.970032,-6.982,-28.784002,345.0,-45.0,-7.0,-0.99,1.0,0.0,true
May 21 2024 2:02:34:696 PM,38147.828125,-49450.789062,4885.179688,-1.0,-2.0,3.0,132.828003,598.585999,-43.271004,-25.814001,46.0,-363.0,30.0,-0.99,1.0,0.0,true
May 21 2024 2:02:34:796 PM,38206.820312,-49458.808594,4882.759766,-2.0,-5.0,4.0,135.244003,597.029053,-69.376007,-24.749001,-16.0,-261.0,11.0,0.01,1.0,0.0,true
May 21 2024 2:02:34:896 PM,38266.660156,-49464.640625,4880.169922,-2.0,-5.0,4.0,137.833008,601.182007,-60.480003,-23.982,42.0,89.0,8.0,0.01,1.0,0.0,true
May 21 2024 2:02:34:996 PM,38326.890625,-49470.089844,4877.830078,-2.0,-5.0,4.0,140.172012,604.313049,-58.197002,-22.473001,31.0,23.0,15.0,0.01,1.0,0.0,true
May 21 2024 2:02:35:96 PM,38387.449219,-49475.417969,4875.639648,-2.0,-5.0,3.0,142.367004,607.239014,-55.840004,-21.233002,29.0,24.0,12.0,0.01,1.0,0.0,true
May 21 2024 2:02:35:196 PM,38450.289062,-49480.800781,4873.5,-2.0,-5.0,3.0,144.503006,647.108032,-56.877003,-22.107,399.0,-10.0,-9.0,0.01,1.0,0.0,true
May 21 2024 2:02:35:296 PM,38518.339844,-49486.449219,4871.279785,-1.0,-5.0,3.0,146.721008,692.66803,-58.383003,-23.265001,456.0,-15.0,-12.0,0.01,1.0,0.0,true
May 21 2024 2:02:35:397 PM,38590.347656,-49492.230469,4869.0,-1.0,-5.0,3.0,149.006012,732.574036,-59.280003,-23.622002,399.0,-9.0,-4.0,0.01,1.0,0.0,true
May 21 2024 2:02:35:497 PM,38666.769531,-49498.148438,4866.649902,0.0,-5.0,3.0,151.35701,768.984009,-59.693005,-23.746,364.0,-4.0,-1.0,0.01,1.0,0.0,true
