,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 11:33:25:90 AM,37606.070312,-49438.230469,5013.759766,0.0,0.0,0.0,0.0,0.0,0.0,-127.506004,0.0,0.0,-1275.0,0.0,0.0,0.0,true
May 21 2024 11:33:25:90 AM,37606.070312,-49438.230469,5013.759766,0.0,0.0,0.0,0.0,0.0,0.0,-127.506004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:33:25:91 AM,37606.070312,-49438.230469,5013.759766,0.0,0.0,0.0,0.0,0.0,0.0,-127.506004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:33:25:590 AM,37606.070312,-49438.230469,4995.299805,0.0,0.0,0.0,18.457001,0.0,0.0,-225.321014,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 21 2024 11:33:25:590 AM,37606.070312,-49438.230469,4995.299805,0.0,0.0,0.0,18.457001,0.0,0.0,-225.321014,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:33:25:590 AM,37606.070312,-49438.230469,4995.299805,0.0,0.0,0.0,18.457001,0.0,0.0,-225.321014,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:33:25:591 AM,37606.070312,-49438.230469,4995.299805,0.0,0.0,0.0,18.457001,0.0,0.0,-225.321014,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:33:25:923 AM,37606.070312,-49438.230469,4967.069824,0.0,0.0,0.0,46.690002,0.0,0.0,-323.039001,0.0,0.0,-977.0,0.0,0.0,0.0,true
May 21 2024 11:33:25:924 AM,37606.070312,-49438.230469,4967.069824,0.0,0.0,0.0,46.690002,0.0,0.0,-323.039001,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:33:25:924 AM,37606.070312,-49438.230469,4967.069824,0.0,0.0,0.0,46.690002,0.0,0.0,-323.039001,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:33:26:259 AM,37605.019531,-49438.910156,4930.889648,-1.0,0.0,1.0,82.868004,13.002001,19.329,-340.999023,130.0,193.0,-180.0,0.0,0.0,0.0,true
May 21 2024 11:33:26:260 AM,37605.019531,-49438.910156,4930.889648,-1.0,0.0,1.0,82.868004,13.002001,19.329,-340.999023,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:33:26:260 AM,37605.019531,-49438.910156,4930.889648,-1.0,0.0,1.0,82.868004,13.002001,19.329,-340.999023,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:33:26:593 AM,37602.929688,-49438.4375,4912.149902,-3.0,0.0,2.0,101.611008,4.746,12.082001,-101.705002,-83.0,-72.0,2393.0,0.0,0.0,0.0,true
May 21 2024 11:33:26:594 AM,37602.929688,-49438.4375,4912.149902,-3.0,0.0,2.0,101.611008,4.746,12.082001,-101.705002,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:33:26:594 AM,37602.929688,-49438.4375,4912.149902,-3.0,0.0,2.0,101.611008,4.746,12.082001,-101.705002,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:33:26:594 AM,37602.929688,-49438.4375,4912.149902,-3.0,0.0,2.0,101.611008,4.746,12.082001,-101.705002,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:33:26:926 AM,37602.4375,-49437.910156,4907.919922,-3.0,0.0,2.0,105.841003,-2.615,-0.87,-8.435,-74.0,-130.0,933.0,0.0,0.0,0.0,true
May 21 2024 11:33:26:927 AM,37602.4375,-49437.910156,4907.919922,-3.0,0.0,2.0,105.841003,-2.615,-0.87,-8.435,0.0,0.0,0.0,0.0,0.0,0.0,true
