,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 10:34:48:720 AM,37606.070312,-49438.230469,5014.339844,0.0,0.0,0.0,0.0,0.0,0.0,-123.42701,0.0,0.0,-1234.0,0.0,0.0,0.0,true
May 21 2024 10:34:48:720 AM,37606.070312,-49438.230469,5014.339844,0.0,0.0,0.0,0.0,0.0,0.0,-123.42701,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:34:48:721 AM,37606.070312,-49438.230469,5014.339844,0.0,0.0,0.0,0.0,0.0,0.0,-123.42701,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:34:49:119 AM,37606.070312,-49438.230469,4996.290039,0.0,0.0,0.0,18.050001,0.0,0.0,-221.247009,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 21 2024 10:34:49:120 AM,37606.070312,-49438.230469,4996.290039,0.0,0.0,0.0,18.050001,0.0,0.0,-221.247009,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:34:49:120 AM,37606.070312,-49438.230469,4996.290039,0.0,0.0,0.0,18.050001,0.0,0.0,-221.247009,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:34:49:120 AM,37606.070312,-49438.230469,4996.290039,0.0,0.0,0.0,18.050001,0.0,0.0,-221.247009,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:34:49:252 AM,37606.070312,-49438.230469,4957.779785,0.0,0.0,0.0,56.560001,0.0,0.0,-350.210022,0.0,0.0,-1290.0,0.0,0.0,0.0,true
May 21 2024 10:34:49:324 AM,37605.109375,-49438.820312,4931.219727,-1.0,0.0,1.0,83.123001,13.367001,20.150002,-340.232025,134.0,201.0,100.0,0.0,0.0,0.0,true
May 21 2024 10:34:49:425 AM,37602.890625,-49438.359375,4911.75,-3.0,0.0,2.0,102.592003,4.572,11.609,-92.950005,-88.0,-85.0,2473.0,0.0,0.0,0.0,true
May 21 2024 10:34:49:519 AM,37602.449219,-49437.828125,4907.919922,-3.0,0.0,2.0,106.424004,-2.319,-0.354,-7.021,-69.0,-120.0,859.0,0.0,0.0,0.0,true
May 21 2024 10:34:49:621 AM,37602.539062,-49437.890625,4908.279785,-3.0,0.0,2.0,106.787003,0.174,1.707,8.677,25.0,21.0,157.0,0.0,0.0,0.0,true
May 21 2024 10:34:49:726 AM,37602.609375,-49437.96875,4909.350098,-3.0,0.0,2.0,107.857002,0.661,1.886,10.057,5.0,2.0,14.0,0.0,0.0,0.0,true
May 21 2024 10:34:49:817 AM,37602.640625,-49438.019531,4910.179688,-3.0,0.0,2.0,108.688004,0.611,1.505,8.093,0.0,-4.0,-20.0,0.02,0.0,0.0,true
May 21 2024 10:34:49:917 AM,37602.660156,-49438.078125,4910.850098,-3.0,0.0,2.0,109.362007,0.468,0.913,5.617,-1.0,-6.0,-25.0,0.02,0.0,0.0,true
May 21 2024 10:34:50:23 AM,37602.6875,-49438.128906,4911.330078,-3.0,0.0,2.0,109.841003,0.302,0.395,3.573,-2.0,-5.0,-20.0,0.02,0.0,0.0,true
