,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 9:39:08:430 AM,37606.070312,-49438.230469,5014.719727,0.0,0.0,0.0,0.0,0.0,0.0,-120.630005,0.0,0.0,-1206.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:08:430 AM,37606.070312,-49438.230469,5014.719727,0.0,0.0,0.0,0.0,0.0,0.0,-120.630005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:08:430 AM,37606.070312,-49438.230469,5014.719727,0.0,0.0,0.0,0.0,0.0,0.0,-120.630005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:08:538 AM,37606.070312,-49438.230469,4993.699707,0.0,0.0,0.0,21.025002,0.0,0.0,-232.624008,0.0,0.0,-1120.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:08:632 AM,37606.070312,-49438.230469,4967.0,0.0,0.0,0.0,47.722004,0.0,0.0,-324.396027,0.0,0.0,-918.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:08:744 AM,37604.628906,-49438.96875,4927.509766,-1.0,0.0,1.0,87.213005,21.029001,25.981001,-301.169006,210.0,260.0,232.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:08:834 AM,37602.777344,-49438.578125,4911.989746,-3.0,0.0,2.0,102.732002,4.728,11.087001,-95.549004,-163.0,-149.0,2056.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:08:932 AM,37602.328125,-49437.980469,4907.97998,-3.0,0.0,2.0,106.742004,-2.629,1.152,-6.626,-74.0,-99.0,889.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:09:34 AM,37602.417969,-49438.050781,4908.409668,-3.0,0.0,2.0,107.175003,0.171,2.068,8.89,28.0,9.0,155.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:09:136 AM,37602.488281,-49438.128906,4909.429688,-3.0,0.0,2.0,108.193008,0.68,1.883,10.112,5.0,-2.0,12.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:09:231 AM,37602.527344,-49438.1875,4910.290039,-3.0,0.0,2.0,109.052002,0.628,1.382,7.883,-1.0,-5.0,-22.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:09:332 AM,37602.558594,-49438.238281,4910.919922,-3.0,0.0,2.0,109.687004,0.462,0.863,5.288,-2.0,-5.0,-26.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:09:432 AM,37602.570312,-49438.289062,4911.389648,-3.0,0.0,2.0,110.148003,0.328,0.354,3.777,-1.0,-5.0,-15.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:09:528 AM,37602.597656,-49438.328125,4911.669922,-3.0,0.0,2.0,110.429008,0.226,0.022,2.415,-1.0,-3.0,-14.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:09:641 AM,37602.589844,-49438.367188,4911.859863,-3.0,0.0,2.0,110.621002,0.169,-0.136,1.517,-1.0,-2.0,-9.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:09:732 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,-2.0,1.0,-15.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:09:838 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:09:926 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:10:34 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:10:143 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:10:229 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:10:332 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:10:430 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:10:528 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:10:626 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:10:739 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:10:834 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:10:926 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:11:41 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:11:141 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:11:233 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:11:338 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:11:439 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:11:526 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:11:624 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:11:725 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:11:830 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:11:942 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:12:25 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:12:138 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:12:236 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:12:334 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:12:434 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:12:539 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:12:636 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:12:731 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:12:835 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:12:944 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:13:30 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:13:136 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:13:232 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:13:332 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:13:433 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:13:529 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:13:632 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:13:739 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:13:834 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:13:929 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:14:29 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:14:143 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:14:232 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:14:339 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:14:438 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:39:14:554 AM,37602.589844,-49438.390625,4911.909668,-3.0,0.0,2.0,110.671005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
