,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 10:41:44:840 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,-1061.0,0.02,0.0,0.0,true
May 21 2024 10:41:44:841 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:41:44:841 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:41:45:431 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,-978.0,0.02,0.0,0.0,true
May 21 2024 10:41:45:431 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:41:45:431 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:41:45:431 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:41:45:530 AM,37606.070312,-49438.230469,4973.469727,0.0,0.0,0.0,43.035004,0.0,0.0,-304.744019,0.0,0.0,-1008.0,0.02,0.0,0.0,true
May 21 2024 10:41:45:630 AM,37605.769531,-49438.957031,4938.529785,0.0,0.0,1.0,77.968002,-1.062,9.591001,-377.526031,-11.0,96.0,-728.0,0.02,0.0,0.0,true
May 21 2024 10:41:45:747 AM,37602.890625,-49438.640625,4912.459961,-3.0,0.0,2.0,104.039001,5.102,11.761001,-106.564003,62.0,22.0,2710.0,0.02,1.0,0.0,true
May 21 2024 10:41:45:830 AM,37603.1875,-49438.328125,4907.949707,-3.0,0.0,2.0,108.549004,14.526001,5.859,-19.287001,94.0,-59.0,873.0,-0.98,1.0,0.0,true
May 21 2024 10:41:45:929 AM,37606.140625,-49438.519531,4907.779785,-3.0,0.0,2.0,108.726006,37.18,-1.181,5.053,227.0,-70.0,243.0,-0.98,1.0,0.0,true
May 21 2024 10:41:46:33 AM,37612.679688,-49439.667969,4908.52002,-3.0,-1.0,2.0,109.464005,77.008003,-9.129001,6.179,398.0,-79.0,11.0,-0.98,1.0,0.0,true
May 21 2024 10:41:46:135 AM,37623.097656,-49442.4375,4908.97998,-2.0,-2.0,3.0,109.927002,114.844002,-24.046001,1.807,378.0,-149.0,-44.0,-0.98,1.0,0.0,true
May 21 2024 10:41:46:235 AM,37636.277344,-49447.328125,4909.009766,-2.0,-4.0,4.0,109.962006,144.958008,-45.451004,-1.345,301.0,-214.0,-32.0,-0.98,1.0,0.0,true
May 21 2024 10:41:46:338 AM,37652.71875,-49454.480469,4908.889648,-2.0,-7.0,4.0,110.089005,174.666016,-69.078003,-2.997,297.0,-236.0,-17.0,-0.98,1.0,0.0,true
May 21 2024 10:41:46:429 AM,37670.039062,-49462.847656,4908.620117,-2.0,-10.0,4.0,110.356003,203.825012,-88.643005,-4.481,292.0,-196.0,-15.0,0.02,1.0,0.0,true
May 21 2024 10:41:46:529 AM,37693.039062,-49472.027344,4908.02002,-1.0,-12.0,4.0,110.959007,249.185013,-90.789001,-7.772,454.0,-21.0,-33.0,0.02,1.0,0.0,true
