,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 5 2024 9:27:55:377 AM,37606.070312,-49438.230469,5013.199707,0.0,0.0,0.0,0.0,0.0,0.0,-131.909012,0.0,0.0,-1319.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:55:377 AM,37606.070312,-49438.230469,5013.199707,0.0,0.0,0.0,0.0,0.0,0.0,-131.909012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:55:377 AM,37606.070312,-49438.230469,5013.199707,0.0,0.0,0.0,0.0,0.0,0.0,-131.909012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:55:624 AM,37606.070312,-49438.230469,4994.299805,0.0,0.0,0.0,18.897001,0.0,0.0,-229.720016,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:55:625 AM,37606.070312,-49438.230469,4994.299805,0.0,0.0,0.0,18.897001,0.0,0.0,-229.720016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:55:663 AM,37606.070312,-49438.230469,4983.209961,0.0,0.0,0.0,29.994001,0.0,0.0,-272.044006,0.0,0.0,-423.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:55:783 AM,37606.070312,-49438.230469,4945.029785,0.0,0.0,0.0,68.176003,0.0,0.0,-383.59201,0.0,0.0,-1115.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:55:881 AM,37603.800781,-49438.007812,4916.549805,-2.0,0.0,2.0,96.649002,-22.214001,2.011,-158.266006,-222.0,20.0,2253.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:55:962 AM,37602.910156,-49437.898438,4909.27002,-3.0,0.0,2.0,103.933006,-6.925,1.219,-48.487003,153.0,-8.0,1098.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:56:83 AM,37602.738281,-49437.867188,4907.929688,-3.0,0.0,2.0,105.269005,0.987,-0.682,5.882,79.0,-19.0,544.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:56:171 AM,37602.839844,-49437.929688,4908.75,-3.0,0.0,2.0,106.086006,1.291,-0.766,10.657001,3.0,-1.0,48.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:56:269 AM,37602.949219,-49438.0,4909.790039,-3.0,0.0,2.0,107.125008,1.078,-0.786,9.019,-2.0,0.0,-16.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:56:376 AM,37603.027344,-49438.050781,4910.659668,-3.0,0.0,2.0,107.994003,0.749,-0.562,6.908,-3.0,2.0,-21.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:56:469 AM,37603.078125,-49438.097656,4911.189941,-3.0,0.0,2.0,108.524002,0.504,-0.48,4.646,-2.0,1.0,-23.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:56:562 AM,37603.121094,-49438.128906,4911.540039,-3.0,0.0,2.0,108.870003,0.338,-0.42,3.241,-2.0,1.0,-14.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:56:692 AM,37603.167969,-49438.1875,4911.819824,-3.0,0.0,2.0,109.159004,0.188,-0.413,1.682,-2.0,0.0,-16.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:56:763 AM,37603.167969,-49438.207031,4911.919922,-3.0,0.0,2.0,109.257004,0.135,-0.398,1.256,-1.0,0.0,-4.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:56:869 AM,37603.167969,-49438.207031,4911.919922,-3.0,0.0,2.0,109.257004,0.0,0.0,0.0,-1.0,4.0,-13.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:56:967 AM,37603.167969,-49438.207031,4911.919922,-3.0,0.0,2.0,109.257004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:57:77 AM,37603.167969,-49438.207031,4911.919922,-3.0,0.0,2.0,109.257004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:57:172 AM,37603.167969,-49438.207031,4911.919922,-3.0,0.0,2.0,109.257004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:57:380 AM,37603.167969,-49438.21875,4911.909668,-3.0,0.0,2.0,109.268005,0.028,-0.019,0.104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:57:455 AM,37603.167969,-49438.21875,4911.949707,-3.0,0.0,2.0,109.303001,0.044,-0.002,0.507,0.0,0.0,4.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:57:566 AM,37603.167969,-49438.21875,4912.02002,-3.0,0.0,2.0,109.375008,0.072,-0.02,0.69,0.0,0.0,2.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:57:650 AM,37603.167969,-49438.21875,4912.060059,-3.0,0.0,2.0,109.419006,0.049,-0.02,0.471,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:57:750 AM,37603.167969,-49438.21875,4912.089844,-3.0,0.0,2.0,109.446007,0.026,0.015,0.218,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:57:854 AM,37603.167969,-49438.21875,4912.109863,-3.0,0.0,2.0,109.463005,0.035,0.009,0.388,0.0,0.0,2.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:57:948 AM,37603.167969,-49438.21875,4912.120117,-3.0,0.0,2.0,109.481003,0.028,-0.002,0.16,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:58:59 AM,37603.167969,-49438.21875,4912.139648,-3.0,0.0,2.0,109.496002,0.012,0.002,0.096,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:58:159 AM,37603.167969,-49438.21875,4912.159668,-3.0,0.0,2.0,109.516006,0.005,0.009,-0.137,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:58:256 AM,37603.167969,-49438.21875,4912.159668,-3.0,0.0,2.0,109.520004,0.004,0.018,-0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:58:367 AM,37603.167969,-49438.21875,4912.189941,-3.0,0.0,2.0,109.542007,0.025,-0.02,0.294,0.0,0.0,5.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:58:453 AM,37603.167969,-49438.21875,4912.179688,-3.0,0.0,2.0,109.545006,0.027,0.005,0.152,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:58:553 AM,37603.167969,-49438.21875,4912.179688,-3.0,0.0,2.0,109.546005,0.033,-0.011,0.314,0.0,0.0,2.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:58:652 AM,37603.167969,-49438.21875,4912.189941,-3.0,0.0,2.0,109.548004,0.007,-0.006,-0.029,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:58:761 AM,37603.167969,-49438.21875,4912.179688,-3.0,0.0,2.0,109.550003,-0.009,-0.003,-0.499,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:58:866 AM,37603.167969,-49438.21875,4912.199707,-3.0,0.0,2.0,109.568008,0.038,-0.048,0.34,0.0,0.0,8.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:58:962 AM,37603.167969,-49438.21875,4912.219727,-3.0,0.0,2.0,109.586006,0.015,-0.011,0.213,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:27:59:56 AM,37603.167969,-49438.21875,4912.219727,-3.0,0.0,2.0,109.588005,0.02,0.014,-0.065,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,true
