,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 9:58:02:724 AM,37606.070312,-49438.230469,5012.319824,0.0,0.0,0.0,0.0,0.0,0.0,-137.767014,0.0,0.0,-1378.0,0.0,0.0,0.0,true
May 22 2024 9:58:02:725 AM,37606.070312,-49438.230469,5012.319824,0.0,0.0,0.0,0.0,0.0,0.0,-137.767014,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:02:725 AM,37606.070312,-49438.230469,5012.319824,0.0,0.0,0.0,0.0,0.0,0.0,-137.767014,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:03:85 AM,37606.070312,-49438.230469,4992.839844,0.0,0.0,0.0,19.483002,0.0,0.0,-235.572006,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 9:58:03:86 AM,37606.070312,-49438.230469,4992.839844,0.0,0.0,0.0,19.483002,0.0,0.0,-235.572006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:03:86 AM,37606.070312,-49438.230469,4992.839844,0.0,0.0,0.0,19.483002,0.0,0.0,-235.572006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:03:87 AM,37606.070312,-49438.230469,4992.839844,0.0,0.0,0.0,19.483002,0.0,0.0,-235.572006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:03:182 AM,37606.070312,-49438.230469,4963.75,0.0,0.0,0.0,48.571003,0.0,0.0,-333.553009,0.0,0.0,-980.0,0.0,0.0,0.0,true
May 22 2024 9:58:03:283 AM,37604.75,-49438.890625,4927.639648,-1.0,0.0,1.0,84.679001,23.085001,26.973001,-306.125,231.0,270.0,274.0,0.0,0.0,0.0,true
May 22 2024 9:58:03:389 AM,37602.6875,-49438.449219,4910.739746,-3.0,0.0,2.0,101.584007,3.891,9.914001,-77.811005,-192.0,-171.0,2283.0,0.0,0.0,0.0,true
May 22 2024 9:58:03:485 AM,37602.410156,-49438.078125,4907.879883,-3.0,0.0,2.0,104.442001,-1.847,-1.067,-3.674,-57.0,-110.0,741.0,0.0,0.0,0.0,true
May 22 2024 9:58:03:591 AM,37602.5,-49438.167969,4908.469727,-3.0,0.0,2.0,105.028008,0.342,1.668,9.329,22.0,27.0,130.0,0.0,0.0,0.0,true
May 22 2024 9:58:03:685 AM,37602.550781,-49438.230469,4909.419922,-3.0,0.0,2.0,105.978004,0.698,1.863,9.882001,4.0,2.0,6.0,0.0,0.0,0.0,true
May 22 2024 9:58:03:790 AM,37602.589844,-49438.289062,4910.310059,-3.0,0.0,2.0,106.873009,0.593,1.434,7.459001,-1.0,-4.0,-24.0,0.0,0.0,0.0,true
May 22 2024 9:58:05:435 AM,37602.621094,-49438.347656,4910.989746,-3.0,0.0,2.0,107.550003,0.405,0.754,4.54,-2.0,-7.0,-29.0,0.0,0.0,0.0,true
May 22 2024 9:58:05:555 AM,37602.628906,-49438.410156,4911.439941,-3.0,0.0,2.0,108.005005,0.274,0.353,2.911,-1.0,-4.0,-16.0,0.0,0.0,0.0,true
May 22 2024 9:58:05:618 AM,37602.648438,-49438.4375,4911.600098,-3.0,0.0,2.0,108.159004,0.232,0.143,2.517,0.0,-2.0,-4.0,0.0,0.0,0.0,true
May 22 2024 9:58:05:726 AM,37602.648438,-49438.488281,4911.779785,-3.0,0.0,2.0,108.340004,0.117,-0.065,0.997,-1.0,-2.0,-15.0,0.0,0.0,0.0,true
May 22 2024 9:58:05:815 AM,37602.640625,-49438.507812,4911.859863,-3.0,0.0,2.0,108.425003,0.061,-0.093,0.444,-1.0,0.0,-6.0,0.0,0.0,0.0,true
May 22 2024 9:58:09:431 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,-1.0,1.0,-4.0,0.0,0.0,0.0,true
May 22 2024 9:58:09:524 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:09:627 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:09:727 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:09:832 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:09:927 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:10:23 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:10:128 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:10:226 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:11:224 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:11:225 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:11:226 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:11:226 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 9:58:11:317 AM,37602.640625,-49438.558594,4911.919922,-3.0,0.0,2.0,108.488007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
