,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 5 2024 9:33:52:615 AM,37606.070312,-49438.230469,5012.830078,0.0,0.0,0.0,0.0,0.0,0.0,-134.421005,0.0,0.0,-1344.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:52:616 AM,37606.070312,-49438.230469,5012.830078,0.0,0.0,0.0,0.0,0.0,0.0,-134.421005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:52:616 AM,37606.070312,-49438.230469,5012.830078,0.0,0.0,0.0,0.0,0.0,0.0,-134.421005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:52:819 AM,37606.070312,-49438.230469,4993.679688,0.0,0.0,0.0,19.148001,0.0,0.0,-232.229004,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:52:819 AM,37606.070312,-49438.230469,4993.679688,0.0,0.0,0.0,19.148001,0.0,0.0,-232.229004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:52:907 AM,37606.070312,-49438.230469,4968.389648,0.0,0.0,0.0,44.437,0.0,0.0,-319.981018,0.0,0.0,-878.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:53:19 AM,37605.0,-49438.179688,4928.709961,-1.0,0.0,1.0,84.121002,-33.469002,-0.848,-310.011017,-335.0,-8.0,100.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:53:128 AM,37602.859375,-49437.9375,4910.919922,-3.0,0.0,2.0,101.913002,-11.109,1.669,-77.156006,224.0,25.0,2329.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:53:225 AM,37602.4375,-49437.859375,4907.77002,-3.0,0.0,2.0,105.059006,-0.931,-0.997,-4.389,102.0,-27.0,728.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:53:313 AM,37602.507812,-49437.917969,4908.25,-3.0,0.0,2.0,105.536003,1.189,-0.818,8.673,21.0,2.0,131.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:53:419 AM,37602.628906,-49437.988281,4909.370117,-3.0,0.0,2.0,106.661003,1.244,-0.756,10.254001,1.0,1.0,16.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:53:521 AM,37602.738281,-49438.058594,4910.319824,-3.0,0.0,2.0,107.606003,0.944,-0.64,7.958,-3.0,1.0,-23.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:53:623 AM,37602.808594,-49438.109375,4911.0,-3.0,0.0,2.0,108.292007,0.637,-0.517,5.511,-3.0,1.0,-24.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:53:739 AM,37602.847656,-49438.160156,4911.489746,-3.0,0.0,2.0,108.781006,0.37,-0.464,3.253,-3.0,1.0,-23.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:53:820 AM,37602.878906,-49438.1875,4911.719727,-3.0,0.0,2.0,109.006004,0.27,-0.416,2.251,-1.0,0.0,-10.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:53:921 AM,37602.910156,-49438.21875,4911.870117,-3.0,0.0,2.0,109.157005,0.0,0.0,0.0,-3.0,4.0,-23.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:54:7 AM,37602.910156,-49438.257812,4911.929688,-3.0,0.0,2.0,109.219002,0.076,-0.112,0.817,1.0,-1.0,8.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:54:108 AM,37602.910156,-49438.25,4912.009766,-3.0,0.0,2.0,109.294006,0.086,-0.045,0.731,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:54:313 AM,37602.910156,-49438.257812,4912.060059,-3.0,0.0,2.0,109.352005,0.061,-0.001,0.504,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:54:412 AM,37602.910156,-49438.257812,4912.100098,-3.0,0.0,2.0,109.386002,0.049,0.0,0.428,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:54:501 AM,37602.910156,-49438.257812,4912.109863,-3.0,0.0,2.0,109.398003,0.003,0.038,-0.354,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:54:593 AM,37602.910156,-49438.257812,4912.129883,-3.0,0.0,2.0,109.414001,0.02,0.019,-0.085,0.0,0.0,3.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:54:697 AM,37602.910156,-49438.257812,4912.149902,-3.0,0.0,2.0,109.438004,0.024,-0.011,0.221,0.0,0.0,3.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:54:793 AM,37602.910156,-49438.257812,4912.169922,-3.0,0.0,2.0,109.461006,0.028,0.002,0.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:33:54:891 AM,37602.910156,-49438.257812,4912.169922,-3.0,0.0,2.0,109.468002,0.006,0.016,0.092,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
