,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 10:43:15:448 AM,37606.070312,-49438.230469,5014.469727,0.0,0.0,0.0,0.0,0.0,0.0,-122.467003,0.0,0.0,-1225.0,0.02,0.0,0.0,true
May 21 2024 10:43:15:448 AM,37606.070312,-49438.230469,5014.469727,0.0,0.0,0.0,0.0,0.0,0.0,-122.467003,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:43:15:448 AM,37606.070312,-49438.230469,5014.469727,0.0,0.0,0.0,0.0,0.0,0.0,-122.467003,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:43:15:867 AM,37606.070312,-49438.230469,4996.52002,0.0,0.0,0.0,17.954,0.0,0.0,-220.28801,0.0,0.0,-978.0,0.02,1.0,0.0,true
May 21 2024 10:43:15:867 AM,37606.070312,-49438.230469,4996.52002,0.0,0.0,0.0,17.954,0.0,0.0,-220.28801,0.0,0.0,0.0,0.02,1.0,0.0,true
May 21 2024 10:43:15:868 AM,37606.070312,-49438.230469,4996.52002,0.0,0.0,0.0,17.954,0.0,0.0,-220.28801,0.0,0.0,0.0,0.02,1.0,0.0,true
May 21 2024 10:43:15:868 AM,37606.070312,-49438.230469,4996.52002,0.0,0.0,0.0,17.954,0.0,0.0,-220.28801,0.0,0.0,0.0,0.02,1.0,0.0,true
May 21 2024 10:43:15:984 AM,37606.070312,-49438.230469,4962.540039,0.0,0.0,0.0,51.934002,0.0,0.0,-337.136017,0.0,0.0,-1168.0,0.02,1.0,0.0,true
May 21 2024 10:43:16:68 AM,37605.027344,-49439.070312,4930.909668,-1.0,0.0,1.0,83.561005,9.631001,19.317001,-334.257019,96.0,193.0,29.0,0.02,1.0,0.0,true
May 21 2024 10:43:16:170 AM,37606.449219,-49438.609375,4911.709961,-2.0,0.0,2.0,102.761002,59.372002,11.856001,-98.442001,497.0,-75.0,2358.0,0.02,1.0,0.0,true
May 21 2024 10:43:16:264 AM,37614.089844,-49438.519531,4907.279785,-3.0,0.0,2.0,107.196007,104.491005,4.618,-10.391001,451.0,-72.0,881.0,0.02,1.0,0.0,true
May 21 2024 10:43:16:364 AM,37627.238281,-49438.558594,4907.009766,-2.0,0.0,2.0,107.463005,148.866013,0.772,0.82,444.0,-38.0,112.0,-0.98,1.0,0.0,true
May 21 2024 10:43:16:465 AM,37644.949219,-49439.660156,4907.169922,-2.0,-1.0,3.0,107.618004,187.262009,-11.323001,-0.06,384.0,-121.0,-9.0,-0.98,1.0,0.0,true
May 21 2024 10:43:16:569 AM,37666.398438,-49443.050781,4906.97998,-2.0,-2.0,3.0,107.803001,221.461014,-31.854002,-4.757,342.0,-205.0,-47.0,-0.98,1.0,0.0,true
May 21 2024 10:43:16:665 AM,37688.808594,-49448.957031,4906.5,-2.0,-5.0,4.0,108.283005,247.98201,-60.839005,-5.634,265.0,-290.0,-9.0,0.02,1.0,0.0,true
May 21 2024 10:43:16:769 AM,37717.300781,-49456.289062,4905.739746,-2.0,-7.0,4.0,109.047005,292.951019,-65.316002,-9.516001,450.0,-45.0,-39.0,0.02,1.0,0.0,true
May 21 2024 10:43:16:876 AM,37751.589844,-49461.359375,4904.449707,-2.0,-8.0,3.0,110.332008,337.150024,-51.455002,-13.462001,442.0,139.0,-39.0,0.02,1.0,0.0,true
May 21 2024 10:43:16:965 AM,37783.519531,-49465.390625,4903.120117,-1.0,-7.0,3.0,111.660004,371.910004,-49.340004,-16.055,348.0,21.0,-26.0,0.02,1.0,0.0,true
May 21 2024 10:43:17:66 AM,37823.449219,-49470.25,4901.359863,-1.0,-7.0,3.0,113.424004,410.38501,-50.303001,-18.553001,385.0,-10.0,-25.0,0.02,1.0,0.0,true
May 21 2024 10:43:17:162 AM,37864.96875,-49475.148438,4899.509766,-1.0,-7.0,3.0,115.276009,446.207031,-52.499004,-19.998001,358.0,-22.0,-14.0,0.02,1.0,0.0,true
May 21 2024 10:43:17:267 AM,37914.0,-49480.800781,4897.319824,-1.0,-7.0,3.0,117.459007,484.493011,-55.259003,-21.572001,383.0,-28.0,-16.0,0.02,1.0,0.0,true
May 21 2024 10:43:17:367 AM,37964.589844,-49487.367188,4895.159668,-1.0,-7.0,3.0,119.623009,517.601013,-70.938004,-22.082001,331.0,-157.0,-5.0,-0.98,1.0,0.0,true
May 21 2024 10:43:17:465 AM,38015.949219,-49497.878906,4893.139648,-1.0,-9.0,4.0,121.645004,539.239014,-110.824005,-21.232,216.0,-399.0,9.0,-0.98,1.0,0.0,true
