,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 9:45:54:737 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,-1061.0,0.0,0.0,0.0,true
May 21 2024 9:45:54:737 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:45:54:738 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:45:55:177 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 21 2024 9:45:55:177 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:45:55:178 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:45:55:178 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:45:55:285 AM,37606.070312,-49438.230469,4971.149902,0.0,0.0,0.0,45.356003,0.0,0.0,-311.887024,0.0,0.0,-1079.0,0.0,0.0,0.0,true
May 21 2024 9:45:55:376 AM,37605.820312,-49438.859375,4938.919922,0.0,0.0,0.0,77.582001,-0.899,9.782001,-376.391022,-9.0,98.0,-645.0,0.0,0.0,0.0,true
May 21 2024 9:45:55:481 AM,37602.929688,-49438.449219,4913.649902,-3.0,0.0,2.0,102.853004,5.892,14.046,-121.444008,68.0,43.0,2549.0,0.0,0.0,0.0,true
