,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,VO,OutOfBounds
Jun 6 2024 9:14:49:565 AM,37606.070312,-49438.230469,5013.589844,0.0,0.0,0.0,0.0,0.0,0.0,-128.660004,0.0,0.0,-2573.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:565 AM,37606.070312,-49438.230469,5013.589844,0.0,0.0,0.0,0.0,0.0,0.0,-128.660004,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:565 AM,37606.070312,-49438.230469,5013.589844,0.0,0.0,0.0,0.0,0.0,0.0,-128.660004,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:565 AM,37606.070312,-49438.230469,5013.589844,0.0,0.0,0.0,0.0,0.0,0.0,-128.660004,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:566 AM,37606.070312,-49438.230469,5013.589844,0.0,0.0,0.0,0.0,0.0,0.0,-128.660004,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:566 AM,37606.070312,-49438.230469,5013.589844,0.0,0.0,0.0,0.0,0.0,0.0,-128.660004,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:566 AM,37606.070312,-49438.230469,5013.589844,0.0,0.0,0.0,0.0,0.0,0.0,-128.660004,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:820 AM,37606.070312,-49438.230469,4995.02002,0.0,0.0,0.0,18.572001,0.0,0.0,-226.474014,0.0,0.0,-1956.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:820 AM,37606.070312,-49438.230469,4995.02002,0.0,0.0,0.0,18.572001,0.0,0.0,-226.474014,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:820 AM,37606.070312,-49438.230469,4995.02002,0.0,0.0,0.0,18.572001,0.0,0.0,-226.474014,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:820 AM,37606.070312,-49438.230469,4995.02002,0.0,0.0,0.0,18.572001,0.0,0.0,-226.474014,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:820 AM,37606.070312,-49438.230469,4995.02002,0.0,0.0,0.0,18.572001,0.0,0.0,-226.474014,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:832 AM,37606.070312,-49438.230469,4991.429688,0.0,0.0,0.0,22.156,0.0,0.0,-241.011017,0.0,0.0,-291.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:880 AM,37606.070312,-49438.230469,4978.419922,0.0,0.0,0.0,35.172001,0.0,0.0,-288.048004,0.0,0.0,-941.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:953 AM,37606.070312,-49438.230469,4955.969727,0.0,0.0,0.0,57.622002,0.0,0.0,-355.071014,0.0,0.0,-1340.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:49:983 AM,37606.058594,-49438.269531,4943.419922,0.0,0.0,0.0,70.169006,-0.93,-2.996,-383.897003,-19.0,-60.0,-577.0,-0.01,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:14:50:28 AM,37605.289062,-49438.140625,4927.75,-1.0,0.0,1.0,85.843002,-40.001003,-0.8,-306.459015,-781.0,44.0,1549.0,-0.01,0.0,0.0,0.0,1.0,true
