,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 5 2024 9:16:32:166 AM,37606.070312,-49438.230469,5013.709961,0.0,0.0,0.0,0.0,0.0,0.0,-127.838005,0.0,0.0,-1278.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:16:32:167 AM,37606.070312,-49438.230469,5013.709961,0.0,0.0,0.0,0.0,0.0,0.0,-127.838005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:16:32:168 AM,37606.070312,-49438.230469,5013.709961,0.0,0.0,0.0,0.0,0.0,0.0,-127.838005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:16:32:308 AM,37606.070312,-49438.230469,4972.359863,0.0,0.0,0.0,41.355003,0.0,0.0,-307.39801,0.0,0.0,-1796.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:16:32:327 AM,37606.070312,-49438.230469,4965.689941,0.0,0.0,0.0,48.022003,0.0,0.0,-327.588013,0.0,0.0,-202.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:16:32:429 AM,37605.121094,-49438.167969,4929.969727,-1.0,0.0,1.0,83.742004,-43.039001,-1.77,-325.32901,-430.0,-18.0,23.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:16:32:534 AM,37602.988281,-49437.917969,4911.350098,-3.0,0.0,2.0,102.362007,-12.025001,1.708,-84.153008,310.0,35.0,2412.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:16:32:629 AM,37602.527344,-49437.847656,4907.77002,-3.0,0.0,2.0,105.938004,-1.826,-0.561,-9.349,102.0,-23.0,748.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:16:32:720 AM,37602.589844,-49437.898438,4908.120117,-3.0,0.0,2.0,106.290009,1.132,-0.699,8.526,30.0,-1.0,179.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:16:32:831 AM,37602.730469,-49437.980469,4909.290039,-3.0,0.0,2.0,107.453003,1.23,-0.714,10.588,1.0,0.0,21.0,0.0,0.0,0.0,0.0,true
