,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 1:56:00:936 PM,37606.070312,-49438.230469,5012.069824,0.0,0.0,0.0,0.0,0.0,0.0,-139.414001,0.0,0.0,-1394.0,0.0,0.0,0.0,true
May 21 2024 1:56:00:936 PM,37606.070312,-49438.230469,5012.069824,0.0,0.0,0.0,0.0,0.0,0.0,-139.414001,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 1:56:00:936 PM,37606.070312,-49438.230469,5012.069824,0.0,0.0,0.0,0.0,0.0,0.0,-139.414001,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 1:56:01:584 PM,37606.070312,-49438.230469,4992.419922,0.0,0.0,0.0,19.647001,0.0,0.0,-237.218018,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 21 2024 1:56:01:585 PM,37606.070312,-49438.230469,4992.419922,0.0,0.0,0.0,19.647001,0.0,0.0,-237.218018,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 1:56:01:585 PM,37606.070312,-49438.230469,4992.419922,0.0,0.0,0.0,19.647001,0.0,0.0,-237.218018,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 1:56:01:585 PM,37606.070312,-49438.230469,4992.419922,0.0,0.0,0.0,19.647001,0.0,0.0,-237.218018,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 1:56:01:711 PM,37606.070312,-49438.230469,4953.109863,0.0,0.0,0.0,58.959003,0.0,0.0,-362.291016,0.0,0.0,-1251.0,0.0,0.0,0.0,true
May 21 2024 1:56:01:790 PM,37604.5,-49439.007812,4925.02002,-1.0,0.0,1.0,87.042007,23.876001,24.521002,-275.123016,239.0,245.0,872.0,0.0,0.0,0.0,true
May 21 2024 1:56:01:889 PM,37602.667969,-49438.640625,4910.549805,-3.0,0.0,2.0,101.514008,3.749,9.0,-74.429001,-201.0,-155.0,2007.0,0.0,0.0,0.0,true
May 21 2024 1:56:01:986 PM,37602.417969,-49438.148438,4907.859863,-3.0,0.0,2.0,104.207008,-1.602,-0.135,-2.456,-54.0,-91.0,720.0,0.0,0.0,0.0,true
May 21 2024 1:56:02:85 PM,37602.5,-49438.21875,4908.419922,-3.0,0.0,2.0,104.766006,0.311,1.804,9.328,19.0,19.0,118.0,0.0,0.0,0.0,true
May 21 2024 1:56:02:187 PM,37602.558594,-49438.300781,4909.459961,-3.0,0.0,2.0,105.812004,0.677,1.835,9.940001,4.0,0.0,6.0,0.01,0.0,0.0,true
May 21 2024 1:56:02:291 PM,37602.589844,-49438.359375,4910.359863,-3.0,0.0,2.0,106.709007,0.57,1.331,7.37,-1.0,-5.0,-26.0,0.01,1.0,0.0,true
May 21 2024 1:56:02:383 PM,37602.699219,-49438.398438,4910.939941,-3.0,0.0,2.0,107.289001,2.927,0.928,5.129,24.0,-4.0,-22.0,-0.99,1.0,0.0,true
May 21 2024 1:56:02:483 PM,37603.71875,-49438.550781,4911.339844,-3.0,0.0,2.0,107.684006,19.129002,-1.27,2.493,162.0,-22.0,-26.0,-0.99,1.0,0.0,true
May 21 2024 1:56:02:584 PM,37607.570312,-49439.25,4911.459961,-3.0,-1.0,3.0,107.804008,49.727001,-7.262001,-0.722,306.0,-60.0,-32.0,-0.99,1.0,0.0,true
May 21 2024 1:56:02:689 PM,37615.769531,-49441.609375,4911.219727,-2.0,-2.0,3.0,108.040009,92.144005,-21.560001,-4.973,424.0,-143.0,-43.0,-0.99,1.0,0.0,true
May 21 2024 1:56:02:782 PM,37626.140625,-49445.578125,4910.709961,-2.0,-3.0,4.0,108.546005,123.407005,-38.441002,-6.73,313.0,-169.0,-18.0,-0.99,1.0,0.0,true
May 21 2024 1:56:02:884 PM,37640.4375,-49451.648438,4910.159668,-2.0,-6.0,4.0,109.101006,154.677002,-59.491001,-6.01,313.0,-211.0,7.0,-0.99,1.0,0.0,true
May 21 2024 1:56:02:986 PM,37658.050781,-49459.707031,4909.580078,-2.0,-9.0,4.0,109.681007,190.261002,-76.934006,-6.874001,356.0,-174.0,-9.0,0.01,1.0,0.0,true
May 21 2024 1:56:03:89 PM,37680.097656,-49467.4375,4908.779785,-1.0,-11.0,4.0,110.479004,236.088013,-75.159004,-9.080001,458.0,18.0,-22.0,0.01,1.0,0.0,true
May 21 2024 1:56:03:188 PM,37706.4375,-49473.347656,4907.679688,-1.0,-11.0,3.0,111.579002,278.712006,-63.446003,-11.902,426.0,117.0,-28.0,0.01,1.0,0.0,true
May 21 2024 1:56:03:284 PM,37735.519531,-49479.089844,4906.409668,-1.0,-11.0,3.0,112.846008,316.664001,-63.613003,-13.909,380.0,-2.0,-20.0,0.01,1.0,0.0,true
May 21 2024 1:56:03:389 PM,37771.238281,-49485.96875,4904.850098,-1.0,-11.0,3.0,114.411003,356.661011,-68.054001,-15.779,400.0,-44.0,-19.0,0.01,1.0,0.0,true
May 21 2024 1:56:03:485 PM,37807.359375,-49493.289062,4903.279785,-1.0,-11.0,3.0,115.983002,390.054016,-81.522003,-17.056002,334.0,-135.0,-13.0,-0.99,1.0,0.0,true
May 21 2024 1:56:03:587 PM,37848.300781,-49504.519531,4901.629883,-1.0,-13.0,4.0,117.625008,418.182007,-111.287003,-16.802,281.0,-298.0,3.0,0.01,1.0,0.0,true
May 21 2024 1:56:03:688 PM,37892.859375,-49515.597656,4899.839844,-1.0,-13.0,4.0,119.418007,456.689026,-110.834007,-18.316,385.0,5.0,-15.0,0.01,1.0,0.0,true
May 21 2024 1:56:03:783 PM,37938.097656,-49526.078125,4898.049805,-1.0,-13.0,3.0,121.205009,490.736023,-115.479004,-18.973001,340.0,-46.0,-7.0,0.01,1.0,0.0,true
May 21 2024 1:56:03:884 PM,37989.75,-49537.9375,4896.029785,-1.0,-13.0,3.0,123.226006,526.029053,-121.909004,-20.645,353.0,-64.0,-17.0,0.01,1.0,0.0,true
May 21 2024 1:56:03:986 PM,38045.328125,-49550.570312,4893.879883,-1.0,-13.0,3.0,125.378006,560.987,-128.215012,-21.59,350.0,-63.0,-9.0,0.01,1.0,0.0,true
May 21 2024 1:56:04:89 PM,38105.179688,-49564.039062,4891.629883,-1.0,-13.0,3.0,127.629005,595.690002,-134.677002,-22.076,347.0,-65.0,-5.0,0.01,1.0,0.0,true
