,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 11:43:17:301 AM,37606.070312,-49438.230469,5013.22998,0.0,0.0,0.0,0.0,0.0,0.0,-131.75,0.0,0.0,-1317.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 11:43:17:301 AM,37606.070312,-49438.230469,5013.22998,0.0,0.0,0.0,0.0,0.0,0.0,-131.75,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 11:43:17:302 AM,37606.070312,-49438.230469,5013.22998,0.0,0.0,0.0,0.0,0.0,0.0,-131.75,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 11:43:17:589 AM,37606.070312,-49438.230469,4994.350098,0.0,0.0,0.0,18.881001,0.0,0.0,-229.561005,0.0,0.0,-978.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 11:43:17:589 AM,37606.070312,-49438.230469,4994.350098,0.0,0.0,0.0,18.881001,0.0,0.0,-229.561005,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 11:43:17:590 AM,37606.070312,-49438.230469,4994.350098,0.0,0.0,0.0,18.881001,0.0,0.0,-229.561005,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 11:43:17:691 AM,37606.070312,-49438.230469,4966.379883,0.0,0.0,0.0,46.841003,0.0,0.0,-325.825012,0.0,0.0,-963.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 11:43:17:793 AM,37605.109375,-49438.1875,4928.060059,-1.0,0.0,1.0,85.164001,-30.422001,-1.608,-306.782013,-304.0,-16.0,190.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 11:43:17:888 AM,37603.167969,-49437.980469,4911.739746,-3.0,0.0,2.0,101.482002,-12.708,1.82,-89.739006,177.0,34.0,2170.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 11:43:17:995 AM,37602.648438,-49437.878906,4907.75,-3.0,0.0,2.0,105.473007,-1.047,-0.341,-5.895,117.0,-22.0,838.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 11:43:18:93 AM,37602.730469,-49437.949219,4908.290039,-3.0,0.0,2.0,106.008003,1.217,-0.779,9.133,23.0,-4.0,150.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 11:43:18:189 AM,37602.828125,-49438.019531,4909.319824,-3.0,0.0,2.0,107.035004,1.231,-0.722,10.412001,0.0,1.0,13.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 11:43:18:291 AM,37602.929688,-49438.089844,4910.27002,-3.0,0.0,2.0,107.987007,0.907,-0.849,8.026,-3.0,-1.0,-24.0,0.99,1.0,0.0,0.0,true
Jun 4 2024 11:43:18:387 AM,37603.277344,-49438.089844,4910.909668,-3.0,0.0,2.0,108.629005,5.64,0.295,5.626,47.0,11.0,-24.0,0.99,1.0,0.0,0.0,true
Jun 4 2024 11:43:18:487 AM,37604.96875,-49437.738281,4911.27002,-3.0,0.0,2.0,108.988007,27.625002,5.605,2.584,220.0,53.0,-30.0,0.98,1.0,0.0,0.0,true
Jun 4 2024 11:43:18:584 AM,37609.238281,-49436.457031,4911.330078,-3.0,1.0,2.0,109.044006,60.341003,18.530001,-0.322,327.0,129.0,-29.0,0.98,1.0,0.0,0.0,true
Jun 4 2024 11:43:18:689 AM,37618.429688,-49434.027344,4911.02002,-3.0,2.0,2.0,109.350006,110.798004,20.634001,-4.283,505.0,21.0,-40.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:18:791 AM,37632.109375,-49432.519531,4910.330078,-4.0,2.0,2.0,110.039001,146.061005,7.803,-7.384,353.0,-128.0,-31.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:18:883 AM,37646.160156,-49431.96875,4909.629883,-3.0,2.0,1.0,110.743004,156.026001,6.013,-8.266001,100.0,-18.0,-9.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:18:993 AM,37663.390625,-49431.347656,4908.810059,-3.0,2.0,1.0,111.563004,158.53801,5.656,-8.29,25.0,-4.0,0.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:19:90 AM,37678.890625,-49430.820312,4908.049805,-3.0,2.0,1.0,112.318008,156.547012,5.388,-8.103001,-20.0,-3.0,2.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:19:189 AM,37693.929688,-49430.359375,4907.319824,-3.0,2.0,1.0,113.047005,152.448013,4.622,-7.624001,-41.0,-8.0,5.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:19:285 AM,37708.238281,-49429.949219,4906.649902,-3.0,2.0,1.0,113.723007,147.668015,4.34,-7.137001,-48.0,-3.0,5.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:19:388 AM,37723.167969,-49429.539062,4905.949707,-3.0,2.0,1.0,114.420006,139.677002,3.96,-6.608,-80.0,-4.0,5.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:19:483 AM,37736.578125,-49429.179688,4905.299805,-2.0,2.0,1.0,115.067009,144.474014,3.999,-7.176,48.0,0.0,-6.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:19:592 AM,37753.519531,-49428.730469,4904.439941,-3.0,2.0,1.0,115.927002,169.302002,4.611,-8.275001,248.0,6.0,-11.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:19:683 AM,37770.46875,-49428.308594,4903.52002,-3.0,2.0,1.0,116.853004,197.70401,5.065,-10.597,284.0,5.0,-23.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:19:790 AM,37793.757812,-49427.738281,4902.149902,-3.0,2.0,1.0,118.217003,234.119019,5.717,-12.769001,364.0,7.0,-22.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:19:882 AM,37816.871094,-49427.199219,4900.839844,-3.0,2.0,1.0,119.529007,266.652008,6.428,-14.523001,325.0,7.0,-18.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:19:992 AM,37848.558594,-49426.46875,4899.299805,-4.0,2.0,1.0,121.068008,306.053009,7.421,-13.847001,394.0,10.0,7.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:20:82 AM,37878.277344,-49425.808594,4897.989746,-4.0,2.0,1.0,122.381004,339.422028,7.6,-15.025001,334.0,2.0,-12.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:20:188 AM,37916.121094,-49425.050781,4896.25,-4.0,1.0,1.0,124.116005,377.923004,7.641,-17.392,385.0,0.0,-24.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:20:289 AM,37956.289062,-49424.308594,4894.359863,-4.0,1.0,1.0,126.01001,414.753021,7.638,-19.561001,368.0,0.0,-22.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:20:383 AM,37997.460938,-49423.617188,4892.109863,-4.0,1.0,1.0,128.264999,449.489014,6.764,-25.616001,347.0,-9.0,-61.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:20:490 AM,38048.480469,-49422.878906,4889.139648,-4.0,1.0,1.0,131.233002,489.160034,6.887001,-27.955002,397.0,1.0,-23.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:20:590 AM,38098.988281,-49422.167969,4886.419922,-4.0,1.0,2.0,133.945007,525.228027,7.263,-26.444002,361.0,4.0,15.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:20:684 AM,38149.769531,-49421.507812,4884.060059,-4.0,1.0,2.0,136.306,558.253052,7.392,-25.317001,330.0,1.0,11.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:20:790 AM,38211.488281,-49420.800781,4881.359863,-4.0,1.0,2.0,139.008011,595.217041,6.64,-25.933001,370.0,-8.0,-6.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:20:888 AM,38270.238281,-49420.21875,4878.459961,-3.0,1.0,2.0,141.906006,609.258057,4.198,-34.706001,140.0,-24.0,-88.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:20:981 AM,38327.738281,-49419.800781,4875.549805,-3.0,1.0,2.0,144.819,613.644043,4.613,-29.124001,44.0,4.0,56.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:21:91 AM,38395.519531,-49419.390625,4872.719727,-3.0,0.0,2.0,147.64801,616.667053,3.458,-24.839001,30.0,-12.0,43.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:21:194 AM,38459.117188,-49419.167969,4870.290039,-2.0,0.0,2.0,150.082001,619.777039,1.65,-23.553001,31.0,-18.0,13.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:21:289 AM,38517.589844,-49419.148438,4868.129883,-2.0,0.0,2.0,152.24501,622.475037,-0.119,-23.09,27.0,-18.0,5.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:21:383 AM,38577.308594,-49419.269531,4865.959961,-2.0,0.0,2.0,154.411011,649.592041,-1.561,-23.526001,271.0,-14.0,-4.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:21:483 AM,38645.109375,-49419.609375,4863.759766,-2.0,0.0,2.0,156.610001,695.196045,-3.645,-21.796001,456.0,-21.0,17.0,-0.02,1.0,0.0,0.0,true
Jun 4 2024 11:43:21:582 AM,38715.648438,-49420.179688,4861.459961,-2.0,-1.0,2.0,158.906006,731.514038,-6.826,-23.615002,363.0,-32.0,-18.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:21:682 AM,38790.347656,-49421.097656,4859.159668,-2.0,-1.0,2.0,161.213013,748.144043,-9.836,-21.620001,166.0,-30.0,20.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:21:782 AM,38864.800781,-49422.269531,4857.290039,-2.0,-1.0,2.0,163.085007,748.048035,-12.227,-17.35,-1.0,-24.0,43.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:21:887 AM,38929.148438,-49426.71875,4852.509766,-1.0,0.0,1.0,167.864014,132.671005,-139.338013,-148.173004,-6154.0,-1271.0,-1308.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:21:983 AM,38931.828125,-49433.558594,4854.009766,-1.0,1.0,3.0,169.368011,4.278,-20.932001,10.239,-1284.0,1184.0,1584.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:22:85 AM,38931.710938,-49433.769531,4854.560059,-1.0,1.0,3.0,169.914001,-1.135,0.162,2.078,-54.0,211.0,-82.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:22:191 AM,38931.597656,-49433.699219,4854.689941,-1.0,1.0,3.0,170.054001,-0.909,0.801,1.17,2.0,6.0,-9.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:22:286 AM,38931.507812,-49433.648438,4854.810059,-1.0,1.0,3.0,170.167007,-0.771,0.469,1.377,1.0,-3.0,2.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:22:388 AM,38931.429688,-49433.617188,4854.939941,-1.0,1.0,3.0,170.294006,-0.66,0.188,1.432,1.0,-3.0,1.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:22:485 AM,38931.359375,-49433.597656,4855.060059,-1.0,1.0,3.0,170.416016,-0.683,0.407,1.199,0.0,2.0,-2.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:22:589 AM,38931.289062,-49433.558594,4855.159668,-1.0,1.0,3.0,170.520004,0.0,0.0,0.0,7.0,-4.0,-12.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:22:687 AM,38931.21875,-49433.507812,4855.239746,-1.0,1.0,3.0,170.594009,-0.666,0.665,0.814,-7.0,7.0,8.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:22:781 AM,38931.160156,-49433.457031,4855.319824,-1.0,1.0,3.0,170.682007,-0.646,0.455,1.215,0.0,-2.0,4.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:22:888 AM,38931.089844,-49433.429688,4855.429688,-1.0,1.0,3.0,170.789001,-0.39,0.181,0.879,3.0,-3.0,-3.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:22:986 AM,38931.039062,-49433.410156,4855.509766,-1.0,1.0,3.0,170.871002,-0.483,0.31,1.054,-1.0,1.0,2.0,-0.02,0.0,0.0,0.0,true
Jun 4 2024 11:43:23:92 AM,38930.988281,-49433.359375,4855.560059,-1.0,1.0,3.0,170.91301,-0.5,0.752,0.144,0.0,4.0,-9.0,-0.02,0.0,0.0,1.0,true
Jun 4 2024 11:43:23:192 AM,38930.917969,-49433.308594,4855.649902,-1.0,1.0,2.0,171.007004,-0.865,1.121,1.721,-4.0,4.0,16.0,-0.02,0.0,0.0,1.0,true
Jun 4 2024 11:43:23:290 AM,38930.46875,-49433.257812,4855.850098,-1.0,1.0,2.0,171.205002,-10.655001,0.744,2.834,-98.0,-4.0,11.0,-0.02,0.0,0.0,1.0,true
Jun 4 2024 11:43:23:382 AM,38928.570312,-49433.238281,4856.129883,-1.0,1.0,2.0,171.489014,-27.411001,0.616,2.737,-168.0,-1.0,-1.0,-0.02,0.0,0.0,1.0,true
Jun 4 2024 11:43:23:486 AM,38923.960938,-49433.257812,4856.5,-1.0,1.0,2.0,171.861008,-63.864002,-0.343,3.293,-365.0,-10.0,6.0,-0.02,0.0,0.0,1.0,true
