,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 9:48:05:244 AM,37606.070312,-49438.230469,5013.310059,0.0,0.0,0.0,0.0,0.0,0.0,-131.159012,0.0,0.0,-1312.0,0.0,0.0,0.0,true
May 21 2024 9:48:05:244 AM,37606.070312,-49438.230469,5013.310059,0.0,0.0,0.0,0.0,0.0,0.0,-131.159012,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:05:245 AM,37606.070312,-49438.230469,5013.310059,0.0,0.0,0.0,0.0,0.0,0.0,-131.159012,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:05:589 AM,37606.070312,-49438.230469,4994.489746,0.0,0.0,0.0,18.823,0.0,0.0,-228.970016,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 21 2024 9:48:05:590 AM,37606.070312,-49438.230469,4994.489746,0.0,0.0,0.0,18.823,0.0,0.0,-228.970016,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:05:590 AM,37606.070312,-49438.230469,4994.489746,0.0,0.0,0.0,18.823,0.0,0.0,-228.970016,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:05:597 AM,37606.070312,-49438.230469,4991.859863,0.0,0.0,0.0,21.450001,0.0,0.0,-239.688019,0.0,0.0,-107.0,0.0,0.0,0.0,true
May 21 2024 9:48:05:702 AM,37606.070312,-49438.230469,4960.779785,0.0,0.0,0.0,52.537003,0.0,0.0,-341.746002,0.0,0.0,-1021.0,0.0,0.0,0.0,true
May 21 2024 9:48:05:799 AM,37604.460938,-49438.910156,4926.149902,-1.0,0.0,1.0,87.167007,22.614,26.140001,-287.932007,226.0,261.0,538.0,0.0,0.0,0.0,true
May 21 2024 9:48:05:897 AM,37602.589844,-49438.519531,4910.879883,-3.0,0.0,2.0,102.435005,3.917,9.944,-79.637001,-187.0,-162.0,2083.0,0.0,0.0,0.0,true
May 21 2024 9:48:05:999 AM,37602.289062,-49438.058594,4907.870117,-3.0,0.0,2.0,105.441002,-1.556,-0.144,-2.996,-55.0,-101.0,766.0,0.0,0.0,0.0,true
May 21 2024 9:48:06:99 AM,37602.359375,-49438.128906,4908.419922,-3.0,0.0,2.0,105.993004,0.317,1.755,9.295,19.0,19.0,123.0,0.0,0.0,0.0,true
May 21 2024 9:48:06:196 AM,37602.417969,-49438.1875,4909.399902,-3.0,0.0,2.0,106.973007,0.646,1.903,9.81,3.0,1.0,5.0,0.0,0.0,0.0,true
May 21 2024 9:48:06:300 AM,37602.46875,-49438.25,4910.310059,-3.0,0.0,2.0,107.882004,0.587,1.385,7.630001,-1.0,-5.0,-22.0,0.0,0.0,0.0,true
May 21 2024 9:48:06:391 AM,37602.5,-49438.300781,4910.889648,-3.0,0.0,2.0,108.465004,0.436,0.866,5.414,-2.0,-5.0,-22.0,0.0,0.0,0.0,true
May 21 2024 9:48:06:497 AM,37602.519531,-49438.359375,4911.339844,-3.0,0.0,2.0,108.914001,0.276,0.414,3.367,-2.0,-5.0,-20.0,0.0,0.0,0.0,true
May 21 2024 9:48:06:590 AM,37602.539062,-49438.398438,4911.600098,-3.0,0.0,2.0,109.170006,0.207,0.098,2.361,-1.0,-3.0,-10.0,0.0,0.0,0.0,true
May 21 2024 9:48:06:700 AM,37602.539062,-49438.449219,4911.790039,-3.0,0.0,2.0,109.356003,0.114,-0.12,1.069,-1.0,-2.0,-13.0,0.0,0.0,0.0,true
May 21 2024 9:48:06:798 AM,37602.527344,-49438.488281,4911.870117,-3.0,0.0,2.0,109.437004,0.084,-0.237,0.81,0.0,-1.0,-3.0,0.0,0.0,0.0,true
May 21 2024 9:48:06:893 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,-1.0,2.0,-8.0,0.0,0.0,0.0,true
May 21 2024 9:48:06:996 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:07:98 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:07:199 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:07:299 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:07:398 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:07:500 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:07:592 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:07:695 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:07:793 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:07:900 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:07:999 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:08:105 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:08:193 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:08:297 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:08:392 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:08:499 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:08:596 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:08:701 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:08:798 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:08:901 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:08:991 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:09:99 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:09:193 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:09:296 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:09:401 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:09:497 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:09:592 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:09:699 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:09:791 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:09:894 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:09:999 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:10:97 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:10:196 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:10:300 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:10:394 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:10:500 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:10:591 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:10:690 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:10:792 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:10:895 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:11:1 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:11:90 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:11:195 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:11:296 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 9:48:11:392 AM,37602.519531,-49438.507812,4911.899902,-3.0,0.0,2.0,109.465004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
