,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 11:16:24:67 AM,37606.070312,-49438.230469,5010.549805,0.0,0.0,0.0,0.0,0.0,0.0,-149.356003,0.0,0.0,-1494.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:24:67 AM,37606.070312,-49438.230469,5010.549805,0.0,0.0,0.0,0.0,0.0,0.0,-149.356003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:24:67 AM,37606.070312,-49438.230469,5010.549805,0.0,0.0,0.0,0.0,0.0,0.0,-149.356003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:24:514 AM,37606.070312,-49438.230469,4989.909668,0.0,0.0,0.0,20.641001,0.0,0.0,-247.149017,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:24:514 AM,37606.070312,-49438.230469,4989.909668,0.0,0.0,0.0,20.641001,0.0,0.0,-247.149017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:24:514 AM,37606.070312,-49438.230469,4989.909668,0.0,0.0,0.0,20.641001,0.0,0.0,-247.149017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:24:514 AM,37606.070312,-49438.230469,4989.909668,0.0,0.0,0.0,20.641001,0.0,0.0,-247.149017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:24:636 AM,37606.070312,-49438.230469,4952.089844,0.0,0.0,0.0,58.465004,0.0,0.0,-365.437012,0.0,0.0,-1183.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:24:728 AM,37604.007812,-49438.808594,4921.5,-2.0,0.0,1.0,89.057007,16.088001,21.413,-225.214005,161.0,214.0,1402.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:24:814 AM,37602.578125,-49438.527344,4910.290039,-3.0,0.0,2.0,100.260002,3.482,8.735001,-69.774002,-126.0,-127.0,1554.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:24:918 AM,37602.378906,-49438.007812,4907.949707,-3.0,0.0,2.0,102.606003,-1.482,1.575,0.225,-50.0,-72.0,700.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:25:25 AM,37602.46875,-49438.109375,4908.709961,-3.0,0.0,2.0,103.370003,0.416,2.0,9.822001,19.0,4.0,96.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:25:128 AM,37602.527344,-49438.167969,4909.719727,-3.0,0.0,2.0,104.376007,0.695,1.733,9.678,3.0,-3.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:25:220 AM,37602.558594,-49438.230469,4910.489746,-3.0,0.0,2.0,105.145004,0.602,1.217,6.803,-1.0,-5.0,-29.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:25:340 AM,37602.578125,-49438.289062,4911.149902,-3.0,0.0,2.0,105.803001,0.415,0.662,4.661,-2.0,-6.0,-21.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:25:423 AM,37602.578125,-49438.328125,4911.449707,-3.0,0.0,2.0,106.111008,0.289,0.248,2.939,-1.0,-4.0,-17.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:25:518 AM,37602.597656,-49438.367188,4911.689941,-3.0,0.0,2.0,106.353004,0.172,0.254,1.544,-1.0,0.0,-14.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:25:618 AM,37602.597656,-49438.417969,4911.859863,-3.0,0.0,2.0,106.519005,0.171,-0.208,1.692,0.0,-5.0,1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:25:729 AM,37602.597656,-49438.457031,4911.969727,-3.0,0.0,2.0,106.630005,0.109,-0.166,0.87,-1.0,0.0,-8.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:25:822 AM,37602.589844,-49438.449219,4912.029785,-3.0,0.0,2.0,106.690002,0.036,-0.109,-0.003,-1.0,1.0,-9.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:25:929 AM,37602.589844,-49438.449219,4912.060059,-3.0,0.0,2.0,106.723007,0.023,-0.037,0.273,0.0,1.0,3.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:26:26 AM,37602.589844,-49438.449219,4912.100098,-3.0,0.0,2.0,106.757004,0.03,-0.062,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:26:125 AM,37602.589844,-49438.4375,4912.100098,-3.0,0.0,2.0,106.760002,0.01,-0.11,-0.176,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:16:26:221 AM,37602.589844,-49438.4375,4912.120117,-3.0,0.0,2.0,106.786003,0.045,-0.02,0.361,0.0,1.0,5.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 11:16:26:312 AM,37602.730469,-49438.449219,4912.139648,-3.0,0.0,2.0,106.804008,3.343,-0.25,0.048,33.0,-2.0,-3.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 11:16:26:432 AM,37604.757812,-49438.5,4912.060059,-3.0,0.0,2.0,106.881004,25.582001,-0.424,-1.322,222.0,-2.0,-14.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 11:16:26:517 AM,37608.269531,-49438.519531,4911.899902,-3.0,0.0,2.0,107.039001,49.622002,-0.488,-2.699,240.0,-1.0,-14.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 11:16:26:628 AM,37617.96875,-49438.578125,4911.469727,-2.0,0.0,2.0,107.477005,104.994003,-0.352,-6.275,554.0,1.0,-36.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 11:16:26:719 AM,37629.988281,-49438.578125,4910.839844,-2.0,0.0,2.0,108.098007,143.877014,-0.269,-8.671,389.0,1.0,-24.0,0.0,1.0,0.0,0.0,true
