,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:25:25:614 AM,37606.070312,-49438.230469,5013.109863,0.0,0.0,0.0,0.0,0.0,0.0,-132.519012,0.0,0.0,-1325.0,0.0,0.0,0.0,true
May 22 2024 10:25:25:615 AM,37606.070312,-49438.230469,5013.109863,0.0,0.0,0.0,0.0,0.0,0.0,-132.519012,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:25:25:615 AM,37606.070312,-49438.230469,5013.109863,0.0,0.0,0.0,0.0,0.0,0.0,-132.519012,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:25:25:965 AM,37606.070312,-49438.230469,4994.149902,0.0,0.0,0.0,18.958,0.0,0.0,-230.32901,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 10:25:25:965 AM,37606.070312,-49438.230469,4994.149902,0.0,0.0,0.0,18.958,0.0,0.0,-230.32901,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:25:25:965 AM,37606.070312,-49438.230469,4994.149902,0.0,0.0,0.0,18.958,0.0,0.0,-230.32901,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:25:25:966 AM,37606.070312,-49438.230469,4994.149902,0.0,0.0,0.0,18.958,0.0,0.0,-230.32901,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:25:26:63 AM,37606.070312,-49438.230469,4965.310059,0.0,0.0,0.0,47.801003,0.0,0.0,-328.904022,0.0,0.0,-986.0,0.0,0.0,0.0,true
May 22 2024 10:25:26:174 AM,37604.558594,-49439.050781,4926.129883,-1.0,0.0,1.0,86.978004,23.839001,24.791,-288.297028,238.0,248.0,406.0,0.0,0.0,0.0,true
May 22 2024 10:25:26:283 AM,37602.539062,-49438.648438,4910.169922,-3.0,0.0,2.0,102.948006,3.546,8.394,-68.165001,-203.0,-164.0,2201.0,0.0,0.0,0.0,true
May 22 2024 10:25:26:362 AM,37602.328125,-49438.128906,4907.879883,-3.0,0.0,2.0,105.229004,-2.153,-0.307,-5.366,-57.0,-87.0,628.0,0.0,0.0,0.0,true
May 22 2024 10:25:26:469 AM,37602.410156,-49438.199219,4908.379883,-3.0,0.0,2.0,105.723007,0.247,1.896,8.935,24.0,22.0,143.0,0.0,0.0,0.0,true
May 22 2024 10:25:26:570 AM,37602.480469,-49438.269531,4909.409668,-3.0,0.0,2.0,106.757004,0.673,1.925,9.942,4.0,0.0,10.0,0.0,0.0,0.0,true
May 22 2024 10:25:26:669 AM,37602.519531,-49438.328125,4910.27002,-3.0,0.0,2.0,107.615005,0.58,1.436,7.837,-1.0,-5.0,-21.0,-0.02,0.0,0.0,true
May 22 2024 10:25:26:765 AM,37602.550781,-49438.378906,4910.889648,-3.0,0.0,2.0,108.237007,0.44,0.922,5.464,-1.0,-5.0,-24.0,-0.02,0.0,0.0,true
May 22 2024 10:25:26:866 AM,37602.570312,-49438.417969,4911.330078,-3.0,0.0,2.0,108.675003,0.313,0.43,3.568,-1.0,-5.0,-19.0,-0.02,0.0,0.0,true
May 22 2024 10:25:26:976 AM,37602.589844,-49438.46875,4911.609863,-3.0,0.0,2.0,108.960007,0.205,0.132,2.048,-1.0,-3.0,-15.0,-0.02,1.0,0.0,true
May 22 2024 10:25:27:68 AM,37602.839844,-49438.507812,4911.77002,-3.0,0.0,2.0,109.115005,4.241,-0.1,1.229,40.0,-2.0,-8.0,-1.02,1.0,0.0,true
May 22 2024 10:25:27:174 AM,37604.527344,-49438.757812,4911.819824,-3.0,0.0,2.0,109.167007,25.383001,-2.815,-0.692,211.0,-27.0,-19.0,-1.02,1.0,0.0,true
May 22 2024 10:25:27:275 AM,37608.859375,-49439.707031,4911.679688,-3.0,-1.0,3.0,109.304008,54.495003,-9.347,-2.784,291.0,-65.0,-21.0,-1.02,1.0,0.0,true
May 22 2024 10:25:27:363 AM,37615.988281,-49441.808594,4911.350098,-2.0,-2.0,3.0,109.639008,91.755005,-21.451,-5.878,373.0,-121.0,-31.0,-1.02,1.0,0.0,true
May 22 2024 10:25:27:475 AM,37629.019531,-49446.847656,4910.669922,-2.0,-4.0,4.0,110.318008,133.612,-43.991001,-6.785,419.0,-225.0,-9.0,-1.02,1.0,0.0,true
May 22 2024 10:25:27:563 AM,37642.371094,-49452.667969,4910.139648,-2.0,-6.0,4.0,110.845009,162.786011,-63.940002,-6.532001,292.0,-199.0,3.0,-1.02,1.0,0.0,true
May 22 2024 10:25:27:673 AM,37662.109375,-49462.480469,4909.5,-2.0,-10.0,4.0,111.489006,194.839005,-91.011002,-6.724,321.0,-271.0,-2.0,-1.02,1.0,0.0,true
May 22 2024 10:25:27:772 AM,37682.71875,-49474.1875,4908.909668,-1.0,-14.0,5.0,112.079002,223.162018,-117.469002,-6.919,283.0,-265.0,-2.0,-0.02,1.0,0.0,true
May 22 2024 10:25:27:870 AM,37706.898438,-49486.46875,4908.169922,-1.0,-17.0,5.0,112.821007,267.563019,-125.968002,-8.704,444.0,-85.0,-18.0,-0.02,1.0,0.0,true
May 22 2024 10:25:27:964 AM,37734.699219,-49497.019531,4907.139648,-1.0,-18.0,4.0,113.846008,311.468018,-115.325005,-11.614,439.0,106.0,-29.0,0.98,1.0,0.0,true
May 22 2024 10:25:28:68 AM,37770.507812,-49506.4375,4905.659668,-1.0,-17.0,3.0,115.325005,356.226013,-93.894005,-14.708001,448.0,214.0,-31.0,0.98,1.0,0.0,true
May 22 2024 10:25:28:172 AM,37810.328125,-49512.539062,4903.879883,-1.0,-14.0,2.0,117.109009,396.301025,-60.201004,-17.657001,401.0,337.0,-29.0,0.98,1.0,0.0,true
May 22 2024 10:25:28:272 AM,37852.179688,-49513.707031,4901.850098,-1.0,-10.0,1.0,119.135002,427.78302,-11.656,-21.087002,315.0,485.0,-34.0,0.98,1.0,0.0,true
May 22 2024 10:25:28:373 AM,37896.058594,-49508.777344,4899.790039,-2.0,-4.0,0.0,121.198006,449.150024,54.655003,-21.214001,214.0,663.0,-1.0,0.98,1.0,0.0,true
May 22 2024 10:25:28:471 AM,37940.230469,-49498.1875,4897.439941,-2.0,3.0,-1.0,123.549004,476.250031,108.041008,-24.777,271.0,534.0,-36.0,-0.02,1.0,0.0,true
May 22 2024 10:25:28:564 AM,37986.828125,-49486.597656,4894.739746,-2.0,7.0,0.0,126.245003,518.184021,123.745003,-30.871002,419.0,157.0,-61.0,-0.02,1.0,0.0,true
May 22 2024 10:25:28:671 AM,38045.871094,-49476.320312,4891.339844,-2.0,8.0,1.0,129.652008,562.39801,99.428001,-32.322002,442.0,-243.0,-15.0,-1.02,1.0,0.0,true
May 22 2024 10:25:28:767 AM,38101.648438,-49471.457031,4888.379883,-2.0,7.0,2.0,132.603012,587.460999,57.873001,-31.168001,251.0,-416.0,12.0,-1.02,1.0,0.0,true
May 22 2024 10:25:28:866 AM,38159.21875,-49472.257812,4885.629883,-2.0,3.0,4.0,135.360001,581.79303,-2.903,-27.647001,-57.0,-608.0,35.0,-0.02,1.0,0.0,true
May 22 2024 10:25:28:970 AM,38219.769531,-49474.757812,4882.889648,-2.0,0.0,4.0,138.098999,587.814026,-14.927001,-25.980001,60.0,-120.0,17.0,-0.02,1.0,0.0,true
May 22 2024 10:25:29:66 AM,38276.019531,-49475.46875,4880.409668,-2.0,-1.0,4.0,140.580002,591.199036,-13.516001,-24.851002,34.0,14.0,11.0,-0.02,1.0,0.0,true
May 22 2024 10:25:29:164 AM,38334.1875,-49476.359375,4877.969727,-2.0,-1.0,4.0,143.014008,594.329041,-13.507001,-24.166,31.0,0.0,7.0,-0.02,1.0,0.0,true
May 22 2024 10:25:29:270 AM,38397.828125,-49477.488281,4875.459961,-2.0,-1.0,3.0,145.531006,610.15802,-13.761001,-23.617001,158.0,-3.0,5.0,-0.02,1.0,0.0,true
May 22 2024 10:25:29:374 AM,38465.160156,-49478.878906,4872.989746,-1.0,-1.0,3.0,147.997009,662.376038,-15.605,-24.869001,522.0,-18.0,-13.0,-0.02,1.0,0.0,true
May 22 2024 10:25:29:464 AM,38527.769531,-49480.75,4870.779785,-1.0,-1.0,3.0,150.212006,700.528015,-25.142002,-25.151001,382.0,-95.0,-3.0,-1.02,1.0,0.0,true
May 22 2024 10:25:29:572 AM,38605.359375,-49487.988281,4868.339844,-1.0,-4.0,4.0,152.64801,730.59906,-73.997002,-23.084002,301.0,-489.0,21.0,-1.02,1.0,0.0,true
May 22 2024 10:25:29:667 AM,38674.988281,-49500.507812,4866.97998,-1.0,-8.0,5.0,154.008011,746.962036,-135.845001,-13.499001,164.0,-618.0,96.0,-0.02,1.0,0.0,true
May 22 2024 10:25:29:769 AM,38752.527344,-49515.21875,4865.25,0.0,-10.0,5.0,155.734009,779.77301,-148.16301,-18.976002,328.0,-123.0,-55.0,-0.02,1.0,0.0,true
May 22 2024 10:25:29:872 AM,38834.71875,-49530.828125,4863.27002,0.0,-11.0,5.0,157.723007,809.979065,-160.251007,-19.313002,302.0,-121.0,-3.0,-0.02,1.0,0.0,true
May 22 2024 10:25:29:973 AM,38919.570312,-49547.46875,4861.370117,0.0,-11.0,4.0,159.616013,838.947021,-170.031006,-17.799002,290.0,-98.0,15.0,-0.02,1.0,0.0,true
May 22 2024 10:25:30:73 AM,39004.988281,-49564.640625,4859.669922,0.0,-11.0,4.0,161.314011,866.405029,-178.52301,-16.337,275.0,-85.0,15.0,-0.02,1.0,0.0,true
