,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 10:34:31:196 AM,37606.070312,-49438.230469,5014.120117,0.0,0.0,0.0,0.0,0.0,0.0,-125.020004,0.0,0.0,-1250.0,0.02,0.0,0.0,true
May 21 2024 10:34:31:197 AM,37606.070312,-49438.230469,5014.120117,0.0,0.0,0.0,0.0,0.0,0.0,-125.020004,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:31:197 AM,37606.070312,-49438.230469,5014.120117,0.0,0.0,0.0,0.0,0.0,0.0,-125.020004,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:31:672 AM,37606.070312,-49438.230469,4995.909668,0.0,0.0,0.0,18.209002,0.0,0.0,-222.838013,0.0,0.0,-978.0,0.02,0.0,0.0,true
May 21 2024 10:34:31:673 AM,37606.070312,-49438.230469,4995.909668,0.0,0.0,0.0,18.209002,0.0,0.0,-222.838013,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:31:673 AM,37606.070312,-49438.230469,4995.909668,0.0,0.0,0.0,18.209002,0.0,0.0,-222.838013,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:31:673 AM,37606.070312,-49438.230469,4995.909668,0.0,0.0,0.0,18.209002,0.0,0.0,-222.838013,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:31:799 AM,37606.070312,-49438.230469,4958.009766,0.0,0.0,0.0,56.102001,0.0,0.0,-349.750031,0.0,0.0,-1269.0,0.02,0.0,0.0,true
May 21 2024 10:34:31:871 AM,37605.058594,-49438.898438,4931.47998,-1.0,0.0,1.0,82.638,10.023001,20.371,-337.672028,100.0,204.0,121.0,0.02,0.0,0.0,true
May 21 2024 10:34:31:990 AM,37602.648438,-49438.429688,4910.689941,-3.0,0.0,2.0,103.422005,3.939,9.936001,-78.319,-61.0,-104.0,2594.0,0.02,0.0,0.0,true
May 21 2024 10:34:32:72 AM,37602.359375,-49438.019531,4907.919922,-3.0,0.0,2.0,106.198006,-2.172,-0.951,-6.59,-61.0,-109.0,717.0,0.02,0.0,0.0,true
May 21 2024 10:34:32:173 AM,37602.4375,-49438.097656,4908.299805,-3.0,0.0,2.0,106.584007,0.185,1.618,8.712001,24.0,26.0,153.0,0.02,0.0,0.0,true
May 21 2024 10:34:32:271 AM,37602.507812,-49438.167969,4909.290039,-3.0,0.0,2.0,107.567001,0.639,1.945,10.064,5.0,3.0,14.0,0.02,0.0,0.0,true
May 21 2024 10:34:32:376 AM,37602.550781,-49438.238281,4910.239746,-3.0,0.0,2.0,108.524002,0.596,1.45,7.846,0.0,-5.0,-22.0,0.02,0.0,0.0,true
May 21 2024 10:34:32:474 AM,37602.570312,-49438.308594,4910.889648,-3.0,0.0,2.0,109.167007,0.443,0.904,5.446,-2.0,-5.0,-24.0,0.02,0.0,0.0,true
May 21 2024 10:34:32:575 AM,37602.597656,-49438.359375,4911.330078,-3.0,0.0,2.0,109.613007,0.293,0.47,3.438,-1.0,-4.0,-20.0,0.02,0.0,0.0,true
May 21 2024 10:34:32:674 AM,37602.609375,-49438.398438,4911.609863,-3.0,0.0,2.0,109.888008,0.197,0.128,2.194,-1.0,-3.0,-12.0,0.02,0.0,0.0,true
May 21 2024 10:34:32:773 AM,37602.597656,-49438.449219,4911.779785,-3.0,0.0,2.0,110.057007,0.147,-0.111,1.305,0.0,-2.0,-9.0,0.02,0.0,0.0,true
May 21 2024 10:34:32:871 AM,37602.597656,-49438.480469,4911.839844,-3.0,0.0,2.0,110.117004,0.045,-0.202,0.54,-1.0,-1.0,-8.0,0.02,0.0,0.0,true
May 21 2024 10:34:32:977 AM,37602.597656,-49438.539062,4911.909668,-3.0,0.0,2.0,110.188004,0.057,-0.274,0.55,0.0,-1.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:33:70 AM,37602.597656,-49438.578125,4911.949707,-3.0,0.0,2.0,110.230003,0.062,-0.149,0.495,0.0,1.0,-1.0,0.02,0.0,0.0,true
May 21 2024 10:34:33:178 AM,37602.597656,-49438.570312,4912.0,-3.0,0.0,2.0,110.276009,0.038,-0.068,0.397,0.0,1.0,-1.0,0.02,0.0,0.0,true
May 21 2024 10:34:33:270 AM,37602.589844,-49438.570312,4912.02002,-3.0,0.0,2.0,110.298004,0.037,-0.052,0.146,0.0,0.0,-3.0,0.02,0.0,0.0,true
May 21 2024 10:34:33:375 AM,37602.589844,-49438.570312,4912.029785,-3.0,0.0,2.0,110.314003,0.031,-0.048,0.2,0.0,0.0,1.0,0.02,0.0,0.0,true
May 21 2024 10:34:33:469 AM,37602.589844,-49438.558594,4912.049805,-3.0,0.0,2.0,110.333008,0.033,-0.056,0.173,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:33:574 AM,37602.589844,-49438.558594,4912.069824,-3.0,0.0,2.0,110.346008,0.017,-0.05,0.119,0.0,0.0,-1.0,0.02,0.0,0.0,true
May 21 2024 10:34:33:671 AM,37602.589844,-49438.558594,4912.069824,-3.0,0.0,2.0,110.352005,0.016,-0.028,-0.015,0.0,0.0,-1.0,0.02,0.0,0.0,true
May 21 2024 10:34:33:776 AM,37602.589844,-49438.550781,4912.080078,-3.0,0.0,2.0,110.357002,0.033,-0.058,0.126,0.0,0.0,1.0,0.02,0.0,0.0,true
May 21 2024 10:34:33:874 AM,37602.589844,-49438.550781,4912.080078,-3.0,0.0,2.0,110.364006,0.021,-0.036,0.087,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:33:971 AM,37602.589844,-49438.539062,4912.089844,-3.0,0.0,2.0,110.370003,0.032,-0.06,0.106,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:34:75 AM,37602.589844,-49438.539062,4912.089844,-3.0,0.0,2.0,110.374008,0.017,-0.015,0.026,0.0,0.0,-1.0,0.02,0.0,0.0,true
May 21 2024 10:34:34:171 AM,37602.589844,-49438.539062,4912.100098,-3.0,0.0,2.0,110.376007,0.017,-0.027,0.033,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:34:270 AM,37602.589844,-49438.539062,4912.100098,-3.0,0.0,2.0,110.377007,0.019,-0.037,0.042,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:34:369 AM,37602.589844,-49438.539062,4912.100098,-3.0,0.0,2.0,110.380005,0.011,-0.045,-0.011,0.0,0.0,-1.0,0.02,0.0,0.0,true
May 21 2024 10:34:34:470 AM,37602.589844,-49438.527344,4912.089844,-3.0,0.0,2.0,110.390007,0.02,-0.024,0.056,0.0,0.0,1.0,0.02,0.0,0.0,true
May 21 2024 10:34:34:573 AM,37602.589844,-49438.527344,4912.089844,-3.0,0.0,2.0,110.393005,0.027,-0.007,0.199,0.0,0.0,1.0,0.02,0.0,0.0,true
May 21 2024 10:34:34:676 AM,37602.589844,-49438.527344,4912.100098,-3.0,0.0,2.0,110.403008,0.023,-0.021,0.0,0.0,0.0,-2.0,0.02,0.0,0.0,true
May 21 2024 10:34:34:773 AM,37602.589844,-49438.527344,4912.100098,-3.0,0.0,2.0,110.405006,0.017,-0.03,0.062,0.0,0.0,1.0,0.02,0.0,0.0,true
May 21 2024 10:34:34:875 AM,37602.589844,-49438.527344,4912.109863,-3.0,0.0,2.0,110.407005,0.024,-0.028,0.022,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:34:973 AM,37602.589844,-49438.527344,4912.100098,-3.0,0.0,2.0,110.410004,0.015,-0.029,-0.018,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:35:76 AM,37602.589844,-49438.527344,4912.100098,-3.0,0.0,2.0,110.411003,0.025,-0.053,-0.007,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:35:173 AM,37602.589844,-49438.527344,4912.100098,-3.0,0.0,2.0,110.413002,0.009,-0.038,-0.13,0.0,0.0,-1.0,0.02,0.0,0.0,true
May 21 2024 10:34:35:270 AM,37602.589844,-49438.527344,4912.100098,-3.0,0.0,2.0,110.413002,0.014,-0.025,-0.026,0.0,0.0,1.0,0.02,0.0,0.0,true
May 21 2024 10:34:35:375 AM,37602.589844,-49438.527344,4912.100098,-3.0,0.0,2.0,110.413002,0.017,-0.016,0.007,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:35:469 AM,37602.589844,-49438.527344,4912.100098,-3.0,0.0,2.0,110.414001,0.017,-0.026,0.005,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:35:578 AM,37602.589844,-49438.527344,4912.100098,-3.0,0.0,2.0,110.416008,0.01,-0.033,-0.116,0.0,0.0,-1.0,0.02,0.0,0.0,true
May 21 2024 10:34:35:675 AM,37602.589844,-49438.527344,4912.109863,-3.0,0.0,2.0,110.418007,0.033,-0.048,0.066,0.0,0.0,2.0,0.02,0.0,0.0,true
May 21 2024 10:34:35:775 AM,37602.589844,-49438.527344,4912.100098,-3.0,0.0,2.0,110.419006,0.031,-0.041,0.075,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:35:877 AM,37602.589844,-49438.527344,4912.109863,-3.0,0.0,2.0,110.422005,0.005,0.001,-0.024,0.0,0.0,-1.0,0.02,0.0,0.0,true
May 21 2024 10:34:35:968 AM,37602.589844,-49438.527344,4912.100098,-3.0,0.0,2.0,110.425003,0.005,-0.013,-0.048,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:36:75 AM,37602.589844,-49438.527344,4912.109863,-3.0,0.0,2.0,110.426003,0.014,-0.012,0.034,0.0,0.0,1.0,0.02,0.0,0.0,true
May 21 2024 10:34:36:173 AM,37602.589844,-49438.527344,4912.109863,-3.0,0.0,2.0,110.429008,0.025,-0.031,0.045,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:36:272 AM,37602.589844,-49438.527344,4912.109863,-3.0,0.0,2.0,110.431007,0.036,-0.042,0.092,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:36:370 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.431007,0.007,-0.041,-0.003,0.0,0.0,-1.0,0.02,0.0,0.0,true
May 21 2024 10:34:36:470 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.433006,0.026,-0.035,0.025,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:36:578 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.435005,0.016,-0.024,-0.005,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:36:675 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.437004,0.025,-0.015,0.046,0.0,0.0,1.0,0.02,0.0,0.0,true
May 21 2024 10:34:36:774 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.438004,0.023,-0.024,-0.003,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:36:872 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.438004,0.025,-0.027,0.017,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:36:971 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.439003,0.016,-0.012,0.021,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:37:77 AM,37602.589844,-49438.519531,4912.100098,-3.0,0.0,2.0,110.444008,0.017,-0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:37:174 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.445007,0.021,-0.017,0.072,0.0,0.0,1.0,0.02,0.0,0.0,true
May 21 2024 10:34:37:273 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.448006,0.021,-0.013,0.074,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:37:370 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.450005,0.016,-0.025,-0.022,0.0,0.0,-1.0,0.02,0.0,0.0,true
May 21 2024 10:34:37:469 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.453003,0.016,-0.027,-0.011,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:37:575 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.453003,0.018,-0.028,-0.009,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:37:671 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.455002,0.02,-0.018,0.039,0.0,0.0,0.0,0.02,0.0,0.0,true
May 21 2024 10:34:37:772 AM,37602.589844,-49438.519531,4912.109863,-3.0,0.0,2.0,110.455002,0.019,-0.019,0.05,0.0,0.0,0.0,0.02,0.0,0.0,true
