,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 3 2024 11:15:25:195 AM,37606.070312,-49438.230469,5013.25,0.0,0.0,0.0,0.0,0.0,0.0,-131.573013,0.0,0.0,-1316.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:25:196 AM,37606.070312,-49438.230469,5013.25,0.0,0.0,0.0,0.0,0.0,0.0,-131.573013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:25:196 AM,37606.070312,-49438.230469,5013.25,0.0,0.0,0.0,0.0,0.0,0.0,-131.573013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:25:878 AM,37606.070312,-49438.230469,4994.389648,0.0,0.0,0.0,18.864,0.0,0.0,-229.38501,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:25:878 AM,37606.070312,-49438.230469,4994.389648,0.0,0.0,0.0,18.864,0.0,0.0,-229.38501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:25:878 AM,37606.070312,-49438.230469,4994.389648,0.0,0.0,0.0,18.864,0.0,0.0,-229.38501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:25:879 AM,37606.070312,-49438.230469,4994.389648,0.0,0.0,0.0,18.864,0.0,0.0,-229.38501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:25:984 AM,37606.070312,-49438.230469,4963.0,0.0,0.0,0.0,50.255001,0.0,0.0,-335.818024,0.0,0.0,-1064.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:26:76 AM,37604.898438,-49439.019531,4929.909668,-1.0,0.0,1.0,83.347008,15.547001,21.117001,-326.402008,155.0,211.0,94.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:26:191 AM,37602.660156,-49438.550781,4910.560059,-3.0,0.0,2.0,102.689003,3.837,9.133,-72.606003,-117.0,-120.0,2538.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:26:283 AM,37602.410156,-49438.207031,4907.959961,-3.0,0.0,2.0,105.293007,-1.77,-1.171,-3.688,-56.0,-103.0,689.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:26:377 AM,37602.488281,-49438.277344,4908.419922,-3.0,0.0,2.0,105.759003,0.245,1.494,8.922001,20.0,27.0,126.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:26:478 AM,37602.550781,-49438.347656,4909.429688,-3.0,0.0,2.0,106.766006,0.676,1.907,9.947001,4.0,4.0,10.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:26:587 AM,37602.597656,-49438.410156,4910.399902,-3.0,0.0,2.0,107.736008,0.588,1.404,7.553,-1.0,-5.0,-24.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:26:681 AM,37602.609375,-49438.457031,4910.989746,-3.0,0.0,2.0,108.328003,0.462,0.902,5.31,-1.0,-5.0,-22.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:26:788 AM,37602.640625,-49438.507812,4911.439941,-3.0,0.0,2.0,108.779007,0.31,0.449,3.333,-2.0,-5.0,-20.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:26:885 AM,37602.667969,-49438.550781,4911.689941,-3.0,0.0,2.0,109.029007,0.208,0.105,2.109,-1.0,-3.0,-12.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:26:976 AM,37602.660156,-49438.589844,4911.850098,-3.0,0.0,2.0,109.187004,0.137,-0.06,1.403,-1.0,-2.0,-7.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:27:86 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,-1.0,1.0,-14.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:27:178 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:27:291 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:27:388 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:27:483 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:27:580 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:27:687 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:27:786 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:27:881 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:27:992 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:28:81 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:28:180 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:28:278 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:28:383 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:28:477 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 3 2024 11:15:28:595 AM,37602.648438,-49438.609375,4911.899902,-3.0,0.0,2.0,109.232002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
