,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,VO,OutOfBounds
Jun 6 2024 9:24:17:867 AM,37606.070312,-49438.230469,5014.25,0.0,0.0,0.0,0.0,0.0,0.0,-124.049004,0.0,0.0,-2481.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:17:868 AM,37606.070312,-49438.230469,5014.25,0.0,0.0,0.0,0.0,0.0,0.0,-124.049004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:17:868 AM,37606.070312,-49438.230469,5014.25,0.0,0.0,0.0,0.0,0.0,0.0,-124.049004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:17:868 AM,37606.070312,-49438.230469,5014.25,0.0,0.0,0.0,0.0,0.0,0.0,-124.049004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:17:868 AM,37606.070312,-49438.230469,5014.25,0.0,0.0,0.0,0.0,0.0,0.0,-124.049004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:17:868 AM,37606.070312,-49438.230469,5014.25,0.0,0.0,0.0,0.0,0.0,0.0,-124.049004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:17:869 AM,37606.070312,-49438.230469,5014.25,0.0,0.0,0.0,0.0,0.0,0.0,-124.049004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:282 AM,37606.070312,-49438.230469,4996.139648,0.0,0.0,0.0,18.112001,0.0,0.0,-221.868011,0.0,0.0,-1956.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:282 AM,37606.070312,-49438.230469,4996.139648,0.0,0.0,0.0,18.112001,0.0,0.0,-221.868011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:282 AM,37606.070312,-49438.230469,4996.139648,0.0,0.0,0.0,18.112001,0.0,0.0,-221.868011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:282 AM,37606.070312,-49438.230469,4996.139648,0.0,0.0,0.0,18.112001,0.0,0.0,-221.868011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:283 AM,37606.070312,-49438.230469,4996.139648,0.0,0.0,0.0,18.112001,0.0,0.0,-221.868011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:283 AM,37606.070312,-49438.230469,4996.139648,0.0,0.0,0.0,18.112001,0.0,0.0,-221.868011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:283 AM,37606.070312,-49438.230469,4996.139648,0.0,0.0,0.0,18.112001,0.0,0.0,-221.868011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:283 AM,37606.070312,-49438.230469,4996.139648,0.0,0.0,0.0,18.112001,0.0,0.0,-221.868011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:337 AM,37606.070312,-49438.230469,4982.290039,0.0,0.0,0.0,31.960001,0.0,0.0,-275.141022,0.0,0.0,-1065.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:383 AM,37606.070312,-49438.230469,4967.600098,0.0,0.0,0.0,46.655003,0.0,0.0,-322.27002,0.0,0.0,-943.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:435 AM,37606.070312,-49438.230469,4948.629883,0.0,0.0,0.0,65.625,0.0,0.0,-374.63501,0.0,0.0,-1047.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:494 AM,37605.007812,-49438.160156,4928.189941,-1.0,0.0,1.0,86.067001,-34.150002,-0.208,-302.966003,-683.0,-4.0,1433.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:530 AM,37604.0,-49438.050781,4919.549805,-2.0,0.0,2.0,94.699005,-27.624001,1.925,-195.992004,131.0,43.0,2139.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:586 AM,37603.058594,-49437.9375,4911.939941,-3.0,0.0,2.0,102.317001,-13.145,1.854,-91.803001,290.0,-1.0,2084.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:643 AM,37602.648438,-49437.878906,4908.629883,-3.0,0.0,2.0,105.625008,-5.22,0.907,-36.009003,158.0,-19.0,1116.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:696 AM,37602.519531,-49437.859375,4907.779785,-3.0,0.0,2.0,106.473007,-0.944,-0.992,-4.507,86.0,-38.0,630.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:738 AM,37602.539062,-49437.890625,4907.889648,-3.0,0.0,2.0,106.581001,0.695,-0.776,4.732,33.0,4.0,185.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:783 AM,37602.578125,-49437.917969,4908.22998,-3.0,0.0,2.0,106.919006,1.132,-0.74,8.927,9.0,1.0,84.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:829 AM,37602.640625,-49437.949219,4908.689941,-3.0,0.0,2.0,107.386002,1.305,-0.793,10.342001,3.0,-1.0,28.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:883 AM,37602.699219,-49437.988281,4909.259766,-3.0,0.0,2.0,107.951004,1.292,-0.804,10.232,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:937 AM,37602.757812,-49438.027344,4909.799805,-3.0,0.0,2.0,108.496002,1.137,-0.764,9.285001,-3.0,1.0,-19.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:18:978 AM,37602.800781,-49438.058594,4910.169922,-3.0,0.0,2.0,108.858002,1.005,-0.715,8.318001,-3.0,1.0,-19.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:39 AM,37602.847656,-49438.097656,4910.620117,-3.0,0.0,2.0,109.313004,0.809,-0.648,6.726,-4.0,1.0,-32.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:91 AM,37602.878906,-49438.117188,4910.939941,-3.0,0.0,2.0,109.634003,0.658,-0.586,5.607,-3.0,1.0,-22.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:132 AM,37602.898438,-49438.148438,4911.149902,-3.0,0.0,2.0,109.839005,0.549,-0.55,4.798,-2.0,1.0,-16.0,0.0,0.0,0.0,0.0,1.0,true
