,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
May 30 2024 12:05:23:633 PM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,-1061.0,0.0,0.0,0.0,0.0,true
May 30 2024 12:05:23:634 PM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 30 2024 12:05:23:634 PM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 30 2024 12:05:23:651 PM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
May 30 2024 12:05:23:651 PM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 30 2024 12:05:23:651 PM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 30 2024 12:05:23:652 PM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 30 2024 12:05:23:807 PM,37606.070312,-49438.230469,4974.089844,0.0,0.0,0.0,42.414001,0.0,0.0,-301.677002,0.0,0.0,-977.0,0.0,0.0,0.0,0.0,true
May 30 2024 12:05:23:875 PM,37606.070312,-49438.230469,4951.389648,0.0,0.0,0.0,65.112,0.0,0.0,-366.919006,0.0,0.0,-652.0,0.0,0.0,0.0,0.0,true
May 30 2024 12:05:23:957 PM,37603.949219,-49438.71875,4921.589844,-2.0,0.0,1.0,94.910004,16.845001,22.602001,-226.89801,168.0,226.0,1400.0,0.0,0.0,0.0,0.0,true
May 30 2024 12:05:24:60 PM,37602.417969,-49438.390625,4909.560059,-3.0,0.0,2.0,106.947006,3.028,7.911,-54.986004,-138.0,-147.0,1719.0,0.0,0.0,0.0,0.0,true
May 30 2024 12:05:24:163 PM,37602.320312,-49437.898438,4907.989746,-3.0,0.0,2.0,108.508003,-1.013,1.26,2.176,-40.0,-67.0,572.0,0.0,0.0,0.0,0.0,true
May 30 2024 12:05:24:258 PM,37602.398438,-49437.957031,4908.739746,-3.0,0.0,2.0,109.257004,0.439,1.991,9.953,15.0,7.0,78.0,0.0,0.0,0.0,0.0,true
