,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 9:48:23:343 AM,37606.070312,-49438.230469,5016.439941,0.0,0.0,0.0,0.0,0.0,0.0,-106.599007,0.0,0.0,-1066.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:23:344 AM,37606.070312,-49438.230469,5016.439941,0.0,0.0,0.0,0.0,0.0,0.0,-106.599007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:23:344 AM,37606.070312,-49438.230469,5016.439941,0.0,0.0,0.0,0.0,0.0,0.0,-106.599007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:23:446 AM,37606.070312,-49438.230469,4996.379883,0.0,0.0,0.0,20.064001,0.0,0.0,-221.651016,0.0,0.0,-1151.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:23:534 AM,37606.070312,-49438.230469,4972.899902,0.0,0.0,0.0,43.540001,0.0,0.0,-306.640015,0.0,0.0,-850.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:23:631 AM,37605.789062,-49438.9375,4938.709961,0.0,0.0,1.0,77.737007,-0.789,9.962001,-376.980011,-8.0,100.0,-703.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:23:745 AM,37602.859375,-49438.640625,4912.709961,-3.0,0.0,2.0,103.733002,5.211,11.941001,-105.975006,60.0,20.0,2710.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:23:835 AM,37602.308594,-49438.207031,4908.120117,-3.0,0.0,2.0,108.324005,-2.752,-0.169,-12.777,-80.0,-121.0,932.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:23:947 AM,37602.398438,-49438.257812,4908.310059,-3.0,0.0,2.0,108.515007,0.136,1.422,8.248,29.0,16.0,210.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:24:38 AM,37602.460938,-49438.328125,4909.22998,-3.0,0.0,2.0,109.434006,0.658,1.901,10.285001,5.0,5.0,20.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:24:140 AM,37602.5,-49438.378906,4910.159668,-3.0,0.0,2.0,110.361008,0.611,2.207,7.973001,0.0,3.0,-23.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:24:249 AM,37602.527344,-49438.4375,4910.899902,-3.0,0.0,2.0,111.106003,0.463,1.001,5.594,-1.0,-12.0,-24.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:24:345 AM,37602.539062,-49438.488281,4911.339844,-3.0,0.0,2.0,111.547005,0.319,0.537,3.973,-1.0,-5.0,-16.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:24:432 AM,37602.558594,-49438.519531,4911.600098,-3.0,0.0,2.0,111.804008,0.234,0.229,2.797,-1.0,-3.0,-12.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:24:542 AM,37602.558594,-49438.570312,4911.830078,-3.0,0.0,2.0,112.036003,0.152,-0.075,1.527,-1.0,-3.0,-13.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:24:630 AM,37602.558594,-49438.617188,4911.919922,-3.0,0.0,2.0,112.124008,0.118,-0.25,1.176,0.0,-2.0,-4.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:24:732 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,-1.0,2.0,-12.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:24:838 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:24:938 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:25:35 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:25:135 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:25:243 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:25:338 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:25:443 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:25:537 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:25:630 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:25:749 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:25:842 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:25:945 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:26:35 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:26:134 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:26:230 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:26:335 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:26:446 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:26:547 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:26:637 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:26:746 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:26:834 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:26:936 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:27:57 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:27:132 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:27:240 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 9:48:27:333 AM,37602.550781,-49438.648438,4911.97998,-3.0,0.0,2.0,112.178009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
