,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:05:39:217 AM,37606.070312,-49438.230469,5013.799805,0.0,0.0,0.0,0.0,0.0,0.0,-127.207008,0.0,0.0,-1272.0,0.0,0.0,0.0,true
May 22 2024 10:05:39:217 AM,37606.070312,-49438.230469,5013.799805,0.0,0.0,0.0,0.0,0.0,0.0,-127.207008,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:39:217 AM,37606.070312,-49438.230469,5013.799805,0.0,0.0,0.0,0.0,0.0,0.0,-127.207008,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:39:640 AM,37606.070312,-49438.230469,4995.379883,0.0,0.0,0.0,18.428001,0.0,0.0,-225.022003,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 10:05:39:640 AM,37606.070312,-49438.230469,4995.379883,0.0,0.0,0.0,18.428001,0.0,0.0,-225.022003,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:39:640 AM,37606.070312,-49438.230469,4995.379883,0.0,0.0,0.0,18.428001,0.0,0.0,-225.022003,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:39:640 AM,37606.070312,-49438.230469,4995.379883,0.0,0.0,0.0,18.428001,0.0,0.0,-225.022003,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:39:737 AM,37606.070312,-49438.230469,4967.219727,0.0,0.0,0.0,46.586002,0.0,0.0,-323.644012,0.0,0.0,-986.0,0.0,0.0,0.0,true
May 22 2024 10:05:39:839 AM,37604.949219,-49439.039062,4930.47998,-1.0,0.0,1.0,83.319,13.984,20.18,-330.23703,140.0,202.0,-66.0,0.0,0.0,0.0,true
May 22 2024 10:05:39:941 AM,37602.789062,-49438.570312,4911.620117,-3.0,0.0,2.0,102.181007,4.564,10.753,-90.031006,-94.0,-94.0,2402.0,0.0,0.0,0.0,true
May 22 2024 10:05:40:42 AM,37602.378906,-49438.058594,4907.879883,-3.0,0.0,2.0,105.926003,-1.949,-0.52,-4.846,-65.0,-113.0,852.0,0.0,0.0,0.0,true
May 22 2024 10:05:40:143 AM,37602.46875,-49438.117188,4908.350098,-3.0,0.0,2.0,106.398003,0.226,1.789,9.008,22.0,23.0,139.0,0.0,0.0,0.0,true
May 22 2024 10:05:40:240 AM,37602.519531,-49438.199219,4909.339844,-3.0,0.0,2.0,107.386002,0.664,1.9,10.101001,4.0,1.0,11.0,0.0,0.0,0.0,true
May 22 2024 10:05:40:343 AM,37602.570312,-49438.269531,4910.27002,-3.0,0.0,2.0,108.314003,0.597,1.422,7.782001,-1.0,-5.0,-23.0,0.0,0.0,0.0,true
May 22 2024 10:05:40:438 AM,37602.589844,-49438.320312,4910.879883,-3.0,0.0,2.0,108.932007,0.456,0.89,5.506,-1.0,-5.0,-23.0,0.0,0.0,0.0,true
May 22 2024 10:05:40:537 AM,37602.609375,-49438.378906,4911.319824,-3.0,0.0,2.0,109.370003,0.304,0.464,3.589,-2.0,-4.0,-19.0,0.0,0.0,0.0,true
May 22 2024 10:05:40:645 AM,37602.640625,-49438.417969,4911.620117,-3.0,0.0,2.0,109.666008,0.201,0.109,2.108,-1.0,-4.0,-15.0,0.0,0.0,0.0,true
May 22 2024 10:05:40:742 AM,37602.628906,-49438.457031,4911.790039,-3.0,0.0,2.0,109.834007,0.133,-0.088,1.425,-1.0,-2.0,-7.0,0.0,0.0,0.0,true
May 22 2024 10:05:40:848 AM,37602.628906,-49438.5,4911.870117,-3.0,0.0,2.0,109.922005,0.0,0.0,0.0,-1.0,1.0,-14.0,0.0,0.0,0.0,true
May 22 2024 10:05:40:938 AM,37602.628906,-49438.5,4911.870117,-3.0,0.0,2.0,109.922005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:41:41 AM,37602.628906,-49438.5,4911.870117,-3.0,0.0,2.0,109.922005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:41:138 AM,37602.628906,-49438.5,4911.870117,-3.0,0.0,2.0,109.922005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:41:240 AM,37602.628906,-49438.5,4911.870117,-3.0,0.0,2.0,109.922005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:41:338 AM,37602.628906,-49438.5,4911.870117,-3.0,0.0,2.0,109.922005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:05:41:443 AM,37602.621094,-49438.527344,4911.879883,-3.0,0.0,2.0,109.931007,0.063,-0.243,0.416,1.0,-2.0,4.0,-0.05,0.0,0.0,true
May 22 2024 10:05:41:539 AM,37602.621094,-49438.558594,4911.929688,-3.0,0.0,2.0,109.977005,0.057,-0.158,0.534,0.0,1.0,1.0,-0.05,1.0,0.0,true
May 22 2024 10:05:41:639 AM,37603.050781,-49438.597656,4911.959961,-3.0,0.0,2.0,110.006004,9.398001,-0.388,-0.059,93.0,-2.0,-6.0,-0.04,1.0,0.0,true
May 22 2024 10:05:41:738 AM,37605.5,-49438.6875,4911.899902,-3.0,0.0,2.0,110.064003,34.485001,-0.831,-1.649,251.0,-4.0,-16.0,-0.04,1.0,0.0,true
May 22 2024 10:05:41:838 AM,37611.550781,-49438.847656,4911.659668,-3.0,0.0,2.0,110.306007,74.950005,-1.629,-4.203,405.0,-8.0,-26.0,-0.04,1.0,0.0,true
May 22 2024 10:05:41:938 AM,37621.988281,-49439.097656,4911.149902,-2.0,0.0,3.0,110.814003,117.333008,-2.158,-6.522,424.0,-5.0,-23.0,-0.04,1.0,0.0,true
May 22 2024 10:05:42:42 AM,37636.789062,-49439.417969,4910.399902,-2.0,0.0,3.0,111.565002,158.006012,-3.283,-8.814,407.0,-11.0,-23.0,-0.04,1.0,0.0,true
May 22 2024 10:05:42:141 AM,37654.949219,-49439.859375,4909.449707,-2.0,-1.0,3.0,112.512009,196.402008,-4.411,-10.601001,384.0,-11.0,-18.0,-0.04,1.0,0.0,true
May 22 2024 10:05:42:241 AM,37676.929688,-49440.449219,4908.299805,-2.0,-1.0,3.0,113.659004,234.605011,-5.832,-12.458,382.0,-14.0,-19.0,-0.04,1.0,0.0,true
May 22 2024 10:05:42:343 AM,37702.949219,-49441.238281,4906.949707,-2.0,-1.0,3.0,115.013008,273.114014,-7.837,-14.378,385.0,-20.0,-19.0,-0.04,1.0,0.0,true
May 22 2024 10:05:42:436 AM,37730.109375,-49442.179688,4905.540039,-2.0,-1.0,3.0,116.423004,308.341003,-9.939,-16.130001,352.0,-21.0,-18.0,-0.04,1.0,0.0,true
May 22 2024 10:05:42:539 AM,37764.347656,-49443.609375,4903.759766,-1.0,-2.0,3.0,118.208008,345.66803,-13.193001,-18.693001,373.0,-33.0,-26.0,-0.04,0.0,0.0,true
May 22 2024 10:05:42:637 AM,37799.121094,-49445.207031,4901.839844,-2.0,-2.0,3.0,120.127007,366.576019,-15.533001,-19.319,209.0,-23.0,-6.0,-0.04,0.0,0.0,true
May 22 2024 10:05:42:739 AM,37836.039062,-49447.007812,4899.929688,-2.0,-2.0,3.0,122.034004,368.230011,-18.654001,-17.083,17.0,-31.0,22.0,-0.04,0.0,0.0,true
May 22 2024 10:05:42:839 AM,37871.738281,-49448.949219,4898.199707,-2.0,-2.0,3.0,123.767006,359.729004,-19.867001,-16.782001,-85.0,-12.0,3.0,-0.04,0.0,0.0,true
May 22 2024 10:05:42:942 AM,37907.507812,-49451.019531,4896.449707,-3.0,-3.0,3.0,125.515007,345.759003,-20.114,-16.126001,-140.0,-2.0,7.0,-0.04,0.0,0.0,true
May 22 2024 10:05:43:42 AM,37941.019531,-49453.070312,4894.839844,-3.0,-3.0,3.0,127.124008,329.95401,-20.263,-15.383,-158.0,-1.0,7.0,-0.04,0.0,0.0,true
May 22 2024 10:05:43:142 AM,37972.871094,-49455.117188,4893.330078,-3.0,-3.0,3.0,128.63501,313.711029,-20.250002,-14.658001,-162.0,0.0,7.0,-0.04,0.0,0.0,true
May 22 2024 10:05:43:237 AM,38001.769531,-49457.078125,4891.969727,-3.0,-3.0,3.0,129.992004,298.448029,-20.005001,-13.814001,-153.0,2.0,8.0,-0.04,0.0,0.0,true
