,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
May 31 2024 12:37:38:127 PM,37606.070312,-49438.230469,5014.529785,0.0,0.0,0.0,0.0,0.0,0.0,-122.054008,0.0,0.0,-1221.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:38:128 PM,37606.070312,-49438.230469,5014.529785,0.0,0.0,0.0,0.0,0.0,0.0,-122.054008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:38:128 PM,37606.070312,-49438.230469,5014.529785,0.0,0.0,0.0,0.0,0.0,0.0,-122.054008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:38:551 PM,37606.070312,-49438.230469,4996.620117,0.0,0.0,0.0,17.912001,0.0,0.0,-219.875015,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:38:551 PM,37606.070312,-49438.230469,4996.620117,0.0,0.0,0.0,17.912001,0.0,0.0,-219.875015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:38:551 PM,37606.070312,-49438.230469,4996.620117,0.0,0.0,0.0,17.912001,0.0,0.0,-219.875015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:38:552 PM,37606.070312,-49438.230469,4996.620117,0.0,0.0,0.0,17.912001,0.0,0.0,-219.875015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:38:666 PM,37606.070312,-49438.230469,4962.699707,0.0,0.0,0.0,51.827003,0.0,0.0,-336.713013,0.0,0.0,-1168.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:38:754 PM,37604.878906,-49439.039062,4930.299805,-1.0,0.0,1.0,84.229004,13.734,20.185001,-329.850006,137.0,202.0,69.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:38:848 PM,37602.878906,-49438.609375,4912.429688,-3.0,0.0,2.0,102.100006,5.08,11.779,-103.005005,-87.0,-84.0,2268.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:38:950 PM,37602.359375,-49437.980469,4907.97998,-3.0,0.0,2.0,106.553001,-2.579,2.36,-6.264,-77.0,-94.0,967.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:39:50 PM,37602.449219,-49438.039062,4908.379883,-3.0,0.0,2.0,106.955002,0.122,2.173,8.753,27.0,-2.0,150.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:39:150 PM,37602.519531,-49438.109375,4909.379883,-3.0,0.0,2.0,107.952003,0.662,1.867,10.258,5.0,-3.0,15.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:39:249 PM,37602.558594,-49438.167969,4910.27002,-3.0,0.0,2.0,108.844002,0.636,1.307,8.086,0.0,-6.0,-22.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:39:359 PM,37602.597656,-49438.230469,4910.97998,-3.0,0.0,2.0,109.560005,0.463,0.725,5.499,-2.0,-6.0,-26.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:39:445 PM,37602.609375,-49438.269531,4911.339844,-3.0,0.0,2.0,109.911003,0.351,0.384,4.022,-1.0,-3.0,-15.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:39:555 PM,37602.628906,-49438.320312,4911.659668,-3.0,0.0,2.0,110.232002,0.223,0.04,2.406,-1.0,-3.0,-16.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:39:650 PM,37602.640625,-49438.359375,4911.830078,-3.0,0.0,2.0,110.403008,0.159,-0.168,1.413,-1.0,-2.0,-10.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:39:754 PM,37602.628906,-49438.410156,4911.939941,-3.0,0.0,2.0,110.515007,0.087,-0.248,0.822,-1.0,-1.0,-6.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:39:848 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.068,-0.337,0.589,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:39:957 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,-1.0,3.0,-6.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:40:53 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:40:160 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:40:248 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:40:356 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:40:450 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:40:557 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:40:653 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:40:747 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:40:852 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:40:952 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:41:48 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:41:156 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:41:248 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:41:355 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:41:445 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:41:556 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:41:662 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:41:757 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:41:845 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:37:41:964 PM,37602.621094,-49438.449219,4912.0,-3.0,0.0,2.0,110.579002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
