,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 1:57:01:676 PM,37606.070312,-49438.230469,5011.549805,0.0,0.0,0.0,0.0,0.0,0.0,-142.632004,0.0,0.0,-1426.0,0.0,0.0,0.0,true
May 21 2024 1:57:01:677 PM,37606.070312,-49438.230469,5011.549805,0.0,0.0,0.0,0.0,0.0,0.0,-142.632004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 1:57:01:678 PM,37606.070312,-49438.230469,5011.549805,0.0,0.0,0.0,0.0,0.0,0.0,-142.632004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 1:57:01:989 PM,37606.070312,-49438.230469,4991.589844,0.0,0.0,0.0,19.969002,0.0,0.0,-240.432007,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 21 2024 1:57:01:990 PM,37606.070312,-49438.230469,4991.589844,0.0,0.0,0.0,19.969002,0.0,0.0,-240.432007,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 1:57:01:991 PM,37606.070312,-49438.230469,4991.589844,0.0,0.0,0.0,19.969002,0.0,0.0,-240.432007,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 1:57:02:35 PM,37606.070312,-49438.230469,4978.509766,0.0,0.0,0.0,33.049,0.0,0.0,-287.772003,0.0,0.0,-473.0,0.0,0.0,0.0,true
May 21 2024 1:57:02:163 PM,37605.417969,-49438.9375,4935.139648,0.0,0.0,1.0,76.412003,1.634,18.081001,-358.288025,16.0,181.0,-705.0,0.0,0.0,0.0,true
May 21 2024 1:57:02:233 PM,37603.269531,-49438.609375,4916.790039,-2.0,0.0,1.0,94.760002,7.437,17.370001,-164.746002,58.0,-7.0,1935.0,0.01,0.0,0.0,true
May 21 2024 1:57:02:333 PM,37602.199219,-49438.378906,4908.459961,-3.0,0.0,2.0,103.095001,2.145,6.172,-35.172001,-53.0,-112.0,1296.0,0.01,0.0,0.0,true
May 21 2024 1:57:02:438 PM,37602.269531,-49437.929688,4908.060059,-3.0,0.0,2.0,103.491005,-0.345,1.769,6.161,-25.0,-44.0,413.0,0.01,1.0,0.0,true
May 21 2024 1:57:02:533 PM,37602.507812,-49437.988281,4908.939941,-3.0,0.0,2.0,104.365005,3.612,2.181,10.088,40.0,4.0,39.0,0.01,1.0,0.0,true
May 21 2024 1:57:02:637 PM,37604.078125,-49438.078125,4909.919922,-3.0,0.0,2.0,105.344002,23.526001,0.87,7.532001,199.0,-13.0,-26.0,-0.99,1.0,0.0,true
