,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:27:03:753 AM,37606.070312,-49438.230469,5013.109863,0.0,0.0,0.0,0.0,0.0,0.0,-132.518005,0.0,0.0,-1325.0,0.0,0.0,0.0,true
May 22 2024 10:27:03:754 AM,37606.070312,-49438.230469,5013.109863,0.0,0.0,0.0,0.0,0.0,0.0,-132.518005,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:27:03:754 AM,37606.070312,-49438.230469,5013.109863,0.0,0.0,0.0,0.0,0.0,0.0,-132.518005,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:27:04:115 AM,37606.070312,-49438.230469,4994.149902,0.0,0.0,0.0,18.958,0.0,0.0,-230.328018,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 10:27:04:115 AM,37606.070312,-49438.230469,4994.149902,0.0,0.0,0.0,18.958,0.0,0.0,-230.328018,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:27:04:115 AM,37606.070312,-49438.230469,4994.149902,0.0,0.0,0.0,18.958,0.0,0.0,-230.328018,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:27:04:116 AM,37606.070312,-49438.230469,4994.149902,0.0,0.0,0.0,18.958,0.0,0.0,-230.328018,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:27:04:222 AM,37606.070312,-49438.230469,4961.839844,0.0,0.0,0.0,51.273003,0.0,0.0,-338.943024,0.0,0.0,-1086.0,0.0,0.0,0.0,true
May 22 2024 10:27:04:314 AM,37604.738281,-49439.167969,4928.689941,-1.0,0.0,1.0,84.418007,17.399,22.139002,-320.232025,174.0,221.0,187.0,0.0,0.0,0.0,true
May 22 2024 10:27:04:431 AM,37602.699219,-49438.730469,4910.209961,-3.0,0.0,2.0,102.900002,3.622,8.212001,-69.164001,-138.0,-139.0,2511.0,0.0,0.0,0.0,true
May 22 2024 10:27:04:521 AM,37602.46875,-49438.238281,4907.839844,-3.0,0.0,2.0,105.276009,-1.656,-0.276,-3.128,-53.0,-85.0,660.0,0.0,0.0,0.0,true
May 22 2024 10:27:04:615 AM,37602.550781,-49438.300781,4908.339844,-3.0,0.0,2.0,105.776009,0.229,1.827,8.853001,19.0,21.0,120.0,0.0,0.0,0.0,true
May 22 2024 10:27:04:719 AM,37602.609375,-49438.378906,4909.389648,-3.0,0.0,2.0,106.830002,0.654,1.959,9.939,4.0,1.0,11.0,0.0,0.0,0.0,true
May 22 2024 10:27:04:821 AM,37602.660156,-49438.4375,4910.290039,-3.0,0.0,2.0,107.725006,0.596,1.433,7.606,-1.0,-5.0,-23.0,0.0,0.0,0.0,true
May 22 2024 10:27:04:916 AM,37602.6875,-49438.488281,4910.889648,-3.0,0.0,2.0,108.330002,0.418,0.892,5.389,-2.0,-5.0,-22.0,0.0,0.0,0.0,true
May 22 2024 10:27:05:18 AM,37602.710938,-49438.550781,4911.330078,-3.0,0.0,2.0,108.767006,0.277,0.473,3.447,-1.0,-4.0,-19.0,0.0,0.0,0.0,true
May 22 2024 10:27:05:122 AM,37602.730469,-49438.589844,4911.600098,-3.0,0.0,2.0,109.039001,0.197,0.075,2.052,-1.0,-4.0,-14.0,0.02,0.0,0.0,true
May 22 2024 10:27:05:216 AM,37602.738281,-49438.628906,4911.759766,-3.0,0.0,2.0,109.197006,0.144,-0.12,1.406,-1.0,-2.0,-6.0,0.02,1.0,0.0,true
May 22 2024 10:27:05:322 AM,37602.769531,-49438.679688,4911.870117,-3.0,0.0,2.0,109.307007,1.426,-0.146,0.737,13.0,0.0,-7.0,0.02,1.0,0.0,true
May 22 2024 10:27:05:420 AM,37603.148438,-49438.71875,4911.909668,-3.0,0.0,2.0,109.351006,0.572,-0.29,0.303,-9.0,-1.0,-4.0,0.02,0.0,0.0,true
May 22 2024 10:27:05:516 AM,37604.539062,-49438.800781,4911.899902,-3.0,0.0,2.0,109.359009,22.671001,-1.27,-0.803,221.0,-10.0,-11.0,-0.98,1.0,0.0,true
May 22 2024 10:27:05:611 AM,37608.289062,-49439.308594,4911.77002,-3.0,0.0,3.0,109.496002,48.176003,-5.428,-2.744,255.0,-42.0,-19.0,-0.98,1.0,0.0,true
May 22 2024 10:27:05:714 AM,37615.527344,-49440.859375,4911.409668,-2.0,-1.0,3.0,109.848007,87.819008,-15.155001,-5.257,396.0,-97.0,-25.0,-0.98,1.0,0.0,true
May 22 2024 10:27:05:820 AM,37627.878906,-49444.707031,4910.779785,-2.0,-3.0,3.0,110.482002,131.714005,-35.235001,-8.258,439.0,-201.0,-30.0,-0.98,1.0,0.0,true
May 22 2024 10:27:05:922 AM,37643.527344,-49451.050781,4910.040039,-2.0,-5.0,4.0,111.224007,166.600006,-59.929005,-7.495,349.0,-247.0,8.0,-0.98,1.0,0.0,true
May 22 2024 10:27:06:19 AM,37661.121094,-49459.199219,4909.419922,-2.0,-9.0,4.0,111.842003,195.952011,-84.141006,-7.145,294.0,-242.0,3.0,-0.98,1.0,0.0,true
