,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
May 22 2024 10:45:33:551 AM,41677.089844,-47381.457031,4893.419922,-1.0,99.0,5.0,215.925003,55.862003,-435.005035,-1.735,51.0,-238.0,2.0,-0.03,0.0,0.0,0.84,true
May 22 2024 10:45:33:655 AM,41683.320312,-47427.667969,4893.27002,-1.0,99.0,5.0,216.073013,61.409004,-459.150024,-1.653,55.0,-241.0,1.0,-0.03,0.0,0.0,0.84,true
May 22 2024 10:45:33:751 AM,41689.71875,-47473.527344,4893.120117,-1.0,99.0,5.0,216.225006,66.806,-481.198029,-1.718,54.0,-220.0,-1.0,-0.03,0.0,0.0,0.82,true
May 22 2024 10:45:33:859 AM,41697.429688,-47526.679688,4892.989746,-1.0,99.0,5.0,216.359009,73.128006,-504.614014,-1.191,63.0,-234.0,5.0,-0.03,0.0,0.0,0.82,true
May 22 2024 10:45:33:954 AM,41704.828125,-47575.707031,4892.850098,-1.0,100.0,5.0,216.494003,78.995003,-524.322021,-1.824,59.0,-197.0,-6.0,-0.03,0.0,0.0,0.78,true
May 22 2024 10:45:34:51 AM,41712.949219,-47627.617188,4892.689941,-1.0,100.0,5.0,216.657013,84.764008,-542.13501,-1.908,58.0,-178.0,-1.0,-0.04,0.0,0.0,0.54,true
May 22 2024 10:45:34:146 AM,41721.277344,-47679.429688,4892.540039,-1.0,100.0,5.0,216.806015,89.103004,-552.950012,-1.835,43.0,-108.0,1.0,-0.04,0.0,0.0,0.33,true
May 22 2024 10:45:34:255 AM,41730.929688,-47738.609375,4892.389648,0.0,101.0,5.0,216.960007,90.509003,-552.581055,-1.899,14.0,4.0,-1.0,-0.07,0.0,0.0,0.09,true
May 22 2024 10:45:34:350 AM,41739.46875,-47790.980469,4892.259766,0.0,102.0,6.0,217.091003,88.711006,-539.134033,-1.964,-18.0,134.0,-1.0,-0.1,0.0,0.0,0.09,true
May 22 2024 10:45:34:450 AM,41747.949219,-47842.648438,4892.139648,0.0,103.0,6.0,217.210007,86.947006,-517.481995,-1.842,-18.0,217.0,1.0,-0.14,0.0,0.0,0.09,true
