,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
May 31 2024 12:38:27:463 PM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,-1061.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:27:463 PM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:27:463 PM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:27:917 PM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:27:918 PM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:27:918 PM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:27:919 PM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:28:20 PM,37606.070312,-49438.230469,4972.600098,0.0,0.0,0.0,43.905003,0.0,0.0,-307.289001,0.0,0.0,-1034.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:28:120 PM,37605.628906,-49438.847656,4936.669922,0.0,0.0,1.0,79.837006,4.543,16.805,-368.075012,45.0,168.0,-608.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:28:236 PM,37602.859375,-49438.5,4912.259766,-3.0,0.0,2.0,104.244003,4.882,11.785001,-102.067001,3.0,-50.0,2660.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:28:316 PM,37602.347656,-49438.058594,4908.139648,-3.0,0.0,2.0,108.360008,-1.801,6.436,-18.300001,-67.0,-53.0,838.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:28:417 PM,37602.449219,-49438.019531,4908.179688,-3.0,0.0,2.0,108.395004,-0.086,1.482,7.104001,17.0,-50.0,254.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:28:518 PM,37602.507812,-49438.097656,4909.159668,-3.0,0.0,2.0,109.377007,0.622,1.994,10.278001,7.0,5.0,32.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:28:615 PM,37602.558594,-49438.160156,4910.080078,-3.0,0.0,2.0,110.293007,0.615,1.67,8.521001,0.0,-3.0,-18.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:28:718 PM,37602.597656,-49438.21875,4910.810059,-3.0,0.0,2.0,111.032005,0.482,1.105,5.745,-1.0,-6.0,-28.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:28:816 PM,37602.621094,-49438.257812,4911.290039,-3.0,0.0,2.0,111.505005,0.348,0.67,4.171,-1.0,-4.0,-16.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:28:918 PM,37602.640625,-49438.300781,4911.600098,-3.0,0.0,2.0,111.814003,0.234,0.21,2.582,-1.0,-5.0,-16.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:29:16 PM,37602.648438,-49438.347656,4911.790039,-3.0,0.0,2.0,112.004005,0.152,0.025,1.519,-1.0,-2.0,-11.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:29:119 PM,37602.640625,-49438.378906,4911.899902,-3.0,0.0,2.0,112.123009,0.073,0.027,0.75,-1.0,0.0,-8.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:29:217 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,-1.0,0.0,-8.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:29:324 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:29:417 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:29:524 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:29:626 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:29:724 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:29:827 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:29:927 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:30:20 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:30:119 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:30:230 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:30:320 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:30:422 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:30:523 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:30:614 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:30:716 PM,37602.640625,-49438.390625,4911.929688,-3.0,0.0,2.0,112.147003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:30:816 PM,37602.640625,-49438.417969,4911.919922,-3.0,0.0,2.0,112.156006,0.045,-0.251,-0.013,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:30:925 PM,37602.640625,-49438.457031,4911.939941,-3.0,0.0,2.0,112.176003,0.037,-0.269,-0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:31:26 PM,37602.640625,-49438.46875,4911.989746,-3.0,0.0,2.0,112.224007,0.043,-0.075,0.548,0.0,2.0,6.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:31:115 PM,37602.628906,-49438.457031,4912.02002,-3.0,0.0,2.0,112.257004,0.042,-0.042,0.385,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
May 31 2024 12:38:31:227 PM,37602.628906,-49438.457031,4912.069824,-3.0,0.0,2.0,112.301003,0.016,-0.061,0.094,0.0,0.0,-3.0,0.0,1.0,0.0,0.0,true
