,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
May 22 2024 11:06:04:566 AM,37606.070312,-49438.230469,5014.25,0.0,0.0,0.0,0.0,0.0,0.0,-124.047005,0.0,0.0,-1240.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:04:567 AM,37606.070312,-49438.230469,5014.25,0.0,0.0,0.0,0.0,0.0,0.0,-124.047005,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:04:567 AM,37606.070312,-49438.230469,5014.25,0.0,0.0,0.0,0.0,0.0,0.0,-124.047005,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:04:945 AM,37606.070312,-49438.230469,4996.139648,0.0,0.0,0.0,18.111,0.0,0.0,-221.866013,0.0,0.0,-978.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:04:945 AM,37606.070312,-49438.230469,4996.139648,0.0,0.0,0.0,18.111,0.0,0.0,-221.866013,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:04:945 AM,37606.070312,-49438.230469,4996.139648,0.0,0.0,0.0,18.111,0.0,0.0,-221.866013,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:04:946 AM,37606.070312,-49438.230469,4996.139648,0.0,0.0,0.0,18.111,0.0,0.0,-221.866013,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:05:44 AM,37606.070312,-49438.230469,4968.209961,0.0,0.0,0.0,46.045002,0.0,0.0,-320.435028,0.0,0.0,-986.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:05:155 AM,37604.859375,-49439.109375,4929.339844,-1.0,0.0,1.0,84.910004,15.419001,20.255001,-327.775024,154.0,203.0,-73.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:05:244 AM,37602.929688,-49438.6875,4912.330078,-3.0,0.0,2.0,101.924004,4.88,11.478001,-104.164001,-105.0,-88.0,2236.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:05:345 AM,37602.417969,-49438.140625,4907.909668,-3.0,0.0,2.0,106.341003,-2.482,-0.797,-8.545,-74.0,-123.0,956.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:05:445 AM,37602.507812,-49438.25,4908.259766,-3.0,0.0,2.0,106.686005,0.102,1.495,8.129001,26.0,23.0,167.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:05:552 AM,37602.578125,-49438.320312,4909.310059,-3.0,0.0,2.0,107.743004,0.69,2.13,9.946,6.0,6.0,18.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:05:644 AM,37602.621094,-49438.367188,4910.129883,-3.0,0.0,2.0,108.560005,0.647,2.172,8.091001,0.0,0.0,-19.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:05:749 AM,37602.648438,-49438.429688,4910.830078,-3.0,0.0,2.0,109.259003,0.48,1.109,5.57,-2.0,-11.0,-25.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:05:845 AM,37602.660156,-49438.480469,4911.27002,-3.0,0.0,2.0,109.699005,0.33,0.443,3.511,-1.0,-7.0,-21.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:05:962 AM,37602.667969,-49438.527344,4911.589844,-3.0,0.0,2.0,110.016006,0.21,-0.241,2.143,-1.0,-7.0,-14.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:06:52 AM,37602.679688,-49438.578125,4911.739746,-3.0,0.0,2.0,110.165009,0.142,-0.647,1.482,-1.0,-4.0,-7.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:06:144 AM,37602.679688,-49438.617188,4911.830078,-3.0,0.0,2.0,110.262009,0.098,-0.923,0.97,0.0,-3.0,-5.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:06:250 AM,37602.679688,-49438.609375,4911.909668,-3.0,0.0,2.0,110.342003,0.083,0.163,0.586,0.0,11.0,-4.0,-0.02,0.0,0.0,0.0,true
May 22 2024 11:06:06:355 AM,37602.679688,-49438.640625,4911.939941,-3.0,0.0,2.0,110.366005,0.02,-0.121,0.081,-1.0,-3.0,-5.0,-0.02,1.0,0.0,0.0,true
May 22 2024 11:06:06:446 AM,37602.738281,-49438.648438,4911.959961,-3.0,0.0,2.0,110.384003,1.756,-0.096,0.197,17.0,0.0,1.0,-1.02,1.0,0.0,0.0,true
May 22 2024 11:06:06:555 AM,37602.949219,-49438.6875,4911.969727,-3.0,0.0,2.0,110.402008,0.263,-0.12,0.141,-15.0,0.0,-1.0,-1.02,0.0,0.0,0.0,true
May 22 2024 11:06:06:650 AM,37602.9375,-49438.6875,4911.97998,-3.0,0.0,2.0,110.411003,0.056,-0.026,-0.148,-2.0,1.0,-3.0,-1.02,0.0,0.0,0.0,true
May 22 2024 11:06:06:756 AM,37602.9375,-49438.699219,4911.969727,-3.0,0.0,2.0,110.419006,0.018,0.012,-0.027,0.0,0.0,1.0,-1.02,1.0,0.0,0.0,true
May 22 2024 11:06:06:847 AM,37603.417969,-49438.839844,4911.959961,-3.0,0.0,3.0,110.433006,6.563,-1.034,-0.39,65.0,-10.0,-4.0,-1.02,1.0,0.0,0.0,true
May 22 2024 11:06:06:959 AM,37605.199219,-49439.648438,4911.909668,-3.0,-1.0,3.0,110.482002,25.339001,-8.096001,-1.053,188.0,-71.0,-7.0,-1.02,1.0,0.0,0.0,true
May 22 2024 11:06:07:55 AM,37609.4375,-49441.167969,4911.699707,-3.0,-1.0,3.0,110.690002,54.934002,-15.718,-2.851,296.0,-76.0,-18.0,-1.02,1.0,0.0,0.0,true
May 22 2024 11:06:07:146 AM,37616.609375,-49444.097656,4911.310059,-2.0,-3.0,3.0,111.087006,90.348007,-28.560001,-5.971,354.0,-128.0,-31.0,-1.02,1.0,0.0,0.0,true
May 22 2024 11:06:07:255 AM,37629.378906,-49449.4375,4910.72998,-2.0,-5.0,4.0,111.659004,135.822006,-49.934002,-6.028,455.0,-214.0,-1.0,-1.02,1.0,0.0,0.0,true
May 22 2024 11:06:07:343 AM,37643.597656,-49456.007812,4910.25,-2.0,-7.0,4.0,112.141006,167.869003,-70.734001,-6.544,320.0,-208.0,-5.0,-1.02,1.0,0.0,0.0,true
May 22 2024 11:06:07:448 AM,37663.1875,-49465.808594,4909.620117,-1.0,-11.0,4.0,112.777008,205.790009,-92.241005,-7.163,379.0,-215.0,-6.0,-0.02,1.0,0.0,0.0,true
May 22 2024 11:06:07:552 AM,37687.6875,-49475.519531,4908.75,-1.0,-13.0,4.0,113.644005,255.226013,-92.997002,-9.445001,494.0,-8.0,-23.0,-0.02,1.0,0.0,0.0,true
May 22 2024 11:06:07:654 AM,37716.96875,-49483.527344,4907.560059,-1.0,-14.0,3.0,114.835007,300.623016,-83.750008,-12.238001,454.0,92.0,-28.0,-0.02,1.0,0.0,0.0,true
