,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 11:05:01:862 AM,37606.070312,-49438.230469,5010.040039,0.0,0.0,0.0,0.0,0.0,0.0,-152.424011,0.0,0.0,-1524.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:01:863 AM,37606.070312,-49438.230469,5010.040039,0.0,0.0,0.0,0.0,0.0,0.0,-152.424011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:01:863 AM,37606.070312,-49438.230469,5010.040039,0.0,0.0,0.0,0.0,0.0,0.0,-152.424011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:02:308 AM,37606.070312,-49438.230469,4989.089844,0.0,0.0,0.0,20.948002,0.0,0.0,-250.215012,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:02:308 AM,37606.070312,-49438.230469,4989.089844,0.0,0.0,0.0,20.948002,0.0,0.0,-250.215012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:02:308 AM,37606.070312,-49438.230469,4989.089844,0.0,0.0,0.0,20.948002,0.0,0.0,-250.215012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:02:308 AM,37606.070312,-49438.230469,4989.089844,0.0,0.0,0.0,20.948002,0.0,0.0,-250.215012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:02:417 AM,37606.070312,-49438.230469,4954.600098,0.0,0.0,0.0,55.439003,0.0,0.0,-358.509003,0.0,0.0,-1083.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:02:523 AM,37604.128906,-49438.570312,4920.97998,-2.0,0.0,1.0,89.063004,12.513,22.888,-218.710007,125.0,229.0,1398.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:02:617 AM,37602.679688,-49438.257812,4909.649902,-3.0,0.0,2.0,100.385002,3.14,8.506001,-59.429005,-94.0,-144.0,1593.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:02:716 AM,37602.558594,-49437.769531,4907.939941,-3.0,0.0,2.0,102.102005,-1.108,0.781,0.884,-42.0,-77.0,603.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:02:810 AM,37602.628906,-49437.839844,4908.620117,-3.0,0.0,2.0,102.785004,0.385,1.96,9.47,15.0,12.0,86.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:02:917 AM,37602.6875,-49437.910156,4909.679688,-3.0,0.0,2.0,103.843002,0.661,1.842,9.458,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:03:21 AM,37602.71875,-49437.96875,4910.529785,-3.0,0.0,2.0,104.699005,0.561,1.233,7.345,-1.0,-6.0,-21.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:03:111 AM,37602.738281,-49438.019531,4911.069824,-3.0,0.0,2.0,105.240005,0.419,0.699,5.025,-1.0,-5.0,-23.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:03:209 AM,37602.75,-49438.070312,4911.459961,-3.0,0.0,2.0,105.624008,0.282,0.374,2.905,-1.0,-3.0,-21.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:03:312 AM,37602.769531,-49438.109375,4911.699707,-3.0,0.0,2.0,105.870003,0.164,0.071,1.794,-1.0,-3.0,-11.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:03:408 AM,37602.777344,-49438.160156,4911.850098,-3.0,0.0,2.0,106.020004,0.167,-0.143,1.669,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:03:513 AM,37602.769531,-49438.179688,4911.899902,-3.0,0.0,2.0,106.063004,0.031,0.558,0.232,-1.0,7.0,-14.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:03:606 AM,37602.769531,-49438.257812,4911.959961,-3.0,0.0,2.0,106.125008,0.058,-0.374,0.524,0.0,-9.0,3.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:03:706 AM,37602.769531,-49438.277344,4912.0,-3.0,0.0,2.0,106.167007,0.046,-0.175,0.367,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:03:815 AM,37602.769531,-49438.269531,4912.040039,-3.0,0.0,2.0,106.210007,0.035,-0.099,0.145,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:03:915 AM,37602.769531,-49438.257812,4912.060059,-3.0,0.0,2.0,106.222008,0.011,-0.062,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:04:8 AM,37602.769531,-49438.257812,4912.089844,-3.0,0.0,2.0,106.256004,0.04,-0.014,0.38,0.0,0.0,3.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:04:110 AM,37602.769531,-49438.257812,4912.120117,-3.0,0.0,2.0,106.281006,0.049,-0.066,0.369,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:04:210 AM,37602.769531,-49438.25,4912.129883,-3.0,0.0,2.0,106.295006,0.025,-0.064,0.157,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:04:309 AM,37602.769531,-49438.25,4912.139648,-3.0,0.0,2.0,106.304008,0.019,-0.036,0.074,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:04:410 AM,37602.757812,-49438.238281,4912.109863,-3.0,0.0,2.0,106.331001,0.002,-0.094,-0.318,0.0,-1.0,-4.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 11:05:04:518 AM,37602.757812,-49438.230469,4912.109863,-3.0,0.0,2.0,106.332008,0.015,-0.051,0.01,0.0,0.0,3.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 11:05:04:606 AM,37602.757812,-49438.230469,4912.139648,-3.0,0.0,2.0,106.355003,-0.03,-0.075,0.447,0.0,0.0,4.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 11:05:04:721 AM,37603.429688,-49438.269531,4912.120117,-3.0,0.0,2.0,106.373009,11.429001,-0.245,-0.406,115.0,-2.0,-9.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 11:05:04:814 AM,37606.1875,-49438.46875,4912.02002,-3.0,0.0,2.0,106.477005,39.243,-2.583,-2.234,278.0,-23.0,-18.0,-1.0,1.0,0.0,0.0,true
Jun 4 2024 11:05:04:921 AM,37612.449219,-49439.328125,4911.709961,-3.0,-1.0,3.0,106.785004,70.880005,-8.684,-4.226,316.0,-61.0,-20.0,-1.0,1.0,0.0,0.0,true
Jun 4 2024 11:05:05:22 AM,37623.007812,-49441.847656,4911.139648,-2.0,-2.0,3.0,107.348007,116.019005,-23.238001,-7.249001,451.0,-146.0,-30.0,-1.0,1.0,0.0,0.0,true
Jun 4 2024 11:05:05:106 AM,37634.238281,-49445.648438,4910.509766,-2.0,-3.0,4.0,107.984009,144.575012,-41.083,-9.123,286.0,-178.0,-19.0,-1.0,1.0,0.0,0.0,true
Jun 4 2024 11:05:05:216 AM,37651.71875,-49453.167969,4909.75,-2.0,-7.0,4.0,108.744003,176.735016,-69.098,-7.415,322.0,-280.0,17.0,-1.0,1.0,0.0,0.0,true
Jun 4 2024 11:05:05:315 AM,37670.769531,-49462.660156,4909.120117,-2.0,-10.0,5.0,109.374008,204.343002,-95.580002,-6.968,276.0,-265.0,4.0,-1.0,1.0,0.0,0.0,true
Jun 4 2024 11:05:05:406 AM,37690.289062,-49473.789062,4908.569824,-1.0,-14.0,5.0,109.920006,226.653015,-122.592003,-4.717,223.0,-270.0,23.0,-1.0,1.0,0.0,0.0,true
Jun 4 2024 11:05:05:516 AM,37716.539062,-49490.378906,4907.959961,-1.0,-18.0,5.0,110.533005,260.882019,-152.534012,-7.606,342.0,-299.0,-29.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 11:05:05:622 AM,37746.648438,-49506.359375,4906.949707,-1.0,-21.0,5.0,111.543007,309.503021,-156.437012,-10.750001,486.0,-39.0,-31.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 11:05:05:718 AM,37780.097656,-49520.199219,4905.649902,-1.0,-21.0,4.0,112.836006,352.449005,-150.700012,-13.619,429.0,57.0,-29.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 11:05:05:825 AM,37820.589844,-49534.910156,4904.069824,-1.0,-21.0,3.0,114.418007,396.423004,-141.37001,-15.130001,440.0,93.0,-15.0,1.0,1.0,0.0,0.0,true
