,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 12:06:29:597 PM,37606.070312,-49438.230469,5014.100098,0.0,0.0,0.0,0.0,0.0,0.0,-125.148003,0.0,0.0,-1251.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:29:597 PM,37606.070312,-49438.230469,5014.100098,0.0,0.0,0.0,0.0,0.0,0.0,-125.148003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:29:598 PM,37606.070312,-49438.230469,5014.100098,0.0,0.0,0.0,0.0,0.0,0.0,-125.148003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:30:50 PM,37606.070312,-49438.230469,4995.879883,0.0,0.0,0.0,18.222,0.0,0.0,-222.965012,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:30:51 PM,37606.070312,-49438.230469,4995.879883,0.0,0.0,0.0,18.222,0.0,0.0,-222.965012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:30:51 PM,37606.070312,-49438.230469,4995.879883,0.0,0.0,0.0,18.222,0.0,0.0,-222.965012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:30:52 PM,37606.070312,-49438.230469,4995.879883,0.0,0.0,0.0,18.222,0.0,0.0,-222.965012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:30:190 PM,37606.070312,-49438.230469,4954.850098,0.0,0.0,0.0,59.243004,0.0,0.0,-357.993011,0.0,0.0,-1350.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:30:251 PM,37605.148438,-49438.1875,4930.759766,-1.0,0.0,1.0,83.333,-42.721001,-1.747,-330.872009,-427.0,-17.0,271.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:30:352 PM,37603.007812,-49437.9375,4912.100098,-3.0,0.0,2.0,102.000008,-13.573001,1.845,-94.854004,291.0,36.0,2360.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:30:453 PM,37602.4375,-49437.847656,4907.810059,-3.0,0.0,2.0,106.290009,-3.402,0.495,-12.772,102.0,-14.0,821.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:30:552 PM,37602.519531,-49437.878906,4908.239746,-3.0,0.0,2.0,106.726006,1.224,-0.738,8.89,46.0,-12.0,217.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:30:657 PM,37602.628906,-49437.949219,4909.350098,-3.0,0.0,2.0,107.829002,1.225,-0.744,10.359,0.0,0.0,15.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:30:754 PM,37602.738281,-49438.019531,4910.25,-3.0,0.0,2.0,108.734009,0.949,-0.639,8.31,-3.0,1.0,-20.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:30:854 PM,37602.808594,-49438.070312,4910.949707,-3.0,0.0,2.0,109.432007,0.653,-0.54,5.701,-3.0,1.0,-26.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:30:953 PM,37602.847656,-49438.117188,4911.399902,-3.0,0.0,2.0,109.883003,0.42,-0.502,3.597,-2.0,0.0,-21.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:31:56 PM,37602.878906,-49438.160156,4911.709961,-3.0,0.0,2.0,110.188004,0.258,-0.429,2.311,-2.0,1.0,-13.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:31:148 PM,37602.898438,-49438.199219,4911.870117,-3.0,0.0,2.0,110.352005,0.15,-0.441,1.292,-1.0,0.0,-10.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:31:251 PM,37602.898438,-49438.230469,4911.97998,-3.0,0.0,2.0,110.464005,0.098,-0.167,0.699,-1.0,3.0,-6.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:31:351 PM,37602.898438,-49438.230469,4912.009766,-3.0,0.0,2.0,110.493004,0.043,0.015,0.242,-1.0,2.0,-5.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:31:449 PM,37602.898438,-49438.230469,4912.060059,-3.0,0.0,2.0,110.542007,0.052,-0.008,0.447,0.0,0.0,2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:31:549 PM,37602.898438,-49438.230469,4912.089844,-3.0,0.0,2.0,110.572006,0.052,0.02,0.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:31:656 PM,37602.898438,-49438.238281,4912.129883,-3.0,0.0,2.0,110.617004,0.051,-0.006,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:31:753 PM,37602.898438,-49438.238281,4912.139648,-3.0,0.0,2.0,110.622002,0.015,0.051,-0.09,0.0,1.0,-6.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:31:853 PM,37602.898438,-49438.238281,4912.159668,-3.0,0.0,2.0,110.640007,0.04,-0.01,0.371,0.0,-1.0,5.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:31:955 PM,37602.898438,-49438.238281,4912.169922,-3.0,0.0,2.0,110.657005,0.04,-0.007,0.259,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:32:52 PM,37602.898438,-49438.238281,4912.189941,-3.0,0.0,2.0,110.670006,0.009,0.016,-0.137,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:32:150 PM,37602.898438,-49438.238281,4912.169922,-3.0,0.0,2.0,110.682007,0.007,0.03,-0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:32:256 PM,37602.898438,-49438.238281,4912.189941,-3.0,0.0,2.0,110.699005,0.028,-0.025,0.122,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:32:348 PM,37602.898438,-49438.238281,4912.209961,-3.0,0.0,2.0,110.712006,0.014,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:06:32:457 PM,37602.898438,-49438.238281,4912.209961,-3.0,0.0,2.0,110.717003,0.006,0.0,-0.149,0.0,0.0,-2.0,0.0,0.04,0.0,0.0,true
Jun 4 2024 12:06:32:555 PM,37602.929688,-49438.25,4912.209961,-3.0,0.0,2.0,110.717003,0.769,-0.278,0.06,8.0,-3.0,2.0,-0.02,0.31,0.0,0.0,true
