,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 11:21:42:631 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,-1061.0,0.0,0.0,0.0,true
May 21 2024 11:21:42:632 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:21:42:632 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:21:42:810 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 21 2024 11:21:42:811 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:21:42:811 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:21:42:811 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 11:21:42:998 AM,37606.070312,-49438.230469,4974.089844,0.0,0.0,0.0,42.414001,0.0,0.0,-301.677002,0.0,0.0,-977.0,0.0,0.0,0.0,true
May 21 2024 11:21:43:6 AM,37606.070312,-49438.230469,4971.169922,0.0,0.0,0.0,45.331001,0.0,0.0,-310.844025,0.0,0.0,-92.0,0.0,0.0,0.0,true
May 21 2024 11:21:43:111 AM,37605.359375,-49438.910156,4933.799805,0.0,0.0,1.0,82.706001,6.746,19.223001,-349.715027,67.0,192.0,-389.0,0.0,0.0,0.0,true
May 21 2024 11:21:43:209 AM,37602.980469,-49438.519531,4913.02002,-3.0,0.0,2.0,103.478004,5.461,12.977,-114.222008,-13.0,-62.0,2355.0,0.0,0.0,0.0,true
May 21 2024 11:21:43:309 AM,37602.378906,-49438.097656,4907.989746,-3.0,0.0,2.0,108.510002,-2.681,-1.915,-9.429001,-81.0,-149.0,1048.0,0.0,0.0,0.0,true
May 21 2024 11:21:43:409 AM,37602.46875,-49438.167969,4908.22998,-3.0,0.0,2.0,108.743004,0.069,1.275,8.073,28.0,32.0,175.0,0.0,0.0,0.0,true
