,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 5 2024 9:40:41:342 AM,37606.070312,-49438.230469,5013.549805,0.0,0.0,0.0,0.0,0.0,0.0,-128.932999,0.0,0.0,-1289.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:41:343 AM,37606.070312,-49438.230469,5013.549805,0.0,0.0,0.0,0.0,0.0,0.0,-128.932999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:41:343 AM,37606.070312,-49438.230469,5013.549805,0.0,0.0,0.0,0.0,0.0,0.0,-128.932999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:41:483 AM,37606.070312,-49438.230469,4994.949707,0.0,0.0,0.0,18.6,0.0,0.0,-226.747009,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:41:525 AM,37606.070312,-49438.230469,4984.089844,0.0,0.0,0.0,29.465002,0.0,0.0,-268.726013,0.0,0.0,-420.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:41:626 AM,37606.070312,-49438.230469,4951.319824,0.0,0.0,0.0,62.233002,0.0,0.0,-367.744019,0.0,0.0,-990.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:41:743 AM,37603.828125,-49438.039062,4916.810059,-2.0,0.0,2.0,96.739006,-22.621,2.03,-161.328003,-226.0,20.0,2064.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:41:833 AM,37602.859375,-49437.929688,4908.919922,-3.0,0.0,2.0,104.627007,-6.11,1.065,-42.668003,165.0,-10.0,1187.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:41:931 AM,37602.71875,-49437.890625,4907.839844,-3.0,0.0,2.0,105.709007,0.593,-0.478,4.407,67.0,-15.0,471.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:42:38 AM,37602.820312,-49437.957031,4908.830078,-3.0,0.0,2.0,106.694008,1.298,-0.768,10.745001,7.0,-3.0,63.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:42:125 AM,37602.917969,-49438.007812,4909.72998,-3.0,0.0,2.0,107.599007,1.156,-0.746,9.548,-1.0,0.0,-12.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:42:229 AM,37603.007812,-49438.070312,4910.600098,-3.0,0.0,2.0,108.470009,0.826,-0.584,7.092,-3.0,2.0,-25.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:42:349 AM,37603.078125,-49438.140625,4911.25,-3.0,0.0,2.0,109.113007,0.507,-0.535,4.261,-3.0,0.0,-28.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:42:427 AM,37603.109375,-49438.179688,4911.540039,-3.0,0.0,2.0,109.412003,0.357,-0.431,3.166,-2.0,1.0,-11.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:42:529 AM,37603.148438,-49438.21875,4911.790039,-3.0,0.0,2.0,109.656006,0.228,-0.392,1.996,-1.0,0.0,-12.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:42:623 AM,37603.160156,-49438.25,4911.919922,-3.0,0.0,2.0,109.791008,0.164,-0.383,1.323,-1.0,0.0,-7.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:42:741 AM,37603.160156,-49438.257812,4911.989746,-3.0,0.0,2.0,109.863007,0.046,0.006,0.372,-1.0,4.0,-10.0,0.0,0.0,0.0,0.0,true
Jun 5 2024 9:40:42:836 AM,37603.160156,-49438.257812,4912.040039,-3.0,0.0,2.0,109.907005,0.069,-0.01,0.544,0.0,0.0,2.0,0.0,0.0,0.0,0.0,true
