,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 10:25:25:671 AM,37606.070312,-49438.230469,5014.149902,0.0,0.0,0.0,0.0,0.0,0.0,-124.81601,0.0,0.0,-1248.0,0.0,0.0,0.0,true
May 21 2024 10:25:25:671 AM,37606.070312,-49438.230469,5014.149902,0.0,0.0,0.0,0.0,0.0,0.0,-124.81601,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:25:25:672 AM,37606.070312,-49438.230469,5014.149902,0.0,0.0,0.0,0.0,0.0,0.0,-124.81601,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:25:26:203 AM,37606.070312,-49438.230469,4995.959961,0.0,0.0,0.0,18.188002,0.0,0.0,-222.634018,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 21 2024 10:25:26:203 AM,37606.070312,-49438.230469,4995.959961,0.0,0.0,0.0,18.188002,0.0,0.0,-222.634018,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:25:26:203 AM,37606.070312,-49438.230469,4995.959961,0.0,0.0,0.0,18.188002,0.0,0.0,-222.634018,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:25:26:204 AM,37606.070312,-49438.230469,4995.959961,0.0,0.0,0.0,18.188002,0.0,0.0,-222.634018,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:25:26:319 AM,37606.070312,-49438.230469,4962.290039,0.0,0.0,0.0,51.857002,0.0,0.0,-337.630005,0.0,0.0,-1150.0,0.0,0.0,0.0,true
May 21 2024 10:25:26:406 AM,37604.910156,-49439.117188,4930.109863,-1.0,0.0,1.0,84.037003,14.002001,19.632002,-329.162018,140.0,196.0,85.0,0.0,0.0,0.0,true
May 21 2024 10:25:26:510 AM,37602.847656,-49438.6875,4911.330078,-3.0,0.0,2.0,102.812004,4.496,9.990001,-87.117004,-95.0,-96.0,2420.0,0.0,0.0,0.0,true
