,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 3 2024 11:24:32:372 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,-1061.0,-0.02,0.0,0.0,0.0,true
Jun 3 2024 11:24:32:373 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
Jun 3 2024 11:24:32:373 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,true
Jun 3 2024 11:24:32:820 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,-978.0,-0.03,0.0,0.0,0.0,true
Jun 3 2024 11:24:32:820 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,true
Jun 3 2024 11:24:32:820 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,true
Jun 3 2024 11:24:32:820 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,true
Jun 3 2024 11:24:32:935 AM,37606.070312,-49438.230469,4969.839844,0.0,0.0,0.0,46.658001,0.0,0.0,-315.406006,0.0,0.0,-1115.0,-0.03,0.0,0.0,0.0,true
Jun 3 2024 11:24:33:21 AM,37605.667969,-49438.9375,4937.209961,0.0,0.0,1.0,79.295006,4.126,15.918001,-366.626007,41.0,159.0,-512.0,-0.03,0.0,0.0,0.0,true
Jun 3 2024 11:24:33:132 AM,37603.007812,-49438.648438,4912.839844,-3.0,0.0,2.0,103.663002,5.425,12.317,-108.056007,13.0,-36.0,2586.0,-0.02,0.0,0.0,0.0,true
Jun 3 2024 11:24:33:227 AM,37602.4375,-49438.160156,4908.049805,-3.0,0.0,2.0,108.449005,-2.558,-0.04,-11.150001,-80.0,-124.0,969.0,-0.02,0.0,0.0,0.0,true
Jun 3 2024 11:24:33:325 AM,37602.621094,-49438.199219,4908.22998,-3.0,0.0,2.0,108.622002,2.863,1.5,7.569,54.0,15.0,187.0,-0.02,0.17,0.0,0.0,true
Jun 3 2024 11:24:33:424 AM,37603.179688,-49438.257812,4909.189941,-3.0,0.0,2.0,109.586006,7.499001,2.004,9.855,46.0,5.0,23.0,-0.01,0.39,0.0,0.0,true
Jun 3 2024 11:24:33:518 AM,37603.96875,-49438.308594,4910.049805,-3.0,0.0,2.0,110.447006,9.971001,1.625,8.402,25.0,-4.0,-15.0,0.0,0.42,0.0,0.0,true
Jun 3 2024 11:24:33:621 AM,37605.527344,-49438.347656,4910.719727,-3.0,0.0,2.0,111.116005,19.729,1.062,4.948,98.0,-6.0,-35.0,0.0,0.67,0.0,0.0,true
Jun 3 2024 11:24:33:718 AM,37608.257812,-49438.398438,4911.069824,-3.0,0.0,2.0,111.462006,33.697002,0.484,2.103,140.0,-6.0,-28.0,0.0,0.82,0.0,0.0,true
Jun 3 2024 11:24:33:824 AM,37613.828125,-49438.457031,4911.129883,-3.0,0.0,2.0,111.525002,61.476002,0.009,-0.994,278.0,-5.0,-31.0,-0.01,0.88,0.0,0.0,true
Jun 3 2024 11:24:33:925 AM,37622.859375,-49438.589844,4910.859863,-2.0,0.0,2.0,111.798004,105.008003,-0.71,-4.588,435.0,-7.0,-36.0,-0.03,1.0,0.0,0.0,true
Jun 3 2024 11:24:34:16 AM,37634.898438,-49438.859375,4910.359863,-2.0,0.0,2.0,112.294006,143.787003,-2.971,-6.857,388.0,-23.0,-23.0,-0.07,1.0,0.0,0.0,true
Jun 3 2024 11:24:34:117 AM,37652.050781,-49439.597656,4909.549805,-2.0,-1.0,3.0,113.105003,183.996002,-7.112,-9.471001,402.0,-41.0,-26.0,-0.13,1.0,0.0,0.0,true
Jun 3 2024 11:24:34:217 AM,37672.890625,-49440.96875,4908.489746,-2.0,-1.0,3.0,114.167007,222.681015,-12.920001,-11.863001,387.0,-58.0,-24.0,-0.17,1.0,0.0,0.0,true
Jun 3 2024 11:24:34:327 AM,37699.800781,-49443.289062,4907.080078,-2.0,-2.0,3.0,115.578003,264.159027,-20.446001,-13.922001,415.0,-75.0,-21.0,-0.18,1.0,0.0,0.0,true
Jun 3 2024 11:24:34:418 AM,37725.808594,-49445.859375,4905.719727,-2.0,-3.0,3.0,116.936005,299.026001,-26.530001,-15.729001,349.0,-61.0,-18.0,-0.16,1.0,0.0,0.0,true
Jun 3 2024 11:24:34:525 AM,37760.128906,-49449.488281,4903.919922,-2.0,-4.0,3.0,118.735008,339.36203,-33.608002,-17.630001,403.0,-71.0,-19.0,-0.13,1.0,0.0,0.0,true
Jun 3 2024 11:24:34:624 AM,37795.820312,-49453.570312,4902.189941,-1.0,-5.0,3.0,120.466003,375.84201,-42.381001,-18.132,365.0,-88.0,-5.0,-0.13,1.0,0.0,0.0,true
Jun 3 2024 11:24:34:716 AM,37832.328125,-49458.308594,4900.509766,-1.0,-5.0,3.0,122.149002,408.66803,-53.276001,-18.483002,328.0,-109.0,-4.0,-0.15,1.0,0.0,0.0,true
Jun 3 2024 11:24:34:821 AM,37877.660156,-49465.148438,4898.5,-1.0,-6.0,4.0,124.150009,445.767029,-66.026001,-20.382002,371.0,-127.0,-19.0,-0.15,1.0,0.0,0.0,true
Jun 3 2024 11:24:34:929 AM,37928.328125,-49473.597656,4896.290039,-1.0,-8.0,4.0,126.369003,483.420013,-80.231003,-21.035002,377.0,-142.0,-7.0,-0.15,1.0,0.0,0.0,true
Jun 3 2024 11:24:35:28 AM,37977.398438,-49482.808594,4894.339844,-1.0,-9.0,4.0,128.317001,515.807007,-96.981003,-20.507002,324.0,-167.0,5.0,-0.16,1.0,0.0,0.0,true
Jun 3 2024 11:24:35:116 AM,38024.550781,-49492.917969,4892.540039,-1.0,-10.0,4.0,130.12001,543.225037,-116.169006,-20.830002,274.0,-192.0,-3.0,-0.18,1.0,0.0,0.0,true
Jun 3 2024 11:24:35:228 AM,38086.769531,-49508.320312,4890.279785,-1.0,-12.0,4.0,132.375,575.320007,-143.908005,-20.638,321.0,-277.0,2.0,-0.19,1.0,0.0,0.0,true
Jun 3 2024 11:24:35:329 AM,38145.6875,-49524.957031,4888.279785,-1.0,-14.0,5.0,134.375,586.703003,-167.062012,-19.690001,114.0,-232.0,9.0,-0.19,1.0,0.0,0.0,true
Jun 3 2024 11:24:35:425 AM,38200.960938,-49542.4375,4886.509766,-1.0,-16.0,5.0,136.149002,581.673035,-185.743011,-17.675001,-50.0,-187.0,20.0,-0.19,1.0,0.0,0.0,true
Jun 3 2024 11:24:35:517 AM,38253.808594,-49560.75,4884.939941,-1.0,-17.0,5.0,137.71701,577.146057,-202.546005,-16.596001,-45.0,-168.0,11.0,-0.17,1.0,0.0,0.0,true
Jun 3 2024 11:24:35:617 AM,38311.039062,-49582.019531,4883.290039,-1.0,-19.0,5.0,139.361008,573.335022,-218.080017,-15.670001,-38.0,-155.0,9.0,-0.14,1.0,0.0,0.0,true
Jun 3 2024 11:24:35:724 AM,38371.859375,-49606.019531,4881.679688,-1.0,-21.0,5.0,140.978012,569.705017,-231.124008,-14.06,-36.0,-130.0,16.0,-0.11,1.0,0.0,0.0,true
Jun 3 2024 11:24:35:818 AM,38425.640625,-49628.199219,4880.379883,-1.0,-22.0,5.0,142.27301,585.725037,-247.343018,-13.568001,160.0,-162.0,5.0,-0.09,1.0,0.0,0.0,true
Jun 3 2024 11:24:35:930 AM,38495.25,-49657.699219,4878.839844,-1.0,-23.0,4.0,143.812012,630.279053,-275.5,-14.750001,446.0,-282.0,-12.0,-0.05,1.0,0.0,0.0,true
Jun 3 2024 11:24:36:17 AM,38551.769531,-49681.957031,4877.569824,0.0,-23.0,4.0,145.083008,660.819031,-291.742004,-15.068001,305.0,-162.0,-3.0,-0.02,1.0,0.0,0.0,true
Jun 3 2024 11:24:36:121 AM,38622.769531,-49712.25,4876.009766,0.0,-23.0,3.0,146.645004,695.481018,-305.215027,-15.111001,347.0,-135.0,0.0,0.01,1.0,0.0,0.0,true
Jun 3 2024 11:24:36:228 AM,38701.070312,-49745.0,4874.389648,0.0,-23.0,2.0,148.264008,730.373047,-314.137024,-14.462001,349.0,-89.0,6.0,0.02,1.0,0.0,0.0,true
Jun 3 2024 11:24:36:317 AM,38767.867188,-49772.578125,4873.100098,0.0,-23.0,2.0,149.553009,757.445007,-320.79303,-14.460001,271.0,-67.0,0.0,0.02,1.0,0.0,0.0,true
Jun 3 2024 11:24:36:416 AM,38845.238281,-49804.25,4871.580078,0.0,-22.0,2.0,151.071014,786.788025,-327.476013,-15.149001,293.0,-67.0,-7.0,0.02,0.99,0.0,0.0,true
Jun 3 2024 11:24:36:520 AM,38928.699219,-49838.039062,4870.029785,0.0,-22.0,1.0,152.628006,814.761047,-333.837006,-14.481001,280.0,-64.0,7.0,0.02,0.52,0.0,0.0,true
Jun 3 2024 11:24:36:620 AM,39011.210938,-49871.050781,4868.589844,0.0,-22.0,1.0,154.067001,831.473022,-336.748016,-13.459001,167.0,-29.0,10.0,0.02,0.0,0.0,0.0,true
