,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 12:08:43:305 PM,37606.070312,-49438.230469,5013.889648,0.0,0.0,0.0,0.0,0.0,0.0,-126.606003,0.0,0.0,-1266.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:08:43:306 PM,37606.070312,-49438.230469,5013.889648,0.0,0.0,0.0,0.0,0.0,0.0,-126.606003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:08:43:306 PM,37606.070312,-49438.230469,5013.889648,0.0,0.0,0.0,0.0,0.0,0.0,-126.606003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:08:43:645 PM,37606.070312,-49438.230469,4995.52002,0.0,0.0,0.0,18.367001,0.0,0.0,-224.422012,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:08:43:645 PM,37606.070312,-49438.230469,4995.52002,0.0,0.0,0.0,18.367001,0.0,0.0,-224.422012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:08:43:646 PM,37606.070312,-49438.230469,4995.52002,0.0,0.0,0.0,18.367001,0.0,0.0,-224.422012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:08:43:685 PM,37606.070312,-49438.230469,4984.899902,0.0,0.0,0.0,28.989002,0.0,0.0,-265.884003,0.0,0.0,-415.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:08:43:786 PM,37606.070312,-49438.230469,4952.409668,0.0,0.0,0.0,61.476002,0.0,0.0,-364.765015,0.0,0.0,-989.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:08:43:888 PM,37604.097656,-49437.957031,4919.959961,-2.0,0.0,2.0,93.925003,-28.251001,1.839,-202.853012,-283.0,18.0,1619.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:08:43:986 PM,37602.789062,-49437.808594,4909.389648,-3.0,0.0,2.0,104.500008,-7.352,1.239,-51.259003,209.0,-6.0,1516.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:08:44:85 PM,37602.578125,-49437.777344,4907.839844,-3.0,0.0,2.0,106.050003,0.558,-0.633,2.942,79.0,-19.0,542.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:08:44:183 PM,37602.679688,-49437.839844,4908.659668,-3.0,0.0,2.0,106.871002,1.316,-0.746,10.396001,8.0,-1.0,75.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:08:44:283 PM,37602.777344,-49437.910156,4909.709961,-3.0,0.0,2.0,107.918007,1.174,-0.693,9.706,-1.0,1.0,-7.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 12:08:44:392 PM,37602.878906,-49437.980469,4910.609863,-3.0,0.0,2.0,108.824005,0.824,-0.589,6.969,-3.0,1.0,-27.0,0.0,0.23,0.0,0.0,true
Jun 4 2024 12:08:44:487 PM,37603.160156,-49438.007812,4911.149902,-3.0,0.0,2.0,109.365005,4.709,-0.362,4.766,39.0,2.0,-22.0,0.0,0.62,0.0,0.0,true
Jun 4 2024 12:08:44:595 PM,37604.039062,-49438.050781,4911.5,-3.0,0.0,2.0,109.713005,13.312,-0.417,2.204,86.0,-1.0,-26.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 12:08:44:684 PM,37606.289062,-49438.078125,4911.569824,-3.0,0.0,2.0,109.782005,35.324001,-0.415,0.052,220.0,0.0,-22.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 12:08:44:795 PM,37612.648438,-49438.117188,4911.330078,-3.0,0.0,2.0,110.022003,82.536003,-0.484,-3.434,472.0,-1.0,-35.0,0.0,1.0,0.0,0.0,true
Jun 4 2024 12:08:44:890 PM,37623.089844,-49438.160156,4910.759766,-4.0,0.0,2.0,110.595009,128.597,0.021,-6.586,461.0,5.0,-32.0,-0.01,1.0,0.0,0.0,true
Jun 4 2024 12:08:44:986 PM,37637.558594,-49438.289062,4909.969727,-4.0,0.0,2.0,111.382004,169.210007,-2.228,-8.961,406.0,-22.0,-24.0,-0.05,1.0,0.0,0.0,true
Jun 4 2024 12:08:45:96 PM,37659.148438,-49438.898438,4908.819824,-4.0,0.0,2.0,112.539009,213.256012,-7.112,-11.815001,440.0,-49.0,-29.0,-0.1,1.0,0.0,0.0,true
Jun 4 2024 12:08:45:193 PM,37681.5,-49440.019531,4907.629883,-4.0,-1.0,2.0,113.725006,249.784012,-13.650001,-13.272,365.0,-65.0,-15.0,-0.15,1.0,0.0,0.0,true
Jun 4 2024 12:08:45:292 PM,37708.527344,-49442.019531,4906.189941,-4.0,-2.0,2.0,115.167007,287.35202,-22.150002,-15.095,376.0,-85.0,-18.0,-0.18,1.0,0.0,0.0,true
Jun 4 2024 12:08:45:385 PM,37737.199219,-49444.777344,4904.669922,-4.0,-3.0,2.0,116.680008,321.665009,-31.843002,-16.834002,343.0,-97.0,-17.0,-0.19,1.0,0.0,0.0,true
