,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 3 2024 11:43:45:496 AM,37606.070312,-49438.230469,5013.149902,0.0,0.0,0.0,0.0,0.0,0.0,-132.239014,0.0,0.0,-1322.0,-0.01,0.0,0.0,0.0,true
Jun 3 2024 11:43:45:497 AM,37606.070312,-49438.230469,5013.149902,0.0,0.0,0.0,0.0,0.0,0.0,-132.239014,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 3 2024 11:43:45:497 AM,37606.070312,-49438.230469,5013.149902,0.0,0.0,0.0,0.0,0.0,0.0,-132.239014,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 3 2024 11:43:45:922 AM,37606.070312,-49438.230469,4994.22998,0.0,0.0,0.0,18.93,0.0,0.0,-230.050018,0.0,0.0,-978.0,-0.01,0.0,0.0,0.0,true
Jun 3 2024 11:43:45:923 AM,37606.070312,-49438.230469,4994.22998,0.0,0.0,0.0,18.93,0.0,0.0,-230.050018,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 3 2024 11:43:45:923 AM,37606.070312,-49438.230469,4994.22998,0.0,0.0,0.0,18.93,0.0,0.0,-230.050018,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 3 2024 11:43:45:923 AM,37606.070312,-49438.230469,4994.22998,0.0,0.0,0.0,18.93,0.0,0.0,-230.050018,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
Jun 3 2024 11:43:46:51 AM,37606.070312,-49438.230469,4956.139648,0.0,0.0,0.0,57.018002,0.0,0.0,-354.567017,0.0,0.0,-1245.0,-0.01,0.0,0.0,0.0,true
Jun 3 2024 11:43:46:130 AM,37604.777344,-49438.777344,4926.870117,-1.0,0.0,1.0,86.282005,25.723001,27.838001,-298.539001,257.0,278.0,560.0,-0.01,0.0,0.0,0.0,true
Jun 3 2024 11:43:46:222 AM,37603.058594,-49438.390625,4911.689941,-3.0,0.0,2.0,101.459007,4.641,11.453,-93.230003,-211.0,-164.0,2053.0,-0.01,0.0,0.0,0.0,true
Jun 3 2024 11:43:46:330 AM,37602.648438,-49437.777344,4907.919922,-3.0,0.0,2.0,105.236008,-1.944,1.127,-3.006,-66.0,-103.0,902.0,-0.01,0.0,0.0,0.0,true
Jun 3 2024 11:43:46:434 AM,37602.738281,-49437.847656,4908.52002,-3.0,0.0,2.0,105.835007,0.319,2.167,9.441,23.0,10.0,124.0,-0.01,0.0,0.0,0.0,true
Jun 3 2024 11:43:46:532 AM,37602.789062,-49437.917969,4909.489746,-3.0,0.0,2.0,106.812004,0.7,1.811,9.627001,4.0,-4.0,2.0,-0.01,0.03,0.0,0.0,true
Jun 3 2024 11:43:46:621 AM,37602.890625,-49437.957031,4910.279785,-3.0,0.0,2.0,107.596008,2.4,1.387,7.82,17.0,-4.0,-18.0,0.0,0.06,0.0,0.0,true
Jun 3 2024 11:43:46:740 AM,37603.519531,-49438.0,4910.989746,-3.0,0.0,2.0,108.305008,6.726,0.69,4.708,43.0,-7.0,-31.0,0.01,0.18,0.0,0.0,true
Jun 3 2024 11:43:46:833 AM,37604.328125,-49438.039062,4911.370117,-3.0,0.0,2.0,108.682007,7.648,0.352,3.018,9.0,-3.0,-17.0,0.01,0.2,0.0,0.0,true
Jun 3 2024 11:43:46:924 AM,37605.210938,-49438.070312,4911.560059,-3.0,0.0,2.0,108.878006,10.571,0.066,1.337,29.0,-3.0,-17.0,0.01,0.48,0.0,0.0,true
Jun 3 2024 11:43:47:28 AM,37606.71875,-49438.109375,4911.649902,-3.0,0.0,2.0,108.972008,17.423,-0.104,0.467,69.0,-2.0,-9.0,0.01,0.82,0.0,0.0,true
Jun 3 2024 11:43:47:130 AM,37609.859375,-49438.160156,4911.620117,-3.0,0.0,2.0,109.009003,38.172001,-0.258,-1.484,207.0,-2.0,-20.0,0.01,0.89,0.0,0.0,true
Jun 3 2024 11:43:47:225 AM,37615.21875,-49438.140625,4911.419922,-3.0,0.0,2.0,109.203003,69.121002,0.334,-3.5,309.0,6.0,-20.0,0.04,1.0,0.0,0.0,true
Jun 3 2024 11:43:47:323 AM,37625.148438,-49437.949219,4910.97998,-2.0,0.0,2.0,109.647003,116.220009,2.267,-6.412,471.0,19.0,-29.0,0.08,1.0,0.0,0.0,true
